quarter,dong_code,adstrd_flpop
20191,11110515,3668225
20191,11110530,4628956
20191,11110540,1010831
20191,11110550,1053668
20191,11110560,1139144
20191,11110570,1973728
20191,11110580,3014831
20191,11110600,1549703
20191,11110615,15931290
20191,11110630,7468429
20191,11110640,4156755
20191,11110650,9155321
20191,11110670,4716068
20191,11110680,5742433
20191,11110690,807373
20191,11110700,2698031
20191,11110710,6460155
20191,11140520,3054023
20191,11140540,5102115
20191,11140550,6019451
20191,11140570,2902994
20191,11140580,2369860
20191,11140590,6232642
20191,11140605,5245796
20191,11140615,6320342
20191,11140625,4692732
20191,11140635,2202172
20191,11140645,3911798
20191,11140650,5075589
20191,11140665,2948706
20191,11140670,6278235
20191,11140680,2258952
20191,11170510,4805181
20191,11170520,4529742
20191,11170530,2550167
20191,11170555,8348694
20191,11170560,4636353
20191,11170570,3484892
20191,11170580,3991139
20191,11170590,3822566
20191,11170625,5518121
20191,11170630,5190710
20191,11170640,1628157
20191,11170650,2971557
20191,11170660,3357347
20191,11170685,6481007
20191,11170690,2073223
20191,11170700,4785740
20191,11200520,4486970
20191,11200535,4936440
20191,11200540,7015246
20191,11200550,4089121
20191,11200560,6702867
20191,11200570,4261690
20191,11200580,3455446
20191,11200590,4271714
20191,11200615,6952366
20191,11200620,2905304
20191,11200645,3586175
20191,11200650,3032574
20191,11200660,5652553
20191,11200670,5404924
20191,11200690,4906859
20191,11200720,3247161
20191,11200790,3381338
20191,11215710,9661988
20191,11215730,5556440
20191,11215740,4221121
20191,11215750,5213991
20191,11215760,5767795
20191,11215770,8515028
20191,11215780,2464052
20191,11215810,6821751
20191,11215820,9360572
20191,11215830,5471395
20191,11215840,7179505
20191,11215847,7924395
20191,11215850,7665454
20191,11215860,6810333
20191,11215870,7814908
20191,11230536,14229319
20191,11230545,13941218
20191,11230560,11150587
20191,11230570,2829271
20191,11230600,7045994
20191,11230610,7114902
20191,11230650,9448801
20191,11230660,7567575
20191,11230705,7396407
20191,11230710,5058887
20191,11230720,5745874
20191,11230730,5090002
20191,11230740,9845038
20191,11230750,5097458
20191,11260520,6386984
20191,11260540,5738836
20191,11260550,2599996
20191,11260565,11529261
20191,11260570,7551404
20191,11260575,7321552
20191,11260580,6197075
20191,11260590,8134681
20191,11260600,5563052
20191,11260610,8609749
20191,11260620,8536689
20191,11260630,6200390
20191,11260655,9288492
20191,11260660,4993095
20191,11260680,5110958
20191,11260690,1964406
20191,11290525,4444697
20191,11290555,11581050
20191,11290575,9655819
20191,11290580,4254658
20191,11290590,1861157
20191,11290600,6872731
20191,11290610,6527961
20191,11290620,5711633
20191,11290630,6830071
20191,11290640,2777450
20191,11290650,4258351
20191,11290660,6862433
20191,11290685,4093415
20191,11290705,11017345
20191,11290715,6881794
20191,11290725,7082457
20191,11290760,7218868
20191,11290770,5815334
20191,11290780,3071506
20191,11290810,11108024
20191,11305534,12354085
20191,11305535,8127343
20191,11305545,12327940
20191,11305555,13670740
20191,11305575,3758113
20191,11305595,8390396
20191,11305603,3342623
20191,11305608,3699601
20191,11305615,7359921
20191,11305625,7267434
20191,11305635,11334007
20191,11305645,4356599
20191,11305660,9263742
20191,11320511,4800066
20191,11320512,9125153
20191,11320513,4615798
20191,11320514,4586145
20191,11320515,6047281
20191,11320521,3640986
20191,11320522,3594494
20191,11320660,5491552
20191,11320670,5239109
20191,11320680,5107507
20191,11320681,3055882
20191,11320690,7712945
20191,11320700,4258954
20191,11320710,3730119
20191,11350560,6019683
20191,11350570,3880097
20191,11350580,2736595
20191,11350595,10951769
20191,11350600,8697862
20191,11350611,4351674
20191,11350612,3272234
20191,11350619,5278150
20191,11350621,4251158
20191,11350624,3565095
20191,11350625,5334029
20191,11350630,7713895
20191,11350640,11810613
20191,11350665,9720729
20191,11350670,7427067
20191,11350695,6334171
20191,11350700,918966
20191,11350710,2058938
20191,11350720,2829135
20191,11380510,7424051
20191,11380520,6819349
20191,11380530,6771375
20191,11380551,9275773
20191,11380552,6523699
20191,11380560,5841857
20191,11380570,9672770
20191,11380580,5929254
20191,11380590,3804219
20191,11380600,7938315
20191,11380625,11938602
20191,11380631,6387060
20191,11380632,3950535
20191,11380640,2933688
20191,11380650,1860403
20191,11380690,6437413
20191,11410520,5162730
20191,11410555,14149145
20191,11410565,9831920
20191,11410585,11533944
20191,11410615,10288958
20191,11410620,6673696
20191,11410640,5055690
20191,11410655,2271037
20191,11410660,4224321
20191,11410685,4471428
20191,11410690,2439227
20191,11410700,6489309
20191,11410710,3234832
20191,11410720,12842410
20191,11440555,6297319
20191,11440565,14601458
20191,11440585,6600565
20191,11440590,6566671
20191,11440600,7557092
20191,11440610,3966781
20191,11440630,6095351
20191,11440655,6438479
20191,11440660,19191370
20191,11440680,5993563
20191,11440690,6798399
20191,11440700,6756330
20191,11440710,6869030
20191,11440720,6123129
20191,11440730,8062862
20191,11440740,5416729
20191,11470510,5964089
20191,11470520,7527491
20191,11470530,5469383
20191,11470540,5316170
20191,11470550,4951124
20191,11470560,4305848
20191,11470570,4751257
20191,11470580,3027772
20191,11470590,4140170
20191,11470600,2921743
20191,11470610,1362226
20191,11470611,2644486
20191,11470620,3358182
20191,11470630,4450404
20191,11470640,6795597
20191,11470650,11419814
20191,11470670,1934014
20191,11470680,3625601
20191,11500510,8862311
20191,11500520,4633739
20191,11500530,3875052
20191,11500535,5380631
20191,11500540,16921190
20191,11500550,4404303
20191,11500560,3909577
20191,11500570,4916987
20191,11500590,9313478
20191,11500591,6204367
20191,11500593,7923358
20191,11500603,3043240
20191,11500604,2081596
20191,11500605,2064817
20191,11500611,5447229
20191,11500615,7620565
20191,11500620,6687521
20191,11500630,8178230
20191,11500640,6792900
20191,11500641,3379213
20191,11530510,6852911
20191,11530520,2108840
20191,11530530,8827631
20191,11530540,8070269
20191,11530550,6980656
20191,11530560,7280505
20191,11530595,3017258
20191,11530720,4918153
20191,11530730,6502174
20191,11530740,7652106
20191,11530750,4571074
20191,11530760,3788598
20191,11530770,3956658
20191,11530780,5253635
20191,11530790,2796495
20191,11530800,411167
20191,11545510,4148545
20191,11545610,5146602
20191,11545620,4094328
20191,11545630,5554327
20191,11545640,3875186
20191,11545670,6722117
20191,11545680,1533442
20191,11545690,1474309
20191,11545700,3287940
20191,11545710,4029781
20191,11560515,8951851
20191,11560535,10885339
20191,11560540,5896120
20191,11560550,6993638
20191,11560560,8735070
20191,11560585,6410835
20191,11560605,11017416
20191,11560610,5163926
20191,11560620,4998482
20191,11560630,6070859
20191,11560650,7367881
20191,11560660,2688972
20191,11560670,2925704
20191,11560680,5495819
20191,11560690,3478884
20191,11560700,4179851
20191,11560710,4274175
20191,11560720,8345756
20191,11590510,8801685
20191,11590520,4131564
20191,11590530,9831472
20191,11590540,5612937
20191,11590550,5325320
20191,11590560,6877479
20191,11590605,7980096
20191,11590620,8036465
20191,11590630,8320257
20191,11590640,4932708
20191,11590650,4252170
20191,11590651,2555937
20191,11590660,7150146
20191,11590670,3214453
20191,11590680,5477995
20191,11620525,5075391
20191,11620545,2745645
20191,11620565,6436118
20191,11620575,8100982
20191,11620585,6720528
20191,11620595,10360898
20191,11620605,8400148
20191,11620615,5738755
20191,11620625,5679437
20191,11620630,5492414
20191,11620645,6896415
20191,11620655,6292904
20191,11620665,5997372
20191,11620685,8624593
20191,11620695,10461950
20191,11620715,1406812
20191,11620725,7443357
20191,11620735,7236595
20191,11620745,7917940
20191,11620765,6357477
20191,11620775,6607935
20191,11650510,8081391
20191,11650520,6871750
20191,11650530,12601626
20191,11650531,7367830
20191,11650540,7693714
20191,11650550,865424
20191,11650560,7612388
20191,11650570,1591270
20191,11650580,2880266
20191,11650581,5249724
20191,11650590,5923852
20191,11650600,4819193
20191,11650610,6142719
20191,11650620,4197295
20191,11650621,6467024
20191,11650651,7944911
20191,11650652,6251996
20191,11650660,2568913
20191,11680510,7631605
20191,11680521,10533763
20191,11680531,11183375
20191,11680545,8607650
20191,11680565,9810656
20191,11680580,5909316
20191,11680590,9146130
20191,11680600,4705745
20191,11680610,6818812
20191,11680630,9327891
20191,11680640,23188491
20191,11680650,11223194
20191,11680655,5524468
20191,11680656,3970741
20191,11680660,604579
20191,11680670,1101571
20191,11680690,4011473
20191,11680700,3440536
20191,11680720,3430303
20191,11680730,3892578
20191,11680740,935572
20191,11680750,2494126
20191,11710510,6160115
20191,11710520,7071089
20191,11710531,3680875
20191,11710532,3466476
20191,11710540,3750576
20191,11710550,5634167
20191,11710561,3478371
20191,11710562,6508196
20191,11710566,793370
20191,11710570,9203226
20191,11710580,6234240
20191,11710590,3288503
20191,11710600,7284011
20191,11710610,7020399
20191,11710620,8212927
20191,11710631,595997
20191,11710632,7036080
20191,11710641,4890702
20191,11710642,3496091
20191,11710646,8235007
20191,11710647,3201611
20191,11710650,8302646
20191,11710670,2552230
20191,11710680,3797145
20191,11710690,2710819
20191,11710710,2843986
20191,11710720,969524
20191,11740515,3509749
20191,11740520,1590442
20191,11740530,5126525
20191,11740540,2388018
20191,11740550,2427137
20191,11740560,1184086
20191,11740570,10267878
20191,11740580,2719821
20191,11740590,1362938
20191,11740600,14905568
20191,11740610,11972622
20191,11740620,9300588
20191,11740640,6499843
20191,11740650,10329517
20191,11740660,7440509
20191,11740685,16313490
20191,11740690,10299
20191,11740700,8080538
20192,11110515,3821871
20192,11110530,4678563
20192,11110540,972525
20192,11110550,1120830
20192,11110560,1131562
