quarter,dong_code,bus_flpop
20191,11440555,844228
20191,11440565,1252679
20191,11440585,1161220
20191,11440600,357781
20191,11440660,3950854
20191,11440680,1883467
20191,11440730,148382
20191,11440740,2004039
20192,11440555,935920
20192,11440565,1372130
20192,11440585,1289160
20192,11440600,391053
20192,11440660,4150007
20192,11440680,2053924
20192,11440730,162691
20192,11440740,2102131
20193,11440555,912144
20193,11440565,1354855
20193,11440585,1263001
20193,11440600,372308
20193,11440660,4082177
20193,11440680,2008584
20193,11440730,164076
20193,11440740,2087142
20194,11440555,952365
20194,11440565,1375873
20194,11440585,1269469
20194,11440600,382131
20194,11440660,4226591
20194,11440680,2078106
20194,11440730,162188
20194,11440740,2243439
20201,11440555,702417
20201,11440565,1070609
20201,11440585,980791
20201,11440600,285544
20201,11440660,3126026
20201,11440680,1642668
20201,11440730,118981
20201,11440740,1745279
20202,11440555,216072
20202,11440565,320530
20202,11440585,296447
20202,11440600,81918
20202,11440660,903202
20202,11440680,512667
20202,11440730,32243
20202,11440740,508839
20203,11440555,880030
20203,11440565,1297368
20203,11440585,1198440
20203,11440600,341028
20203,11440660,3593682
20203,11440680,1972274
20203,11440730,135072
20203,11440740,2103236
20204,11440555,1390588
20204,11440565,1992032
20204,11440585,1849782
20204,11440600,508372
20204,11440660,5220260
20204,11440680,3007278
20204,11440730,191582
20204,11440740,3293678
20211,11440555,632636
20211,11440565,951779
20211,11440585,885505
20211,11440600,240468
20211,11440660,2464144
20211,11440680,1408833
20211,11440730,85750
20211,11440740,1573626
20212,11440555,729384
20212,11440565,1109252
20212,11440585,1030049
20212,11440600,285049
20212,11440660,2792283
20212,11440680,1647428
20212,11440730,92771
20212,11440740,1745759
20213,11440555,676000
20213,11440565,1033491
20213,11440585,917015
20213,11440600,279860
20213,11440660,2609792
20213,11440680,1497254
20213,11440730,90123
20213,11440740,1605845
20214,11440555,739506
20214,11440565,1133723
20214,11440585,1038632
20214,11440600,290013
20214,11440660,3051775
20214,11440680,1708645
20214,11440690,54820
20214,11440730,90226
20214,11440740,1786242
20221,11440555,644316
20221,11440565,993849
20221,11440585,906070
20221,11440600,261542
20221,11440660,2783859
20221,11440680,1532655
20221,11440690,69420
20221,11440730,78027
20221,11440740,1524875
20222,11440555,805249
20222,11440565,1240164
20222,11440585,1122600
20222,11440600,316795
20222,11440660,3414632
20222,11440680,1902736
20222,11440690,77483
20222,11440730,93129
20222,11440740,1750383
20223,11440555,805120
20223,11440565,1295272
20223,11440585,1130881
20223,11440600,333629
20223,11440660,3509918
20223,11440680,1893181
20223,11440690,1000
20223,11440730,98955
20223,11440740,1790066
20224,11440555,816783
20224,11440565,1297980
20224,11440585,1159904
20224,11440600,331002
20224,11440660,3603555
20224,11440680,1900967
20224,11440730,94950
20224,11440740,1833241
20231,11440555,761210
20231,11440565,1218793
20231,11440585,1087061
20231,11440600,302636
20231,11440660,3414732
20231,11440680,1780797
20231,11440730,83885
20231,11440740,1789358
20232,11440555,846245
20232,11440565,1301132
20232,11440585,1160431
20232,11440600,331098
20232,11440660,3680194
20232,11440680,1889730
20232,11440730,85755
20232,11440740,1879262
20233,11440555,843457
20233,11440565,1313034
20233,11440585,1157158
20233,11440600,331300
20233,11440660,3702955
20233,11440680,1850044
20233,11440730,81848
20233,11440740,1872798
20234,11440555,865739
20234,11440565,1295965
20234,11440585,1172829
20234,11440600,327942
20234,11440660,3821789
20234,11440680,1877352
20234,11440730,75881
20234,11440740,1906555
20241,11440555,802116
20241,11440565,1231343
20241,11440585,1108100
20241,11440600,305640
20241,11440660,3599954
20241,11440680,1752059
20241,11440730,67739
20241,11440740,1833060
20242,11440555,901652
20242,11440565,1371365
20242,11440585,1215516
20242,11440600,343615
20242,11440660,3923733
20242,11440680,1901508
20242,11440730,73734
20242,11440740,1909378
20243,11440555,900010
20243,11440565,1452174
20243,11440585,1214673
20243,11440600,357960
20243,11440660,4063757
20243,11440680,1892745
20243,11440730,76168
20243,11440740,1930469
20244,11440555,937311
20244,11440565,1466869
20244,11440585,1243523
20244,11440600,355842
20244,11440660,4183016
20244,11440680,1945891
20244,11440730,70411
20244,11440740,1997754
20251,11440555,815323
20251,11440565,1454896
20251,11440585,1082618
20251,11440600,314281
20251,11440660,3808668
20251,11440680,1756513
20251,11440730,60219
20251,11440740,1787049
20252,11440555,912718
20252,11440565,1631633
20252,11440585,1205842
20252,11440600,342500
20252,11440660,4098050
20252,11440680,1904410
20252,11440730,63143
20252,11440740,1868327
20253,11440555,913063
20253,11440565,1729604
20253,11440585,1270212
20253,11440600,365202
20253,11440660,4305589
20253,11440680,1968863
20253,11440730,69412
20253,11440740,1959804
20254,11440555,827112
20254,11440565,1618286
20254,11440585,1189954
20254,11440600,345820
20254,11440660,4173222
20254,11440680,1889724
20254,11440730,65168
20254,11440740,1899635
20261,11440555,710128
20261,11440565,1463719
20261,11440585,1053015
20261,11440600,315439
20261,11440660,3736613
20261,11440680,1692458
20261,11440730,55698
20261,11440740,1725874
