NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수자,매도자,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 마포구 신공덕동,집합,178,만리재로,일반상업,제2종근린생활,-,45.68, ,"130,000",1,법인,개인,202603,31,,2025,-,직거래,-
2,서울특별시 마포구 도화동,집합,555,마포대로,일반상업,제1종근린생활,25m이상,35.36, ,"25,000",,법인,개인,202603,26,,2004,-,중개거래,서울 마포구
3,서울특별시 마포구 성산동,집합,242-15,성미산로,제2종일반주거,업무,25m미만,18.00, ,"12,300",3,개인,개인,202603,20,,2002,20260326,중개거래,서울 마포구
4,서울특별시 마포구 동교동,일반,1**,연희로1길,제2종일반주거,제2종근린생활,8m미만,253.87,139.20,"445,000",,개인,개인,202603,19,,1990,-,중개거래,서울 강남구
5,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"50,000",,개인,개인,202603,19,,1987,-,중개거래,서울 마포구
6,서울특별시 마포구 신수동,집합,22-35,백범로,제3종일반주거,제2종근린생활,25m이상,191.84, ,"75,000",,개인,개인,202603,18,,2002,-,중개거래,서울 마포구
7,서울특별시 마포구 합정동,집합,438-10,희우정로,제2종일반주거,제2종근린생활,8m미만,15.47, ,"15,000",2,개인,개인,202603,16,,2008,-,중개거래,서울 마포구
8,서울특별시 마포구 서교동,일반,3**,와우산로19길,제2종일반주거,제2종근린생활,8m미만,597.14,202.00,"670,000",,개인,개인,202603,15,,1992,-,중개거래,서울 강남구
9,서울특별시 마포구 동교동,집합,165-8,양화로,근린상업,제2종근린생활,25m이상,24.97, ,"19,500",,법인,개인,202603,12,,1999,-,직거래,-
10,서울특별시 마포구 성산동,집합,242-15,성미산로,제2종일반주거,업무,25m미만,18.00, ,"12,300",3,개인,개인,202603,10,,2002,-,중개거래,서울 마포구
11,서울특별시 마포구 염리동,집합,520,숭문길,제2종일반주거,제1종근린생활,12m미만,24.73, ,"22,000",1,개인,개인,202603,10,,2001,-,직거래,-
12,서울특별시 마포구 성산동,집합,628-10,성미산로16길,제2종일반주거,제2종근린생활,8m미만,21.38, ,"10,500",1,법인,개인,202603,09,,2009,-,중개거래,서울 마포구
13,서울특별시 마포구 도화동,집합,538,큰우물로,일반상업,업무,25m미만,63.30, ,"19,000",,개인,개인,202603,06,,1984,-,중개거래,서울 마포구
14,서울특별시 마포구 도화동,집합,538,큰우물로,일반상업,판매,25m미만,49.78, ,"11,000",,개인,개인,202603,05,,1984,-,직거래,-
15,서울특별시 마포구 서교동,일반,4**,동교로19길,제2종일반주거,제2종근린생활,8m미만,448.41,269.80,"560,000",,법인,법인,202603,03,,2024,-,중개거래,서울 마포구
16,서울특별시 마포구 상수동,일반,3**,와우산로5길,제2종일반주거,제2종근린생활,8m미만,196.06,159.00,"333,000",,법인,개인,202603,03,,1976,-,중개거래,서울 마포구
17,서울특별시 마포구 아현동,집합,797,마포대로24길,제2종일반주거,제1종근린생활,-,63.88, ,"28,500",1,법인,법인,202603,03,,2025,-,중개거래,서울 마포구
18,서울특별시 마포구 동교동,일반,1**,신촌로,준주거,제2종근린생활,25m이상,259.00,128.00,"391,000",,개인,법인,202602,28,,,-,중개거래,서울 마포구
19,서울특별시 마포구 도화동,집합,82,삼개로,제3종일반주거,판매,25m미만,43.68, ,"25,000",,개인,개인,202602,28,,1991,-,중개거래,서울 마포구
20,서울특별시 마포구 서교동,집합,357-1,홍익로3길,제2종일반주거,업무,8m미만,24.00, ,"14,300",,개인,개인,202602,27,,1989,-,중개거래,서울 마포구
21,서울특별시 마포구 노고산동,집합,107-17,백범로,일반상업,업무,25m이상,10.41, ,"5,100",3,개인,개인,202602,27,,2006,-,중개거래,서울 마포구
22,서울특별시 마포구 성산동,일반,2**,월드컵북로9길,제2종일반주거,제2종근린생활,8m미만,439.67,223.10,"305,000",,법인,개인,202602,27,,2021,-,중개거래,서울 마포구
23,서울특별시 마포구 마포동,집합,35-1,마포대로,준주거,업무,25m이상,29.06, ,"15,000",,법인,개인,202602,26,,1986,-,중개거래,서울 마포구
24,서울특별시 마포구 마포동,집합,35-1,마포대로,준주거,업무,25m이상,29.06, ,"15,000",,개인,개인,202602,26,,1986,-,중개거래,서울 마포구
25,서울특별시 마포구 마포동,집합,35-1,마포대로,준주거,업무,25m이상,29.06, ,"15,000",,개인,개인,202602,26,,1986,-,중개거래,서울 마포구
26,서울특별시 마포구 공덕동,집합,476,백범로,준주거,제2종근린생활,25m이상,14.06, ,"29,000",,개인,개인,202602,26,지분,2015,-,중개거래,서울 마포구
27,서울특별시 마포구 마포동,집합,35-1,마포대로,준주거,업무,25m이상,29.06, ,"15,000",,개인,개인,202602,26,,1986,-,중개거래,서울 마포구
28,서울특별시 마포구 도화동,집합,51-1,마포대로,일반상업,업무,25m이상,92.41, ,"39,100",,법인,개인,202602,25,,1985,-,중개거래,서울 강남구
29,서울특별시 마포구 도화동,집합,556,마포대로,일반상업,제2종근린생활,25m이상,27.84, ,"7,700",,개인,개인,202602,25,,2005,-,중개거래,서울 마포구
30,서울특별시 마포구 도화동,집합,51-1,마포대로,일반상업,업무,25m이상,90.90, ,"38,500",,법인,개인,202602,25,,1985,-,중개거래,서울 강남구
31,서울특별시 마포구 도화동,집합,51-1,마포대로,일반상업,업무,25m이상,76.40, ,"32,400",,법인,개인,202602,25,,1985,-,중개거래,서울 강남구
32,서울특별시 마포구 합정동,일반,3**,토정로,제2종일반주거,제2종근린생활,25m미만,62.78,104.10,"314,000",,법인,개인,202602,25,,1971,-,중개거래,서울 마포구
33,서울특별시 마포구 염리동,집합,174-14,큰우물로,제3종일반주거,제1종근린생활,25m미만,99.88, ,"93,500",4,개인,개인,202602,14,,2003,-,중개거래,서울 마포구
34,서울특별시 마포구 도화동,집합,538,큰우물로,일반상업,업무,25m미만,52.71, ,"16,500",,개인,개인,202602,12,,1984,-,중개거래,서울 마포구
35,서울특별시 마포구 상수동,집합,353-25,토정로9길,제2종일반주거,제2종근린생활,8m미만,58.55, ,"46,000",2,개인,개인,202602,12,,2014,-,직거래,-
36,서울특별시 마포구 서교동,일반,3**,와우산로29길,제2종일반주거,제2종근린생활,25m미만,552.86,197.40,"580,000",,법인,개인,202602,11,,2003,-,중개거래,서울 강남구
37,서울특별시 마포구 마포동,집합,35-1,마포대로,준주거,업무,25m이상,22.97, ,"20,900",,법인,개인,202602,11,,1986,-,중개거래,서울 마포구
38,서울특별시 마포구 합정동,집합,382-20,양화로,일반상업,제2종근린생활,25m이상,22.07, ,"20,000",2,법인,개인,202602,10,,2021,-,직거래,-
39,서울특별시 마포구 도화동,집합,541,마포대로,일반상업,업무,25m이상,81.28, ,"29,700",,법인,개인,202602,10,,1984,-,직거래,-
40,서울특별시 마포구 도화동,집합,541,마포대로,일반상업,업무,25m이상,81.28, ,"29,700",,법인,개인,202602,10,,1984,-,직거래,-
41,서울특별시 마포구 공덕동,집합,456,만리재로,일반상업,제2종근린생활,25m이상,20.85, ,"8,000",,개인,개인,202602,09,,2002,-,중개거래,서울 마포구
42,서울특별시 마포구 아현동,집합,437-3,마포대로,준주거,업무,25m이상,19.60, ,"12,000",,개인,개인,202602,09,,1987,-,중개거래,서울 마포구
43,서울특별시 마포구 아현동,집합,437-3,마포대로,준주거,업무,25m이상,22.60, ,"12,600",,개인,개인,202602,07,,1987,-,중개거래,서울 마포구
44,서울특별시 마포구 도화동,집합,353,도화4길,제3종일반주거,기타,12m미만,23.45, ,"50,000",1,개인,개인,202602,06,,2000,-,중개거래,서울 마포구
45,서울특별시 마포구 아현동,집합,797,마포대로24길,제2종일반주거,제1종근린생활,-,63.88, ,"28,500",1,개인,법인,202602,06,,2025,20260227,중개거래,서울 마포구
46,서울특별시 마포구 성산동,일반,2**,성미산로3가길,제2종일반주거,제2종근린생활,8m미만,212.83,106.80,"250,000",,개인,개인,202602,04,,2021,-,중개거래,서울 강남구
47,서울특별시 마포구 동교동,일반,1**,홍익로6길,제3종일반주거,제2종근린생활,12m미만,361.32,110.40,"535,000",,법인,개인,202602,04,,1996,-,중개거래,서울 강남구
48,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"32,000",,개인,개인,202602,02,,1987,-,중개거래,서울 마포구
49,서울특별시 마포구 서교동,일반,4**,동교로19길,제2종일반주거,제2종근린생활,8m미만,448.41,269.80,"560,000",,법인,법인,202602,02,,2024,20260317,중개거래,서울 마포구
50,서울특별시 마포구 마포동,집합,136-1,마포대로,준주거,업무,25m이상,41.66, ,"41,500",,개인,개인,202601,31,,1987,-,중개거래,서울 마포구
51,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,34.02, ,"77,800",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
52,서울특별시 마포구 동교동,집합,113-29,연희로1길,제2종일반주거,제2종근린생활,8m미만,27.53, ,"91,000",,법인,법인,202601,30,,2022,-,중개거래,서울 강남구
53,서울특별시 마포구 공덕동,집합,475,마포대로,준주거,제2종근린생활,25m이상,73.80, ,"115,000",2,법인,개인,202601,30,,2013,-,중개거래,서울 강남구
