quarter,dong_code,industry_code,dong_name,industry_name,monthly_sales,monthly_count,weekday_sales,weekend_sales,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,time_00_06_sales,time_06_11_sales,time_11_14_sales,time_14_17_sales,time_17_21_sales,time_21_24_sales,male_sales,female_sales,age_10_sales,age_20_sales,age_30_sales,age_40_sales,age_50_sales,age_60_above_sales,weekday_count,weekend_count,mon_count,tue_count,wed_count,thu_count,fri_count,sat_count,sun_count,time_00_06_count,time_06_11_count,time_11_14_count,time_14_17_count,time_17_21_count,time_21_24_count,male_count,female_count,age_10_count,age_20_count,age_30_count,age_40_count,age_50_count,age_60_above_count
20191,11440555,CS100007,아현동,치킨전문점,174180922,6428,130749988,43430934,17499674,28129950,30108990,28715331,26296043,27404348,16026586,17438274,0,1521842,6851000,64546787,83823019,99022658,73648174,1067959,21536358,53801783,46958698,36111583,13194452,4766,1662,596,1015,1040,971,1144,978,684,575,0,82,290,2663,2818,3537,2838,56,780,2011,1761,1224,544
20191,11440555,CS100010,아현동,커피-음료,67312464,8167,53971620,13340844,7459074,9416345,14066298,11046509,11983394,6735920,6604924,0,18098810,26056584,11952752,10428304,776014,25989939,23899375,0,11446390,17713484,13698591,5789841,1241008,6360,1807,1064,1364,1234,1295,1403,919,888,0,2137,2895,1793,1234,108,3807,3555,0,1502,2750,2083,811,214
20191,11440555,CS100009,아현동,호프-간이주점,123327494,1424,83221497,40105997,8934811,20341240,15960239,16481581,21503626,39007050,1098947,35756337,0,0,96403,36719938,50754816,87197841,21398935,5292939,8266164,32636103,18801419,25258224,18341929,1088,336,112,208,136,317,315,302,34,346,0,0,16,332,730,802,454,35,244,363,187,235,190
20191,11440555,CS100005,아현동,제과점,386740448,46539,283773214,102967234,50982691,51720665,54102064,60960190,66007604,56711901,46255333,259642,75451884,88100494,80961903,111048056,30918469,141732603,205426909,1567450,56198473,98567843,84664763,67826782,38334198,34747,11792,6286,6568,6875,7101,7917,6364,5428,10,10959,10123,9262,12742,3443,17357,26757,274,8931,13675,10067,7596,3573
20191,11440555,CS100002,아현동,중식음식점,144213957,5726,96531030,47682927,14431538,19880109,14875962,21640307,25703114,22438172,25244755,0,7002305,62793287,27442381,46878001,97983,74692169,58110237,1561072,36508675,30120779,20225676,36188583,8197621,3717,2009,665,777,623,861,791,980,1029,0,252,2338,1148,1981,7,2840,2613,50,1816,1309,820,1136,322
20191,11440555,CS100001,아현동,한식음식점,3355766574,94005,2608391423,747375151,501091895,472331933,496117184,576357594,562492817,509449837,237925314,20528813,56417634,1020842690,333199984,1428800936,495976517,1421220766,917049431,2950906,249030198,567996561,557488664,544145475,416658397,75740,18265,14241,13964,15662,15706,16167,12784,5481,483,2252,35552,12259,35674,7785,42997,34819,234,11560,19829,19488,16417,10290
20191,11440555,CS100008,아현동,분식전문점,295959814,24472,234622019,61337795,37891020,45306343,47518302,49469288,54437066,42854847,18482948,8660795,5307296,104417057,40089275,111123819,26361572,105357296,161258259,9601864,61050560,61607274,65291835,51135628,17928393,19786,4686,3214,3830,3968,4266,4508,3491,1195,456,659,8477,3755,9489,1636,9088,13762,697,4703,5463,6079,4313,1597
20191,11440565,CS100004,공덕동,양식음식점,732914023,9764,493690782,239223241,68398801,104191557,101423785,113958301,105718338,137490948,101732293,11659190,833200,198551860,109569306,282543480,129756987,295731946,272587522,496818,95070185,182620765,113913771,110889839,65328091,6833,2931,984,1444,1345,1625,1435,1533,1398,304,85,3188,1477,3738,972,3561,4962,17,1735,2737,1684,1652,699
20191,11440565,CS100006,공덕동,패스트푸드점,191674636,4924,138389269,53285367,18733044,23868030,27801887,32705968,35280340,23545355,29740012,3977641,87118,65294948,27973665,71989231,22352033,74470616,90212991,1089591,29256530,38372316,37972521,40594686,17397966,3448,1476,505,647,669,759,868,668,808,157,5,1438,728,1919,677,1982,2478,40,1021,1141,966,935,360
20191,11440565,CS100007,공덕동,치킨전문점,191328060,7506,141152422,50175638,20130323,31139849,26378778,30331935,33171537,28259159,21916479,19205365,882310,4954365,8455835,74584948,83245237,97584605,79703147,4118690,33291403,33222132,58567477,39743382,8344667,5414,2092,829,1118,967,1175,1325,1224,868,683,15,223,358,3031,3196,3895,3277,182,1542,1381,2099,1600,369
20191,11440565,CS100008,공덕동,분식전문점,546116719,49552,431601425,114515294,95693577,72645148,78607552,92402697,92252451,59548149,54967145,15710089,71131379,170765931,97014683,152676466,38818171,263125192,222363825,7839483,86694509,129061054,124762960,99094971,38036041,39789,9763,7781,7211,7800,8642,8355,5778,3985,1582,6149,16562,7554,14643,3062,25009,22642,1243,10386,12944,12772,7503,2799
20191,11440565,CS100009,공덕동,호프-간이주점,1399096018,26100,1046441020,352654998,186043743,213187260,167945263,210545500,268719254,201956792,150698206,397946582,17110862,43711717,63127279,337184924,540014654,916736974,263006373,1174262,169856182,250768016,275137019,389242778,93565092,18326,7774,3848,3339,3077,3490,4572,4234,3540,4757,465,1166,1848,7452,10412,16288,6843,41,4631,6078,5403,5115,1867
20191,11440565,CS100010,공덕동,커피-음료,586352834,117103,510438016,75914818,90109973,91163420,110310327,111304025,107550271,45758080,30156738,5043588,101543636,244175765,100812363,84582770,50194712,299342753,235095698,1465365,117108955,163704676,131436646,92775303,27947498,101526,15577,18677,18071,21607,22504,20667,9051,6526,121,33658,42533,22752,14922,3117,60952,51486,307,27457,37851,25527,16803,4485
20191,11440565,CS100001,공덕동,한식음식점,9997859669,237530,7697921122,2299938547,1309503836,1379618229,1555435975,1709925167,1743437915,1378143185,921795362,289448113,140250642,2341784759,845643024,4329156843,2051576288,4896461608,2729389795,11499401,987921576,1838218960,1859238368,1833178389,1095794721,186556,50974,33789,34093,37312,40691,40671,30386,20588,6346,4670,88347,24512,82834,30821,125521,78886,537,31502,48680,46633,46830,30237
20191,11440565,CS100002,공덕동,중식음식점,149255384,6990,82964762,66290622,13669069,18171479,14289190,17311443,19523581,32353185,33937437,0,2425720,56499804,31682410,58229427,418023,71835884,59485186,2226371,31800011,32177436,26645935,27824821,10646495,4090,2900,684,826,759,823,998,1431,1469,0,140,2535,1696,2604,15,3580,2860,156,1671,1614,1151,1338,509
20191,11440565,CS100003,공덕동,일식음식점,720832818,11484,644674416,76158402,95688350,103455590,126874127,165428802,153227547,65248862,10909540,17797672,30404,142013737,21613759,269427638,269949608,286359766,143709822,629965,60569317,126965351,116219099,78025700,47660162,10318,1166,1691,1791,2168,2395,2273,918,248,317,4,5161,641,3281,2080,4891,3723,32,1960,2500,2101,1350,670
20191,11440565,CS100005,공덕동,제과점,390833325,19790,254219128,136614197,47566792,38778973,50720605,55571759,61580999,80391220,56222977,0,20708979,77160591,97808681,175679700,19475374,140006885,232849941,1941693,85625002,159069362,75944039,37286142,12990586,12933,6857,2430,2125,2554,2986,2838,3925,2932,0,914,3737,4830,9231,1078,6926,12239,111,5039,7890,3434,2025,667
20191,11440585,CS100003,도화동,일식음식점,840927497,19358,642955845,197971652,89453908,108714088,132302936,147332099,165152814,121304521,76667131,45564549,2987903,127274198,46792198,363119425,255189224,395762770,245187791,4124136,129553328,238541957,142281210,85568353,40881578,14168,5190,2243,2347,2902,3238,3438,2893,2297,1014,123,5576,2239,7275,3131,9665,7309,166,4363,5369,3607,2382,1083
20191,11440585,CS100004,도화동,양식음식점,135664068,1751,99971167,35692901,17691875,7381074,24156353,26474048,24267817,19106015,16586886,57362731,0,0,0,8234873,70066464,75664824,34166450,320024,15396157,40092322,35565256,8204682,10252833,1293,458,229,109,290,302,363,204,254,713,0,0,0,108,930,1051,447,12,254,556,423,157,96
20191,11440585,CS100005,도화동,제과점,369000000,28329,276189246,92810754,40329356,54662838,48043314,59860331,73293407,50731925,42078829,0,31580176,88336230,67340201,145380053,36363340,125773070,180218114,1926041,57528488,79674666,80862571,55435236,30564182,21503,6826,3711,3958,4145,4463,5226,3689,3137,0,7695,4784,4713,9263,1874,10649,16769,487,9428,7692,5191,3242,1382
20191,11440585,CS100006,도화동,패스트푸드점,146476326,6593,92508478,53967848,10984401,18813718,22392544,20045392,20272423,22814605,31153243,0,1007854,33301290,33467930,66705483,11993769,59275700,67161346,1655401,16655180,28322403,39619651,29061221,11123188,4056,2537,604,643,939,835,1035,1060,1477,0,55,1471,1425,3115,527,3075,3076,113,1048,1411,1722,1309,547
20191,11440585,CS100007,도화동,치킨전문점,694477826,22143,507202609,187275217,75937480,93472884,101230407,104900579,131661259,112168233,75106984,39394679,0,67546781,17888905,317600669,252046792,332929903,269524823,7908913,135108645,149310346,148157500,104438025,57531297,15782,6361,2289,2830,3025,3289,4349,3519,2842,1194,0,1512,747,10903,7787,10926,9406,342,4873,5110,4704,3705,1599
20191,11440585,CS100008,도화동,분식전문점,1359063467,141738,1062973808,296089659,171080599,194362559,215094787,227580605,254855258,187034471,109055188,67848626,138348917,337784631,211254378,403349837,200477078,567047192,575982547,18992332,237951824,352879479,305278363,172038523,55889219,113638,28100,20709,21219,22499,24470,24741,18228,9872,3181,26047,35108,21342,44188,11872,58519,75397,1824,32319,42054,33781,17962,5975
20191,11440585,CS100001,도화동,한식음식점,10397975267,253362,8199800974,2198174293,1329001312,1537758077,1564995415,1817901930,1950144240,1318626417,879547876,419387750,68490171,1773584266,515331554,4853668176,2767513350,5047046263,2677989136,15483201,1063239677,2184587684,2114524013,1525407554,821793274,207807,45555,36173,38812,40732,45003,47087,27813,17742,7037,5411,99822,18540,82912,39640,130655,87667,657,40369,63617,54556,37569,21547
20191,11440585,CS100010,도화동,커피-음료,1967037260,187505,1441585518,525451742,242360414,284344424,286984199,312178838,315717643,291817515,233634227,24797653,165349246,607063046,398927777,552723471,218176067,736220779,954198564,13501977,498813387,540172144,323426809,212226047,102278984,139429,48076,24313,27410,28022,29603,30081,26521,21555,2581,24500,54818,38928,48259,18419,75853,98224,2192,58256,56073,31253,19227,7075
20191,11440585,CS100009,도화동,호프-간이주점,1842894380,36443,1375198506,467695874,214191873,271133896,283615568,282509434,323747735,290265024,177430850,586171563,6087296,24145374,7637866,256179295,962672986,1080762730,465502517,5048488,377283322,472167393,389989118,237873700,63903221,27768,8675,4609,5430,5580,5727,6422,5457,3218,10370,77,2289,238,5626,17843,21960,10468,205,8887,9620,7288,4827,1603
20191,11440585,CS100002,도화동,중식음식점,1237205273,27453,979919023,257286250,160989417,169759694,203994981,216950479,228224452,150587261,106698989,21069800,0,285010936,116800431,540872297,273451809,524324435,277665320,0,98285090,254218643,214567326,154929559,79989143,22391,5062,3876,4493,4448,4333,5241,3168,1894,390,0,12378,3245,8717,2723,14625,8058,0,3775,7463,5896,3682,1866
20191,11440590,CS100003,용강동,일식음식점,827826342,19293,646588176,181238166,107744097,138138844,121305989,129802635,149596611,144823251,36414915,40628300,0,194815497,60233936,343867801,188280808,366833504,251928163,1053287,114863708,207056570,166627675,85726621,43433808,15125,4168,2557,2982,3074,3060,3452,3400,768,589,0,6102,1946,7887,2769,8173,7746,52,3703,5105,3968,2095,996
20191,11440590,CS100010,용강동,커피-음료,445760241,63834,363610848,82149393,71722175,64655621,79227383,78850960,69154709,56888760,25260633,0,69530928,158099340,90052325,97058609,31019039,187589776,179357318,885608,65543265,110133923,88113855,64530425,37740021,51573,12261,9556,9926,10698,11127,10266,7108,5153,0,15269,20262,12613,11818,3872,30601,27402,153,13041,17374,14157,9229,4048
20191,11440590,CS100009,용강동,호프-간이주점,1237904212,15639,1059602803,178301409,159298664,187767051,226468120,278255202,207813766,135571651,42729758,269646678,0,0,1747555,84691406,881818573,570336466,105387697,0,67144405,155478804,248592577,158503337,46005037,13229,2410,2159,2349,2616,3287,2818,1762,648,2703,0,0,36,1755,11145,8026,2074,0,1213,2528,3364,2244,755
20191,11440590,CS100008,용강동,분식전문점,604592457,69103,436124286,168468171,81655233,79068072,91709804,99361948,84329229,88436591,80031580,1883421,33203373,220227026,98934685,205223947,45120005,277254783,265284509,2898686,76485562,153992335,194747992,79243739,35170981,50850,18253,8982,9787,10592,11273,10216,9715,8538,272,5084,24624,11355,22850,4918,31800,33184,458,10051,18948,22820,9141,3566
20191,11440590,CS100007,용강동,치킨전문점,139385800,3827,107228018,32157782,14903949,24500323,18923117,20533508,28367121,21398121,10759661,17464738,0,551076,558522,49080865,71730599,72211554,34752183,257875,18372063,29132448,31112908,24263105,3825339,2924,903,438,629,465,623,769,537,366,450,0,12,24,1531,1810,2064,1182,12,581,1045,852,611,147
20191,11440590,CS100006,용강동,패스트푸드점,44923744,6890,36148148,8775596,7102725,6885684,6876797,7137401,8145541,8775596,0,0,3771197,12144440,14405382,13774919,827806,15740859,28356603,0,703661,11958038,21052557,6218344,4164861,5665,1225,1173,1162,1015,1163,1152,1225,0,0,503,1681,2249,2304,153,2510,4324,0,149,1807,3425,831,621
20191,11440590,CS100005,용강동,제과점,202849110,33274,165298958,37550152,28799146,30443099,31621348,36620641,37814724,23925269,13624883,0,62808952,30749818,33155379,58531311,17603650,73761510,109324349,381900,40032697,49451856,46811835,29800964,16606608,28196,5078,5307,5248,5608,6182,5851,3382,1696,0,14534,4161,4176,8123,2280,11440,20659,121,9472,8980,7017,4224,2285
20191,11440590,CS100001,용강동,한식음식점,14267108220,274082,10827417879,3439690341,1722565737,2027856944,2180600058,2467727677,2428667463,1975159369,1464530972,256029336,169347381,2725785048,1194934380,6866066637,3054945438,6052742858,2966993103,9693172,751670278,2202534295,2616234122,2138294126,1302743070,213354,60728,38311,40323,43326,46168,45226,33332,27396,5468,8041,107026,27690,94260,31597,137536,82643,487,27347,55812,58950,43712,33872
20191,11440590,CS100002,용강동,중식음식점,343668641,7270,261946567,81722074,44156575,55797285,47660712,58360556,55971439,41410217,40311857,0,0,96898261,38371805,146086222,62312353,134232402,66713590,58832,11702969,35415514,55551635,62469376,35747669,5615,1655,981,1012,1069,1255,1298,774,881,0,0,3470,948,2367,485,3515,2017,8,532,1267,1425,1441,854
20191,11440590,CS100004,용강동,양식음식점,127960523,3176,98032913,29927610,25546223,12904096,19895206,20995568,18691820,21654105,8273505,0,0,35883285,12507215,52351355,27218668,52023166,42505296,79642,24910272,28794869,26353283,8185938,6204459,2631,545,465,495,472,616,583,412,133,0,0,1379,431,1115,251,1325,1444,7,678,913,663,256,251
20191,11440600,CS100008,대흥동,분식전문점,291898264,40906,225205139,66693125,43509514,40476751,44454214,52550743,44213917,39885993,26807132,83385,38472488,104428687,53301894,86862956,8748854,116403001,154417674,3894135,114597423,46114692,43190020,44479938,18544469,31123,9783,6080,5836,6252,6537,6418,5859,3924,12,5343,13525,7417,13113,1496,16415,23296,655,17693,7121,5729,5985,2526
20191,11440600,CS100006,대흥동,패스트푸드점,251108378,21848,167959414,83148964,32705948,32543521,30339009,34123417,38247519,43536922,39612042,17580277,6554770,38314770,41444934,109284125,37929502,128869997,105069393,6754942,92597778,44428092,44414287,35805055,9939237,15114,6734,2899,2968,2887,3148,3212,3520,3214,676,1220,3747,4147,9361,2697,10832,10629,1030,9200,3844,3890,2774,721
20191,11440600,CS100005,대흥동,제과점,494742631,73433,377400912,117341719,68981660,71586307,73113537,82019593,81699815,68468321,48873398,0,66062539,107855035,111650830,161538056,47636171,234377529,231193500,5893140,88310686,92611976,110094878,97640069,71020281,57306,16127,10723,11084,11039,12090,12370,9946,6181,0,10996,14987,16033,24219,7198,36254,35440,1227,16389,12816,15585,14841,10836
20191,11440600,CS100004,대흥동,양식음식점,142237738,5090,88598020,53639718,13438631,18279600,15269142,19280960,22329687,31112312,22527406,0,0,26596626,29339205,68271053,18030854,70063888,67702810,1127551,69263691,37156227,16554968,12045024,1619236,3407,1683,549,701,599,792,766,969,714,0,0,1085,1071,2385,549,2396,2630,65,2641,1327,451,477,65
20191,11440600,CS100002,대흥동,중식음식점,189318281,11581,149755160,39563121,29690543,27936756,41429979,24904230,25793652,22480840,17082281,2651794,11387022,61049969,49268387,62055191,2905918,102297607,39853789,2421453,40468903,28874562,33325841,26410622,10650015,8995,2586,1520,1717,2005,1928,1825,1564,1022,323,133,4280,1972,4502,371,8080,3017,317,4175,2027,1821,1925,831
20191,11440600,CS100001,대흥동,한식음식점,4119615775,196439,2892364975,1227250800,464371400,570651038,564881000,637574802,654886735,703969174,523281626,189134867,76857696,1081514498,576653126,1500162242,695293346,2329509304,1412963656,55584721,1165524938,643456063,691593303,767516396,418797545,150716,45723,27208,30144,30343,31477,31544,25887,19836,6594,5197,73266,28625,63188,19569,116489,73596,5086,77093,30543,30004,31348,16010
20191,11440600,CS100003,대흥동,일식음식점,129258666,9903,115958888,13299778,22685723,22896071,23591590,26242757,20542747,13299778,0,0,56917,56995694,24617505,46347620,1240930,69492151,54762189,5154944,66110452,14864721,13571847,20993921,3558454,8952,951,1761,1858,1764,2028,1541,951,0,0,9,4203,1972,3633,86,5273,4436,512,5341,1140,958,1562,196
20191,11440600,CS100010,대흥동,커피-음료,643015194,91437,472501371,170513823,80085689,81973926,112445047,100401596,97595113,99447672,71066151,2302633,59374522,194241033,150841072,188468474,47787460,224422109,259024694,6228461,219702538,97052304,75054201,67227146,18182157,69393,22044,12832,13413,14602,15056,13490,13967,8077,336,18017,26792,21958,19623,4711,41646,48321,1389,47211,16409,11899,10253,2801
