quarter,dong_code,dong_name,industry_code,industry_name,store_count,open_count,close_count,closure_rate
20191,11440530,공덕동,CS100001,한식음식점,266.0,14.0,16.0,53.33
20191,11440530,공덕동,CS100002,중식음식점,23.0,2.0,2.0,50.0
20191,11440530,공덕동,CS100003,일식음식점,34.0,3.0,2.0,40.0
20191,11440530,공덕동,CS100004,양식음식점,25.0,3.0,2.0,40.0
20191,11440530,공덕동,CS100005,제과점,16.0,3.0,0.0,0.0
20191,11440530,공덕동,CS100006,패스트푸드점,9.0,1.0,3.0,75.0
20191,11440530,공덕동,CS100007,치킨전문점,16.0,1.0,1.0,50.0
20191,11440530,공덕동,CS100008,분식전문점,45.0,0.0,4.0,100.0
20191,11440530,공덕동,CS100009,호프-간이주점,90.0,0.0,5.0,100.0
20191,11440530,공덕동,CS100010,커피-음료,88.0,4.0,1.0,20.0
20191,11440530,공덕동,CS200001,일반교습학원,51.0,4.0,1.0,20.0
20191,11440530,공덕동,CS200002,외국어학원,6.0,3.0,0.0,0.0
20192,11440530,공덕동,CS100001,한식음식점,272.0,20.0,13.0,39.39
20192,11440530,공덕동,CS100002,중식음식점,25.0,2.0,0.0,0.0
20192,11440530,공덕동,CS100003,일식음식점,33.0,2.0,3.0,60.0
20192,11440530,공덕동,CS100004,양식음식점,21.0,0.0,4.0,100.0
20192,11440530,공덕동,CS100005,제과점,17.0,1.0,0.0,0.0
20192,11440530,공덕동,CS100006,패스트푸드점,10.0,2.0,1.0,33.33
20192,11440530,공덕동,CS100007,치킨전문점,15.0,0.0,1.0,100.0
20192,11440530,공덕동,CS100008,분식전문점,48.0,5.0,2.0,28.57
20192,11440530,공덕동,CS100009,호프-간이주점,89.0,2.0,3.0,60.0
20192,11440530,공덕동,CS100010,커피-음료,93.0,9.0,4.0,30.77
20192,11440530,공덕동,CS200001,일반교습학원,50.0,1.0,2.0,66.67
20192,11440530,공덕동,CS200002,외국어학원,6.0,0.0,0.0,0.0
20193,11440530,공덕동,CS100001,한식음식점,278.0,14.0,9.0,39.13
20193,11440530,공덕동,CS100002,중식음식점,25.0,0.0,0.0,0.0
20193,11440530,공덕동,CS100003,일식음식점,34.0,3.0,2.0,40.0
20193,11440530,공덕동,CS100004,양식음식점,20.0,0.0,1.0,100.0
20193,11440530,공덕동,CS100005,제과점,17.0,0.0,0.0,0.0
20193,11440530,공덕동,CS100006,패스트푸드점,10.0,0.0,0.0,0.0
20193,11440530,공덕동,CS100007,치킨전문점,15.0,1.0,1.0,50.0
20193,11440530,공덕동,CS100008,분식전문점,46.0,0.0,3.0,100.0
20193,11440530,공덕동,CS100009,호프-간이주점,88.0,3.0,4.0,57.14
20193,11440530,공덕동,CS100010,커피-음료,94.0,10.0,7.0,41.18
20193,11440530,공덕동,CS200001,일반교습학원,49.0,1.0,2.0,66.67
20193,11440530,공덕동,CS200002,외국어학원,6.0,0.0,1.0,100.0
20194,11440530,공덕동,CS100001,한식음식점,279.0,13.0,11.0,45.83
20194,11440530,공덕동,CS100002,중식음식점,26.0,1.0,0.0,0.0
20194,11440530,공덕동,CS100003,일식음식점,32.0,1.0,3.0,75.0
20194,11440530,공덕동,CS100004,양식음식점,20.0,1.0,2.0,66.67
20194,11440530,공덕동,CS100005,제과점,15.0,2.0,3.0,60.0
20194,11440530,공덕동,CS100006,패스트푸드점,12.0,4.0,0.0,0.0
20194,11440530,공덕동,CS100007,치킨전문점,15.0,1.0,1.0,50.0
20194,11440530,공덕동,CS100008,분식전문점,45.0,2.0,3.0,60.0
20194,11440530,공덕동,CS100009,호프-간이주점,85.0,1.0,5.0,83.33
20194,11440530,공덕동,CS100010,커피-음료,90.0,4.0,9.0,69.23
20194,11440530,공덕동,CS200001,일반교습학원,48.0,2.0,3.0,60.0
20194,11440530,공덕동,CS200002,외국어학원,8.0,2.0,0.0,0.0
20201,11440530,공덕동,CS100001,한식음식점,279.0,15.0,12.0,44.44
20201,11440530,공덕동,CS100002,중식음식점,27.0,2.0,1.0,33.33
20201,11440530,공덕동,CS100003,일식음식점,33.0,3.0,2.0,40.0
20201,11440530,공덕동,CS100004,양식음식점,20.0,3.0,1.0,25.0
20201,11440530,공덕동,CS100005,제과점,15.0,0.0,0.0,0.0
20201,11440530,공덕동,CS100006,패스트푸드점,12.0,0.0,1.0,100.0
20201,11440530,공덕동,CS100007,치킨전문점,15.0,1.0,1.0,50.0
20201,11440530,공덕동,CS100008,분식전문점,45.0,2.0,4.0,66.67
20201,11440530,공덕동,CS100009,호프-간이주점,84.0,4.0,2.0,33.33
20201,11440530,공덕동,CS100010,커피-음료,88.0,3.0,4.0,57.14
20201,11440530,공덕동,CS200001,일반교습학원,48.0,5.0,5.0,50.0
20201,11440530,공덕동,CS200002,외국어학원,8.0,0.0,0.0,0.0
20202,11440530,공덕동,CS100001,한식음식점,278.0,8.0,9.0,52.94
20202,11440530,공덕동,CS100002,중식음식점,29.0,3.0,1.0,25.0
20202,11440530,공덕동,CS100003,일식음식점,33.0,0.0,1.0,100.0
20202,11440530,공덕동,CS100004,양식음식점,22.0,3.0,0.0,0.0
20202,11440530,공덕동,CS100005,제과점,16.0,1.0,1.0,50.0
20202,11440530,공덕동,CS100006,패스트푸드점,12.0,1.0,2.0,66.67
20202,11440530,공덕동,CS100007,치킨전문점,16.0,2.0,1.0,33.33
20202,11440530,공덕동,CS100008,분식전문점,44.0,0.0,3.0,100.0
20202,11440530,공덕동,CS100009,호프-간이주점,85.0,4.0,3.0,42.86
20202,11440530,공덕동,CS100010,커피-음료,92.0,10.0,5.0,33.33
20202,11440530,공덕동,CS200001,일반교습학원,50.0,2.0,0.0,0.0
20202,11440530,공덕동,CS200002,외국어학원,8.0,0.0,0.0,0.0
20203,11440530,공덕동,CS100001,한식음식점,282.0,14.0,7.0,33.33
20203,11440530,공덕동,CS100002,중식음식점,30.0,4.0,2.0,33.33
20203,11440530,공덕동,CS100003,일식음식점,32.0,3.0,7.0,70.0
20203,11440530,공덕동,CS100004,양식음식점,21.0,1.0,3.0,75.0
20203,11440530,공덕동,CS100005,제과점,15.0,1.0,1.0,50.0
20203,11440530,공덕동,CS100006,패스트푸드점,13.0,1.0,1.0,50.0
20203,11440530,공덕동,CS100007,치킨전문점,16.0,0.0,1.0,100.0
20203,11440530,공덕동,CS100008,분식전문점,45.0,3.0,0.0,0.0
20203,11440530,공덕동,CS100009,호프-간이주점,85.0,1.0,3.0,75.0
20203,11440530,공덕동,CS100010,커피-음료,94.0,7.0,5.0,41.67
20203,11440530,공덕동,CS200001,일반교습학원,48.0,2.0,1.0,33.33
20203,11440530,공덕동,CS200002,외국어학원,8.0,0.0,0.0,0.0
20204,11440530,공덕동,CS100001,한식음식점,281.0,14.0,14.0,50.0
20204,11440530,공덕동,CS100002,중식음식점,32.0,4.0,3.0,42.86
20204,11440530,공덕동,CS100003,일식음식점,31.0,0.0,2.0,100.0
20204,11440530,공덕동,CS100004,양식음식점,23.0,2.0,0.0,0.0
20204,11440530,공덕동,CS100005,제과점,16.0,5.0,2.0,28.57
20204,11440530,공덕동,CS100006,패스트푸드점,13.0,0.0,1.0,100.0
20204,11440530,공덕동,CS100007,치킨전문점,16.0,0.0,0.0,0.0
20204,11440530,공덕동,CS100008,분식전문점,49.0,5.0,1.0,16.67
20204,11440530,공덕동,CS100009,호프-간이주점,85.0,2.0,1.0,33.33
20204,11440530,공덕동,CS100010,커피-음료,97.0,8.0,6.0,42.86
20204,11440530,공덕동,CS200001,일반교습학원,50.0,3.0,1.0,25.0
20204,11440530,공덕동,CS200002,외국어학원,8.0,0.0,0.0,0.0
20211,11440530,공덕동,CS100001,한식음식점,277.0,12.0,17.0,58.62
20211,11440530,공덕동,CS100002,중식음식점,33.0,3.0,2.0,40.0
20211,11440530,공덕동,CS100003,일식음식점,32.0,1.0,1.0,50.0
20211,11440530,공덕동,CS100004,양식음식점,25.0,3.0,1.0,25.0
20211,11440530,공덕동,CS100005,제과점,16.0,1.0,1.0,50.0
20211,11440530,공덕동,CS100006,패스트푸드점,14.0,2.0,0.0,0.0
20211,11440530,공덕동,CS100007,치킨전문점,18.0,2.0,1.0,33.33
20211,11440530,공덕동,CS100008,분식전문점,50.0,5.0,3.0,37.5
20211,11440530,공덕동,CS100009,호프-간이주점,84.0,0.0,1.0,100.0
20211,11440530,공덕동,CS100010,커피-음료,101.0,8.0,3.0,27.27
20211,11440530,공덕동,CS200001,일반교습학원,52.0,2.0,0.0,0.0
20211,11440530,공덕동,CS200002,외국어학원,7.0,0.0,1.0,100.0
20212,11440530,공덕동,CS100001,한식음식점,281.0,18.0,12.0,40.0
20212,11440530,공덕동,CS100002,중식음식점,32.0,2.0,3.0,60.0
20212,11440530,공덕동,CS100003,일식음식점,35.0,5.0,1.0,16.67
20212,11440530,공덕동,CS100004,양식음식점,28.0,4.0,1.0,20.0
20212,11440530,공덕동,CS100005,제과점,16.0,0.0,0.0,0.0
20212,11440530,공덕동,CS100006,패스트푸드점,16.0,2.0,0.0,0.0
20212,11440530,공덕동,CS100007,치킨전문점,16.0,0.0,2.0,100.0
20212,11440530,공덕동,CS100008,분식전문점,51.0,3.0,2.0,40.0
20212,11440530,공덕동,CS100009,호프-간이주점,81.0,0.0,4.0,100.0
20212,11440530,공덕동,CS100010,커피-음료,102.0,8.0,5.0,38.46
20212,11440530,공덕동,CS200001,일반교습학원,51.0,2.0,3.0,60.0
20212,11440530,공덕동,CS200002,외국어학원,6.0,0.0,1.0,100.0
20213,11440530,공덕동,CS100001,한식음식점,279.0,7.0,8.0,53.33
20213,11440530,공덕동,CS100002,중식음식점,32.0,1.0,0.0,0.0
20213,11440530,공덕동,CS100003,일식음식점,34.0,2.0,3.0,60.0
20213,11440530,공덕동,CS100004,양식음식점,29.0,3.0,2.0,40.0
20213,11440530,공덕동,CS100005,제과점,14.0,0.0,3.0,100.0
20213,11440530,공덕동,CS100006,패스트푸드점,19.0,3.0,0.0,0.0
20213,11440530,공덕동,CS100007,치킨전문점,16.0,1.0,1.0,50.0
20213,11440530,공덕동,CS100008,분식전문점,53.0,4.0,2.0,33.33
20213,11440530,공덕동,CS100009,호프-간이주점,79.0,2.0,4.0,66.67
20213,11440530,공덕동,CS100010,커피-음료,103.0,8.0,6.0,42.86
20213,11440530,공덕동,CS200001,일반교습학원,51.0,2.0,2.0,50.0
20213,11440530,공덕동,CS200002,외국어학원,6.0,0.0,0.0,0.0
20214,11440530,공덕동,CS100001,한식음식점,283.0,13.0,5.0,27.78
20214,11440530,공덕동,CS100002,중식음식점,31.0,0.0,1.0,100.0
20214,11440530,공덕동,CS100003,일식음식점,34.0,1.0,0.0,0.0
20214,11440530,공덕동,CS100004,양식음식점,30.0,2.0,1.0,33.33
20214,11440530,공덕동,CS100005,제과점,15.0,1.0,0.0,0.0
20214,11440530,공덕동,CS100006,패스트푸드점,17.0,1.0,2.0,66.67
20214,11440530,공덕동,CS100007,치킨전문점,18.0,3.0,0.0,0.0
20214,11440530,공덕동,CS100008,분식전문점,57.0,6.0,2.0,25.0
20214,11440530,공덕동,CS100009,호프-간이주점,77.0,1.0,3.0,75.0
20214,11440530,공덕동,CS100010,커피-음료,103.0,6.0,4.0,40.0
20214,11440530,공덕동,CS200001,일반교습학원,53.0,2.0,0.0,0.0
20214,11440530,공덕동,CS200002,외국어학원,6.0,0.0,0.0,0.0
20221,11440530,공덕동,CS100001,한식음식점,277.0,9.0,16.0,64.0
20221,11440530,공덕동,CS100002,중식음식점,36.0,5.0,0.0,0.0
20221,11440530,공덕동,CS100003,일식음식점,35.0,2.0,1.0,33.33
20221,11440530,공덕동,CS100004,양식음식점,35.0,5.0,0.0,0.0
20221,11440530,공덕동,CS100005,제과점,16.0,1.0,0.0,0.0
20221,11440530,공덕동,CS100006,패스트푸드점,17.0,1.0,1.0,50.0
20221,11440530,공덕동,CS100007,치킨전문점,18.0,0.0,0.0,0.0
20221,11440530,공덕동,CS100008,분식전문점,57.0,2.0,2.0,50.0
20221,11440530,공덕동,CS100009,호프-간이주점,74.0,1.0,3.0,75.0
20221,11440530,공덕동,CS100010,커피-음료,103.0,4.0,5.0,55.56
20221,11440530,공덕동,CS200001,일반교습학원,54.0,1.0,0.0,0.0
20221,11440530,공덕동,CS200002,외국어학원,6.0,0.0,0.0,0.0
20222,11440530,공덕동,CS100001,한식음식점,277.0,9.0,8.0,47.06
20222,11440530,공덕동,CS100002,중식음식점,38.0,5.0,3.0,37.5
20222,11440530,공덕동,CS100003,일식음식점,36.0,4.0,3.0,42.86
20222,11440530,공덕동,CS100004,양식음식점,37.0,2.0,0.0,0.0
20222,11440530,공덕동,CS100005,제과점,18.0,2.0,0.0,0.0
20222,11440530,공덕동,CS100006,패스트푸드점,17.0,0.0,0.0,0.0
20222,11440530,공덕동,CS100007,치킨전문점,18.0,0.0,0.0,0.0
20222,11440530,공덕동,CS100008,분식전문점,57.0,2.0,2.0,50.0
20222,11440530,공덕동,CS100009,호프-간이주점,72.0,0.0,2.0,100.0
20222,11440530,공덕동,CS100010,커피-음료,114.0,18.0,4.0,18.18
20222,11440530,공덕동,CS200001,일반교습학원,55.0,2.0,1.0,33.33
20222,11440530,공덕동,CS200002,외국어학원,6.0,0.0,0.0,0.0
20223,11440530,공덕동,CS100001,한식음식점,271.0,11.0,16.0,59.26
20223,11440530,공덕동,CS100002,중식음식점,37.0,0.0,2.0,100.0
20223,11440530,공덕동,CS100003,일식음식점,35.0,1.0,2.0,66.67
20223,11440530,공덕동,CS100004,양식음식점,36.0,1.0,2.0,66.67
20223,11440530,공덕동,CS100005,제과점,19.0,2.0,0.0,0.0
20223,11440530,공덕동,CS100006,패스트푸드점,16.0,1.0,2.0,66.67
20223,11440530,공덕동,CS100007,치킨전문점,17.0,0.0,2.0,100.0
20223,11440530,공덕동,CS100008,분식전문점,55.0,2.0,4.0,66.67
20223,11440530,공덕동,CS100009,호프-간이주점,70.0,4.0,5.0,55.56
20223,11440530,공덕동,CS100010,커피-음료,117.0,9.0,6.0,40.0
20223,11440530,공덕동,CS200001,일반교습학원,59.0,4.0,0.0,0.0
20223,11440530,공덕동,CS200002,외국어학원,6.0,0.0,0.0,0.0
20224,11440530,공덕동,CS100001,한식음식점,276.0,15.0,10.0,40.0
20224,11440530,공덕동,CS100002,중식음식점,37.0,4.0,4.0,50.0
20224,11440530,공덕동,CS100003,일식음식점,37.0,3.0,1.0,25.0
20224,11440530,공덕동,CS100004,양식음식점,37.0,5.0,2.0,28.57
20224,11440530,공덕동,CS100005,제과점,18.0,0.0,2.0,100.0
20224,11440530,공덕동,CS100006,패스트푸드점,21.0,5.0,0.0,0.0
