quarter,dong_code,industry_code,dong_name,industry_name,store_count,open_count,close_count,closure_rate,franchise_count
20191,11440555,CS100001,아현동,한식음식점,88,1,4,4.0,13
20191,11440555,CS100002,아현동,중식음식점,4,0,0,0.0,0
20191,11440555,CS100003,아현동,일식음식점,9,0,0,0.0,5
20191,11440555,CS100004,아현동,양식음식점,6,2,0,0.0,0
20191,11440555,CS100005,아현동,제과점,8,1,1,7.0,6
20191,11440555,CS100006,아현동,패스트푸드점,2,1,0,0.0,3
20191,11440555,CS100007,아현동,치킨전문점,6,0,0,0.0,6
20191,11440555,CS100008,아현동,분식전문점,13,1,1,4.0,11
20191,11440555,CS100009,아현동,호프-간이주점,29,0,4,13.0,2
20191,11440555,CS100010,아현동,커피-음료,24,1,1,3.0,9
20191,11440565,CS100001,공덕동,한식음식점,205,3,7,3.0,15
20191,11440565,CS100002,공덕동,중식음식점,17,0,0,0.0,0
20191,11440565,CS100003,공덕동,일식음식점,17,0,1,5.0,5
20191,11440565,CS100004,공덕동,양식음식점,10,0,0,0.0,3
20191,11440565,CS100005,공덕동,제과점,11,2,0,0.0,5
20191,11440565,CS100006,공덕동,패스트푸드점,5,0,1,8.0,8
20191,11440565,CS100007,공덕동,치킨전문점,9,1,0,0.0,18
20191,11440565,CS100008,공덕동,분식전문점,30,0,1,3.0,10
20191,11440565,CS100009,공덕동,호프-간이주점,72,0,2,3.0,0
20191,11440565,CS100010,공덕동,커피-음료,44,1,2,4.0,12
20191,11440585,CS100001,도화동,한식음식점,145,8,9,6.0,15
20191,11440585,CS100002,도화동,중식음식점,11,2,2,15.0,2
20191,11440585,CS100003,도화동,일식음식점,13,1,0,0.0,4
20191,11440585,CS100004,도화동,양식음식점,15,0,0,0.0,2
20191,11440585,CS100005,도화동,제과점,9,0,1,6.0,7
20191,11440585,CS100006,도화동,패스트푸드점,5,1,3,25.0,7
20191,11440585,CS100007,도화동,치킨전문점,9,3,2,9.0,14
20191,11440585,CS100008,도화동,분식전문점,24,1,1,3.0,10
20191,11440585,CS100009,도화동,호프-간이주점,69,3,0,0.0,10
20191,11440585,CS100010,도화동,커피-음료,34,3,0,0.0,21
20191,11440590,CS100001,용강동,한식음식점,168,8,9,5.0,25
20191,11440590,CS100002,용강동,중식음식점,12,1,0,0.0,1
20191,11440590,CS100003,용강동,일식음식점,26,3,0,0.0,3
20191,11440590,CS100004,용강동,양식음식점,10,1,1,8.0,2
20191,11440590,CS100005,용강동,제과점,7,0,1,7.0,7
20191,11440590,CS100006,용강동,패스트푸드점,1,0,0,0.0,7
20191,11440590,CS100007,용강동,치킨전문점,5,0,1,8.0,7
20191,11440590,CS100008,용강동,분식전문점,18,1,1,4.0,6
20191,11440590,CS100009,용강동,호프-간이주점,57,1,3,5.0,6
20191,11440590,CS100010,용강동,커피-음료,49,3,1,2.0,13
20191,11440600,CS100002,대흥동,중식음식점,13,0,0,0.0,0
20191,11440600,CS100010,대흥동,커피-음료,50,4,3,5.0,11
20191,11440600,CS100009,대흥동,호프-간이주점,34,1,0,0.0,5
20191,11440600,CS100008,대흥동,분식전문점,23,0,0,0.0,9
20191,11440600,CS100007,대흥동,치킨전문점,8,0,0,0.0,8
20191,11440600,CS100006,대흥동,패스트푸드점,11,2,1,5.0,10
20191,11440600,CS100005,대흥동,제과점,11,0,0,0.0,4
20191,11440600,CS100004,대흥동,양식음식점,14,1,1,7.0,1
20191,11440600,CS100003,대흥동,일식음식점,8,3,1,11.0,1
20191,11440600,CS100001,대흥동,한식음식점,126,4,5,4.0,11
20191,11440610,CS100010,염리동,커피-음료,25,3,2,6.0,10
20191,11440610,CS100001,염리동,한식음식점,52,3,5,8.0,9
20191,11440610,CS100002,염리동,중식음식점,2,0,0,0.0,1
20191,11440610,CS100003,염리동,일식음식점,7,1,1,11.0,2
20191,11440610,CS100004,염리동,양식음식점,9,1,1,10.0,1
20191,11440610,CS100005,염리동,제과점,12,2,0,0.0,1
20191,11440610,CS100006,염리동,패스트푸드점,4,1,0,0.0,6
20191,11440610,CS100007,염리동,치킨전문점,5,0,1,14.0,2
20191,11440610,CS100008,염리동,분식전문점,18,2,1,4.0,7
20191,11440610,CS100009,염리동,호프-간이주점,16,3,1,5.0,5
20191,11440630,CS100001,신수동,한식음식점,67,2,2,3.0,9
20191,11440630,CS100009,신수동,호프-간이주점,12,0,1,7.0,2
20191,11440630,CS100008,신수동,분식전문점,20,4,2,9.0,2
20191,11440630,CS100007,신수동,치킨전문점,6,0,0,0.0,7
20191,11440630,CS100006,신수동,패스트푸드점,2,0,0,0.0,6
20191,11440630,CS100005,신수동,제과점,8,0,0,0.0,3
20191,11440630,CS100004,신수동,양식음식점,7,0,0,0.0,0
20191,11440630,CS100003,신수동,일식음식점,3,0,0,0.0,0
20191,11440630,CS100002,신수동,중식음식점,9,0,1,11.0,0
20191,11440630,CS100010,신수동,커피-음료,32,2,3,9.0,0
20191,11440655,CS100001,서강동,한식음식점,141,1,8,5.0,19
20191,11440655,CS100002,서강동,중식음식점,18,2,0,0.0,1
20191,11440655,CS100003,서강동,일식음식점,35,4,2,5.0,6
20191,11440655,CS100004,서강동,양식음식점,57,4,2,4.0,0
20191,11440655,CS100005,서강동,제과점,25,2,3,10.0,5
20191,11440655,CS100006,서강동,패스트푸드점,13,2,0,0.0,4
20191,11440655,CS100007,서강동,치킨전문점,7,0,0,0.0,10
20191,11440655,CS100008,서강동,분식전문점,28,4,0,0.0,6
20191,11440655,CS100009,서강동,호프-간이주점,82,5,5,5.0,12
20191,11440655,CS100010,서강동,커피-음료,95,3,3,3.0,13
20191,11440660,CS100010,서교동,커피-음료,471,47,19,3.0,85
20191,11440660,CS100001,서교동,한식음식점,695,42,57,7.0,112
20191,11440660,CS100002,서교동,중식음식점,76,13,3,3.0,16
20191,11440660,CS100003,서교동,일식음식점,166,7,6,3.0,37
20191,11440660,CS100004,서교동,양식음식점,249,18,19,7.0,29
20191,11440660,CS100005,서교동,제과점,84,10,2,2.0,32
20191,11440660,CS100006,서교동,패스트푸드점,67,7,3,3.0,32
20191,11440660,CS100007,서교동,치킨전문점,29,3,8,12.0,37
20191,11440660,CS100008,서교동,분식전문점,121,9,5,3.0,33
20191,11440660,CS100009,서교동,호프-간이주점,530,26,28,5.0,55
20191,11440680,CS100009,합정동,호프-간이주점,96,7,6,6.0,9
20191,11440680,CS100010,합정동,커피-음료,105,5,6,5.0,26
20191,11440680,CS100001,합정동,한식음식점,154,9,10,6.0,23
20191,11440680,CS100002,합정동,중식음식점,14,1,0,0.0,3
20191,11440680,CS100003,합정동,일식음식점,34,1,1,3.0,4
20191,11440680,CS100004,합정동,양식음식점,52,2,0,0.0,7
20191,11440680,CS100005,합정동,제과점,18,0,0,0.0,5
20191,11440680,CS100006,합정동,패스트푸드점,14,3,0,0.0,5
20191,11440680,CS100007,합정동,치킨전문점,4,0,0,0.0,9
20191,11440680,CS100008,합정동,분식전문점,24,1,1,3.0,6
20191,11440690,CS100002,망원1동,중식음식점,11,0,0,0.0,1
20191,11440690,CS100001,망원1동,한식음식점,115,2,8,7.0,4
20191,11440690,CS100010,망원1동,커피-음료,92,10,4,4.0,6
20191,11440690,CS100009,망원1동,호프-간이주점,43,0,3,7.0,3
20191,11440690,CS100008,망원1동,분식전문점,33,1,2,5.0,5
20191,11440690,CS100007,망원1동,치킨전문점,8,2,0,0.0,12
20191,11440690,CS100006,망원1동,패스트푸드점,8,0,0,0.0,9
20191,11440690,CS100005,망원1동,제과점,23,2,1,4.0,2
20191,11440690,CS100004,망원1동,양식음식점,40,1,2,5.0,1
20191,11440690,CS100003,망원1동,일식음식점,24,3,1,4.0,2
20191,11440700,CS100009,망원2동,호프-간이주점,26,0,1,3.0,4
20191,11440700,CS100001,망원2동,한식음식점,92,8,6,6.0,11
20191,11440700,CS100010,망원2동,커피-음료,46,3,2,4.0,5
20191,11440700,CS100002,망원2동,중식음식점,14,0,0,0.0,0
20191,11440700,CS100003,망원2동,일식음식점,7,0,1,14.0,0
20191,11440700,CS100004,망원2동,양식음식점,6,0,1,17.0,0
20191,11440700,CS100005,망원2동,제과점,15,3,1,6.0,3
20191,11440700,CS100006,망원2동,패스트푸드점,7,2,0,0.0,4
20191,11440700,CS100007,망원2동,치킨전문점,7,0,0,0.0,13
20191,11440700,CS100008,망원2동,분식전문점,15,0,1,5.0,4
20191,11440710,CS100003,연남동,일식음식점,51,5,3,5.0,6
20191,11440710,CS100010,연남동,커피-음료,182,13,10,5.0,4
20191,11440710,CS100001,연남동,한식음식점,133,6,12,9.0,2
20191,11440710,CS100009,연남동,호프-간이주점,130,7,6,4.0,5
20191,11440710,CS100008,연남동,분식전문점,24,0,0,0.0,2
20191,11440710,CS100007,연남동,치킨전문점,4,1,0,0.0,6
20191,11440710,CS100006,연남동,패스트푸드점,20,3,1,4.0,5
20191,11440710,CS100005,연남동,제과점,41,4,1,2.0,4
20191,11440710,CS100004,연남동,양식음식점,101,5,6,6.0,9
20191,11440710,CS100002,연남동,중식음식점,33,1,0,0.0,0
20191,11440720,CS100003,성산1동,일식음식점,8,0,0,0.0,2
20191,11440720,CS100002,성산1동,중식음식점,7,0,0,0.0,0
20191,11440720,CS100001,성산1동,한식음식점,80,4,5,6.0,8
20191,11440720,CS100010,성산1동,커피-음료,43,2,1,2.0,4
20191,11440720,CS100009,성산1동,호프-간이주점,23,1,0,0.0,4
20191,11440720,CS100008,성산1동,분식전문점,12,0,0,0.0,5
20191,11440720,CS100007,성산1동,치킨전문점,2,0,0,0.0,7
20191,11440720,CS100006,성산1동,패스트푸드점,8,0,0,0.0,6
20191,11440720,CS100005,성산1동,제과점,10,2,1,8.0,3
20191,11440720,CS100004,성산1동,양식음식점,12,0,1,8.0,0
20191,11440730,CS100003,성산2동,일식음식점,9,2,0,0.0,2
20191,11440730,CS100001,성산2동,한식음식점,92,4,2,2.0,13
20191,11440730,CS100002,성산2동,중식음식점,10,1,0,0.0,2
20191,11440730,CS100004,성산2동,양식음식점,4,1,0,0.0,2
20191,11440730,CS100005,성산2동,제과점,10,2,1,6.0,6
20191,11440730,CS100006,성산2동,패스트푸드점,4,1,0,0.0,5
20191,11440730,CS100007,성산2동,치킨전문점,4,1,0,0.0,12
20191,11440730,CS100008,성산2동,분식전문점,28,1,1,3.0,11
20191,11440730,CS100009,성산2동,호프-간이주점,22,1,2,9.0,1
20191,11440730,CS100010,성산2동,커피-음료,40,3,0,0.0,7
20191,11440740,CS100010,상암동,커피-음료,104,11,6,4.0,41
20191,11440740,CS100001,상암동,한식음식점,243,18,17,6.0,56
20191,11440740,CS100002,상암동,중식음식점,24,2,0,0.0,5
20191,11440740,CS100003,상암동,일식음식점,56,7,8,13.0,7
20191,11440740,CS100004,상암동,양식음식점,34,4,5,12.0,7
20191,11440740,CS100005,상암동,제과점,17,2,2,7.0,10
20191,11440740,CS100006,상암동,패스트푸드점,11,1,1,4.0,15
20191,11440740,CS100007,상암동,치킨전문점,10,0,0,0.0,13
20191,11440740,CS100008,상암동,분식전문점,31,2,8,17.0,15
20191,11440740,CS100009,상암동,호프-간이주점,46,2,0,0.0,9
20192,11440555,CS100002,아현동,중식음식점,5,1,0,0.0,0
20192,11440555,CS100001,아현동,한식음식점,90,8,5,5.0,14
20192,11440555,CS100010,아현동,커피-음료,25,2,2,6.0,8
20192,11440555,CS100009,아현동,호프-간이주점,27,1,3,10.0,2
20192,11440555,CS100008,아현동,분식전문점,14,1,0,0.0,11
20192,11440555,CS100007,아현동,치킨전문점,7,2,0,0.0,7
20192,11440555,CS100006,아현동,패스트푸드점,3,2,0,0.0,4
20192,11440555,CS100005,아현동,제과점,8,0,0,0.0,6
20192,11440555,CS100004,아현동,양식음식점,6,0,0,0.0,0
20192,11440555,CS100003,아현동,일식음식점,10,1,0,0.0,5
20192,11440565,CS100005,공덕동,제과점,11,0,0,0.0,5
20192,11440565,CS100001,공덕동,한식음식점,210,13,7,3.0,16
20192,11440565,CS100002,공덕동,중식음식점,19,2,0,0.0,0
20192,11440565,CS100003,공덕동,일식음식점,15,1,3,15.0,5
20192,11440565,CS100004,공덕동,양식음식점,9,0,1,8.0,3
20192,11440565,CS100006,공덕동,패스트푸드점,5,0,1,8.0,7
20192,11440565,CS100007,공덕동,치킨전문점,9,0,1,4.0,17
20192,11440565,CS100008,공덕동,분식전문점,31,1,0,0.0,10
20192,11440565,CS100009,공덕동,호프-간이주점,73,4,3,4.0,0
20192,11440565,CS100010,공덕동,커피-음료,45,6,5,9.0,12
20192,11440585,CS100002,도화동,중식음식점,12,1,0,0.0,2
20192,11440585,CS100010,도화동,커피-음료,36,3,0,0.0,22
20192,11440585,CS100009,도화동,호프-간이주점,68,1,2,3.0,10
