yr,corpNm,brandNm,indutyLclasNm,indutyMlsfcNm,frcsCnt,newFrcsRgsCnt,ctrtEndCnt,ctrtCncltnCnt,nmChgCnt,avrgSlsAmt,arUnitAvrgSlsAmt
2024,그린팜에프앤씨,고래가참치&초밥마켓,외식,일식,0,0,0,0,0,0,0
2024,(주)겐텐,겐텐,외식,일식,1,0,0,0,0,0,0
2024,겐로쿠우동,겐로쿠우동,외식,일식,20,3,1,0,0,301335,15462
2024,잉쓰(YINGSS),갑목( 甲木),외식,일식,0,0,0,0,0,0,0
2024,(주)이베앙에프앤비,가솔린앤로지스,외식,일식,0,0,0,0,0,0,0
2024,20회수산-하루20판한정판매,20회수산,외식,일식,1,0,0,0,0,410450,48374
2024,찬들컴퍼니,1's 카츠곳간,외식,일식,3,2,0,1,0,0,0
2024,에이제이토탈(주),호차오,외식,중식,0,0,0,0,0,0,0
2024,신라방유통,향리원 마라탕,외식,중식,34,8,0,0,3,345915,14751
2024,해남짬뽕,해남짬뽕,외식,중식,0,0,0,0,0,0,0
2024,바로심김밥,바로심김밥,외식,분식,1,0,0,0,0,0,0
2024,부산명가밀면,밀면천하 ,외식,분식,0,0,0,0,0,0,0
2024,(주)오름에프씨,무공돈까스,외식,분식,60,12,18,9,4,304415,14796
2024,모범형제,모범떡볶이1976,외식,분식,0,0,0,0,0,0,0
2024,(주)명륜당,명륜분식,외식,분식,0,0,0,0,0,0,0
2024,치코앤치카,명랑꼬마김밥,외식,분식,0,0,0,0,0,0,0
2024,(주)먹쉬돈나,먹쉬돈나,외식,분식,3,2,0,0,0,93173,61494
2024,(주)붐후레쉬빌,매송이라면,외식,분식,0,0,0,0,0,0,0
2024,(주)맛있는수다,맛있는분식,외식,분식,0,0,0,0,0,0,0
2024,이집닭강정잘하네,이집닭강정잘하네,외식,치킨,0,0,0,0,0,0,0
2024,라쿤치킨&amp;떡볶이깐풍전설고구려찜닭요당,육터닭,외식,치킨,0,0,0,0,0,0,0
2024,(주)육미제당,육미제당,외식,치킨,0,0,0,0,0,0,0
2024,(주)웰비프,웰비프,외식,치킨,0,0,0,0,0,0,0
2024,다산에이앤씨,움치킨,외식,치킨,0,0,0,0,0,0,0
2024,씨케이푸드,왕초바베큐,외식,치킨,0,0,0,0,0,0,0
2024,민푸드,온고지신 통닭원,외식,치킨,0,0,0,0,0,0,0
2024,(주)오빠통닭,오빠통닭,외식,치킨,13,11,0,0,0,359567,20297
2024,(주)케이푸드코리아코퍼레이션,반미362,외식,기타 외국식,31,13,1,0,2,192496,16499
2024,(주)미분당,미분당,외식,기타 외국식,111,38,0,0,0,479207,34692
2024,(주)명륜당,명륜하노이,외식,기타 외국식,0,0,0,0,0,0,0
2024,오샬(OTSAL),마이 런던 1772(MY LONDON 1772),외식,기타 외국식,0,0,0,0,0,0,0
2024,더램,더램(THE램),외식,기타 외국식,0,0,0,0,0,0,0
2024,대성성,대성성,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)달콤나라앨리스,달콤왕가탕후루,외식,기타 외국식,531,497,9,0,9,615265,46521
2024,(주)다다에프앤비,다다하다,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)찹찹푸드,꾸아(Qua),외식,기타 외국식,22,22,2,1,0,557004,23208
2024,(주)비엠디,봉명가닭도리탕,외식,한식,19,19,1,0,0,297218,23060
2024,(주)식스텐비즈,본스튜,외식,한식,2,0,0,0,0,0,0
2024,본가설렁탕,본가설렁탕,외식,한식,0,0,0,0,0,0,0
2024,(주)바이럴,볶찜,외식,한식,67,24,44,0,4,93150,7314
2024,보쌈주는족발집본점,보쌈주는족발집,외식,한식,0,0,0,0,0,0,0
2024,보쌈백프로,보쌈백프로,외식,한식,1,1,0,0,0,0,0
2024,보승FC,보승회관,외식,한식,43,11,0,2,1,954022,28373
2024,보배쭈꾸미,보배쭈꾸미,외식,한식,0,0,0,0,0,0,0
2024,빨간자전거떡볶이,빨간자전거,외식,분식,4,0,3,0,0,136364,9677
2024,(유)에브라임이노베이션,불굴의떡볶이,외식,분식,0,0,3,0,0,0,0
2024,(주)칠곡에프앤비,부산면관,외식,분식,13,6,9,0,0,331934,13155
2024,다산에이앤씨,부대떡볶이,외식,분식,0,0,0,0,0,0,0
2024,㈜복순에프앤비,복순식당,외식,분식,0,0,0,0,0,0,0
2024,범앗간초전본점,범앗간,외식,분식,1,1,0,0,0,0,0
2024,(주)버거형에프앤비,버거형의어쩌다떡볶이,외식,분식,0,0,0,0,0,0,0
2024,(주)프랭크에프앤비,바푸리,외식,분식,27,0,13,0,2,107945,7587
2024,(주)커피나무,커피나무,외식,커피,0,0,0,0,0,0,0
2024,(주)티제이커피기업,커피기업,외식,커피,17,3,0,1,1,278331,16233
2024,㈜커피101스트릿,커피101스트릿(COFFEE 101 STREET),외식,커피,15,1,0,5,0,144377,4642
2024,(주)커스텀커피,커스텀커피,외식,커피,112,10,6,1,13,187050,10883
2024,커슐랭영동점,커슐랭,외식,커피,2,1,0,0,0,200000,20000
2024,(주)카페홈즈,카페홈즈(Cafe Homes),외식,커피,12,11,0,0,1,345782,27023
2024,(주)카페프리헷,카페프리헷,외식,커피,104,0,0,0,2,58490,5843
2024,(주)카페코지,카페코지,외식,커피,29,2,3,0,0,100229,3966
2024,청춘시간,청춘한우곱도리탕,외식,한식,0,0,0,0,0,0,0
2024,(유)에브라임이노베이션,청춘식당,외식,한식,0,0,0,0,0,0,0
2024,(주)해밀에프앤비,청춘면가,외식,한식,4,1,0,0,0,403015,13768
2024,(주)봄봄,청와삼대,외식,한식,26,5,2,0,1,212001,3536
2024,(주)대한푸드,청록미나리식당,외식,한식,2,2,0,0,0,0,0
2024,(주)청도푸드,청도미나리식당,외식,한식,5,5,0,0,0,325209,13008
2024,(주)이재현푸드,청담족발,외식,한식,14,14,0,0,0,1112478,46351
2024,(주)명륜당,청담물갈비,외식,한식,12,3,3,0,0,350756,9425
2024,(주)정성컴퍼니,청담김치찜,외식,한식,0,0,0,0,0,0,0
2024,(주)일공공코리아,일공공샤브&편백찜,외식,기타 외국식,47,16,6,0,1,607170,9151
2024,(주)엔조이서울,을지로쌀국수,외식,기타 외국식,0,0,0,0,0,0,0
2024,라포코퍼레이션,월미당,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)영웅팩토리,와다라멘,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)씨에스피푸드,씨에스피르사이공,외식,기타 외국식,0,0,0,1,0,0,0
2024,로드다이닝(주),수오미엔(suomian),외식,기타 외국식,0,0,2,0,0,0,0
2024,(주)네오푸드,사이공올데이,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)분분푸드,분분,외식,기타 외국식,0,0,0,0,0,0,0
2024,료혼일심관,료혼,외식,일식,0,0,0,0,0,0,0
2024,푸드케미,돈카춘,외식,일식,27,18,14,0,1,251627,10343
2024,돈카와치돈까스앤우동,돈카와치,외식,일식,8,0,0,0,0,230730,15115
2024,(주)다이닝야경,다이닝야경,외식,일식,21,20,0,0,0,309910,16718
2024,(주)이끌,남바완돈카츠,외식,일식,0,0,0,0,0,0,0
2024,낙원의소바,낙원의 소바,외식,일식,0,0,0,0,0,0,0
2024,(주)긴자료코,긴자료코,외식,일식,90,28,0,0,7,432292,28481
2024,구름에프앤비,구름카츠,외식,일식,0,0,0,0,0,0,0
2024,(주)하이웨이브,고파(高波),외식,일식,0,0,0,0,0,0,0
2024,(주)에스에프이노베이션,스쿨푸드,외식,분식,68,3,12,0,11,687578,27041
2024,석관동놀러오새우,석관동 놀러오새우,외식,분식,0,0,0,0,0,0,0
2024,(주)에이지푸드,서춘화닭강정,외식,분식,0,0,0,0,0,0,0
2024,생강김밥,생강김밥,외식,분식,4,1,5,0,0,77594,7876
2024,(주)상아에프앤씨,상아김밥,외식,분식,13,2,0,1,1,390449,29515
2024,삼형제김밥본점,삼형제김밥,외식,분식,27,19,1,0,3,223010,29437
2024,삼춘김밥,삼춘김밥,외식,분식,0,0,0,0,0,0,0
2024,(주)헤이디쉬코리아,삼청당,외식,분식,15,10,0,1,0,210424,19988
2024,지오코소,뿌기떡볶이,외식,분식,0,0,0,0,0,0,0
2024,장인푸드,빨석구떡볶이,외식,분식,0,0,0,0,0,0,0
2024,(주)야베스코리아,몬스터스시&사시미,외식,일식,0,0,0,0,0,0,0
2024,(주)모토이시,모토이시,외식,일식,53,30,0,0,0,742932,29597
2024,(주)명륜당,명륜스시,외식,일식,0,0,0,0,0,0,0
2024,멘야세븐,멘야세븐,외식,일식,2,1,0,0,0,178729,10532
2024,멘부리,멘부리,외식,일식,10,3,2,1,1,400301,9955
2024,모찌컴퍼니,멘모찌,외식,일식,0,0,0,0,0,0,0
2024,(주)맛있는수다,맛있는스시,외식,일식,0,0,0,0,0,0,0
2024,만푸쿠,만푸쿠,외식,일식,0,0,0,0,0,0,0
2024,다산에이앤씨,마구로센세,외식,일식,0,0,0,0,0,0,0
2024,리드미컬브로스(주),리드믹살롱,외식,일식,0,0,0,0,0,0,0
2024,㈜핵가족,핵밥,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)만상코리아,하노이별,외식,기타 외국식,33,4,0,2,0,268884,17277
2024,포식코리아,포식(PHO食),외식,기타 외국식,0,0,0,0,0,0,0
2024,네모푸드,포슈아,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)에이원더블유,"포레스트 오늘, 숲[soup]",외식,기타 외국식,15,7,1,0,0,581615,18533
2024,(주)이이오오,포25(PHO25),외식,기타 외국식,2,1,0,0,0,276119,18535
2024,푸디코리아(주),퍼부어,외식,기타 외국식,2,2,0,0,0,0,0
2024,(주)엔조이서울,타이반쩜,외식,기타 외국식,18,8,2,0,0,489448,21812
2024,(주)에이치디오에스코리아,칙피스,외식,기타 외국식,3,3,0,0,0,420741,24659
2024,(주)에이앤제이코퍼레이션,쇼부,외식,일식,12,2,3,0,1,120374,9260
2024,수에프앤비(SUF&B),새벽회,외식,일식,9,0,0,0,0,226697,14169
2024,삼도숙성회망포점,삼도숙성회,외식,일식,0,0,0,0,0,0,0
2024,주)에스제이애프,산본마츠 ,외식,일식,0,0,0,0,0,0,0
2024,범푸드시스템,범카츠,외식,일식,0,0,0,0,0,0,0
2024,(주)바르미,바르미스시뷔페,외식,일식,2,0,0,0,0,7287326,38478
2024,(주)에이치푸드빌,바다민족,외식,일식,0,0,0,0,0,0,0
2024,(주)올바른에프앤비,미카도스시,외식,일식,69,20,13,1,6,985626,29976
2024,(주)재혁,미스타교자,외식,일식,5,4,0,0,0,603875,28540
2024,(주)싸롱컴퍼니,쌀국수집을하려던소바집,외식,분식,0,0,0,0,0,0,0
2024,(주)바름,싸다리분식,외식,분식,0,0,0,0,0,0,0
2024,(주)참에프앤디,싸다김밥,외식,분식,82,14,3,0,4,797626,35875
2024,신화,신화신가네매운떡볶이,외식,분식,8,2,0,0,1,102856,7988
2024,(주)깻떡,신촌깻잎떡볶이,외식,분식,1,1,0,0,0,0,0
2024,신성당,신성당,외식,분식,0,0,1,0,0,0,0
2024,(주)앤리치,신명맛나는분식,외식,분식,0,0,0,0,0,0,0
2024,(주)명륜당,신당분식,외식,분식,0,0,0,0,0,0,0
2024,(주)장스푸드,스텔라떡볶이,외식,분식,98,70,3,0,5,234525,17011
2024,(주)와이에프엔씨,치맥각,외식,치킨,0,0,0,0,0,0,0
2024,투가이즈,최강파닭,외식,치킨,0,0,0,0,0,0,0
2024,(주)그남자네식품,천년닭강정,외식,치킨,0,0,0,0,0,0,0
2024,(주)오픈,진율치킨,외식,치킨,0,0,0,0,0,0,0
2024,(주)바이럴,직화로바베큐치킨,외식,치킨,1,1,0,0,0,0,0
2024,(주)정석닭강정,정석닭강정,외식,치킨,16,12,2,0,1,157312,12287
2024,에이원포스트,장작클라스,외식,치킨,0,0,0,0,0,0,0
2024,사재,잉치킨,외식,치킨,9,0,4,0,0,299793,17424
2024,씨앤오푸드,일팔닭강정,외식,치킨,0,0,1,0,0,0,0
2024,(주)에이치푸드빌,마미쿡,외식,패스트푸드,15,0,0,7,2,60569,3551
2024,리앙푸드코리아(주),리앙크리스피롤,외식,패스트푸드,0,0,0,0,0,0,0
2024,롯데지알에스(주),롯데리아,외식,패스트푸드,1191,19,16,5,95,869034,18252
2024,니꾸킹버거(NIKUKINGBURGER),니꾸킹버거(NIKUKING BURGER),외식,패스트푸드,0,0,0,0,0,0,0
2024,그릭판다,그릭판다,외식,패스트푸드,0,0,0,0,0,0,0
2024,(주)얼라이브러쉬,PC토랑,외식,패스트푸드,684,101,0,0,0,0,0
2024,(주)케이에프씨코리아,KFC(케이에프씨),외식,패스트푸드,0,0,0,0,0,0,0
2024,다산에이앤씨,향연,외식,기타 외국식,0,0,0,0,0,0,0
2024,(주)푸드버스,치킨버스,외식,치킨,2,0,1,0,0,399161,15228
2024,닭촌축산,치킨멤버,외식,치킨,26,3,3,0,1,88738,4966
2024,(주)코리아델로스케이디,치킨매니아,외식,치킨,145,18,36,0,11,194375,10596
2024,다인에프씨(주),치킨마루,외식,치킨,182,16,0,42,13,126542,9507
2024,(주)멕시카나,치킨더홈,외식,치킨,73,0,56,0,0,113144,6614
2024,윤성만프랜차이즈법률원,치킨그램,외식,치킨,0,0,0,0,0,0,0
2024,오리엔탈에프엔비(주),치킨갱스터,외식,치킨,28,33,6,0,1,103496,5816
2024,다인에프씨(주),치코야,외식,치킨,0,0,0,0,0,0,0
2024,(주)씨엠케이푸드,치맥킹,외식,치킨,14,7,0,0,3,1013711,21852
2024,세지컴퍼니,열혈분식,외식,분식,13,0,0,0,0,0,0
2024,(주)한국창업경제연구소,엉클장분식,외식,분식,2,0,0,0,0,0,0
2024,(주)든해산업,얼큰자매떡볶이,외식,분식,0,0,0,0,0,0,0
2024,(주)명륜당파트너스,양호실떡볶이,외식,분식,0,0,0,0,0,0,0
2024,푸드버스,앙떡로제떡볶이,외식,분식,12,7,0,7,0,0,0
2024,아싸라비야매운떡볶이,아싸라비야 매운떡볶이,외식,분식,3,5,2,0,0,161356,9681
2024,(주)아담스푸드앤로지스틱스,아담&#39;s 꼬마김밥,외식,분식,0,0,0,0,0,0,0
2024,(주)에스엔인더스트리,씨앗호떡,외식,분식,3,0,0,0,0,0,0
2024,(주)청년에프앤씨,어부 김호권의 역전오뎅집,외식,일식,0,0,0,0,0,0,0
2024,(주)압구정편의점,압편 압구정편의점,외식,일식,15,15,0,0,0,0,0
2024,아빠는초밥왕,아빠는초밥왕,외식,일식,0,0,0,0,0,0,0
2024,(주)씨앤에이치글로벌,아맛나초밥,외식,일식,0,0,0,0,0,0,0
2024,(주)빅매치,썰맨,외식,일식,0,0,0,0,0,0,0
2024,(주)위벨롭먼트,시선,외식,일식,56,56,0,0,0,1439158,23788
2024,(주)와이케이,스위시(SUWiSH),외식,일식,12,12,1,0,0,63068,4204
2024,(주)스아게코리아,스아게,외식,일식,5,3,0,0,0,549137,22881
2024,스시화,스시화,외식,일식,19,5,3,0,2,274320,31037
2024,(주)스시세끼,스시세끼,외식,일식,0,0,0,0,0,0,0
2024,버거피아전북대점,버거피아,외식,패스트푸드,2,2,0,0,0,250293,12515
2024,(주)해냄,버거앤타코 (BURGER&TACO),외식,패스트푸드,0,0,0,0,0,0,0
2024,보승FC,버거리(BURGERRY),외식,패스트푸드,44,24,0,1,3,482419,31359
2024,(주)알볼로에프앤씨,목동버거,외식,패스트푸드,6,4,2,0,1,191246,16044
2024,(주)명륜당,메타버거(METABURGER) ,외식,패스트푸드,0,0,0,0,0,0,0
2024,(주)맘스터치앤컴퍼니,맘스피자(MOM'S PIZZA),외식,패스트푸드,39,41,2,0,0,120378,4650
2024,(주)맘스터치앤컴퍼니,맘스터치 피자앤치킨,외식,패스트푸드,44,13,5,0,7,211599,14883
2024,(주)맘스터치앤컴퍼니,맘스터치,외식,패스트푸드,1409,58,41,0,160,500091,17929
2024,제일식품,코만도,외식,치킨,6,0,8,0,0,0,0
2024,(주)비에스에프앤비,카우보이,외식,치킨,14,2,21,0,0,0,0
2024,칠분통닭운남점,칠분통닭,외식,치킨,0,0,0,0,0,0,0
2024,(주)티오엘드림,치킨히어로,외식,치킨,15,0,1,0,0,109661,5422
2024,(주)신미푸드,치킨주막,외식,치킨,21,3,0,1,1,139058,7644
2024,치킨에꼬치다,치킨에꼬치다,외식,치킨,2,0,0,0,0,0,0
2024,(주)호프라이트,치킨아메리카Z,외식,치킨,0,0,0,0,0,0,0
2024,(주)오앤씨웰푸드,치킨신드롬,외식,치킨,175,42,36,0,23,224255,14613
2024,제이케이컴퍼니,치킨슈퍼,외식,치킨,0,0,0,0,0,0,0
2024,(주)고트코퍼레이션,리파인,외식,한식,0,0,0,0,0,0,0
2024,다산에이앤씨,리북관,외식,한식,0,0,0,0,0,0,0
2024,보을F&B,류창희국수人(인),외식,한식,3,1,0,0,0,509453,22150
2024,로꼬로꼬,로꼬로꼬,외식,한식,3,0,0,1,0,466069,11461
2024,엘앤에스,라이스투 미튜,외식,한식,0,0,0,0,0,0,0
2024,똘이장군,똘이장군돼지부속,외식,한식,1,1,0,0,0,0,0
2024,(주)해오름에프에스,또와유 명태간장조림,외식,한식,0,0,0,0,0,0,0
2024,또올래곱창송파본점,또올래곱창,외식,한식,0,0,0,0,0,0,0
2024,영미김밥,영미김밥,외식,분식,0,0,0,0,0,0,0
2024,(주)에이치푸드빌,오징어네,외식,일식,0,0,0,0,0,0,0
