STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_00_06_FLPOP_CO,TMZON_06_11_FLPOP_CO,TMZON_11_14_FLPOP_CO,TMZON_14_17_FLPOP_CO,TMZON_17_21_FLPOP_CO,TMZON_21_24_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
20191,R,전통시장,3130175,신촌 상인회(신촌상점가),99520.0,43924.0,55596.0,11531.0,50272.0,13125.0,8443.0,7539.0,8610.0,12250.0,14627.0,15931.0,19278.0,26520.0,10914.0,13310.0,12978.0,13636.0,14131.0,15050.0,16730.0,13685.0
20191,R,전통시장,3130181,아현가구거리상점가,2659890.0,1280580.0,1379310.0,265524.0,401435.0,528420.0,491880.0,402569.0,570062.0,528058.0,566825.0,409514.0,425038.0,455019.0,275439.0,409562.0,409417.0,411268.0,420380.0,401183.0,310161.0,297919.0
20191,R,전통시장,3130178,이대 앞 스타트업 상점가,59996.0,17216.0,42780.0,8872.0,24548.0,7800.0,6352.0,5668.0,6756.0,9416.0,12184.0,10992.0,11428.0,10832.0,5144.0,9284.0,9156.0,9504.0,9860.0,8948.0,7052.0,6192.0
20191,R,전통시장,3130183,상암동상점가,1401134.0,699852.0,701282.0,134447.0,300331.0,348516.0,250905.0,172503.0,194431.0,242333.0,276736.0,221578.0,223183.0,276754.0,160547.0,213373.0,215179.0,216109.0,227897.0,216778.0,165994.0,145802.0
20191,R,전통시장,3130184,마포농수산물시장,25964.0,12159.0,13805.0,2990.0,3431.0,4168.0,4462.0,3728.0,7186.0,2450.0,5139.0,4691.0,5372.0,6097.0,2215.0,3418.0,3718.0,3444.0,3626.0,3521.0,4254.0,3984.0
20191,R,전통시장,3130185,망원월드컵시장,282680.0,122875.0,159805.0,36719.0,42357.0,54195.0,48099.0,35038.0,66273.0,62020.0,50732.0,36057.0,39502.0,57391.0,36978.0,40157.0,39503.0,39283.0,39651.0,39475.0,41871.0,42740.0
20191,R,전통시장,3130186,망원시장,335340.0,146326.0,189014.0,39778.0,55338.0,69308.0,51529.0,40164.0,79222.0,86028.0,62217.0,38437.0,41789.0,61943.0,44925.0,46099.0,46003.0,46281.0,45711.0,47360.0,51894.0,51992.0
20191,R,전통시장,3130193,신수시장,92771.0,40815.0,51957.0,16233.0,10231.0,14257.0,16430.0,12678.0,22942.0,23531.0,19569.0,11362.0,11284.0,15371.0,11653.0,13076.0,13278.0,13282.0,12933.0,12813.0,13378.0,14011.0
20191,R,전통시장,3130188,합정시장,65188.0,29698.0,35489.0,5808.0,16788.0,15145.0,9790.0,7931.0,9724.0,9137.0,11916.0,11365.0,9688.0,15580.0,7501.0,8859.0,8977.0,9202.0,9481.0,9933.0,9538.0,9198.0
20191,R,전통시장,3130189,서교시장,101805.0,46640.0,55166.0,20963.0,46391.0,13184.0,8827.0,5072.0,7367.0,17312.0,10165.0,11771.0,18184.0,29438.0,14936.0,11886.0,12244.0,12174.0,12941.0,14892.0,20346.0,17323.0
20191,R,전통시장,3130190,홍대소상공인상점가,689767.0,319938.0,369830.0,134792.0,313280.0,93627.0,61670.0,35265.0,51133.0,114906.0,72482.0,83406.0,123640.0,195901.0,99432.0,81691.0,84241.0,84153.0,89237.0,102314.0,134705.0,113426.0
20191,R,전통시장,3130191,홍대 걷고싶은 거리,691579.0,302745.0,388833.0,114402.0,279324.0,115858.0,75085.0,45265.0,61643.0,75610.0,85099.0,102431.0,140643.0,200024.0,87770.0,87309.0,88738.0,92682.0,96176.0,106367.0,122527.0,97778.0
