STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
20191,A,골목상권,3110148,어린이대공원역 3번,LH,상권확장,85.0,52.0,93.0,48.0
20191,A,골목상권,3110520,경의중앙 신촌역,LH,상권확장,74.0,50.0,93.0,48.0
20191,A,골목상권,3110542,마포구청역 7번,LL,다이나믹,77.0,42.0,93.0,48.0
20191,A,골목상권,3110545,마포구청역 1번,LH,상권확장,70.0,63.0,93.0,48.0
20191,A,골목상권,3110584,아현역 4번,HH,정체,108.0,62.0,93.0,48.0
20191,A,골목상권,3110554,망원역 1번,LL,다이나믹,67.0,46.0,93.0,48.0
20191,A,골목상권,3110555,홍익지구대,LL,다이나믹,86.0,48.0,93.0,48.0
20191,A,골목상권,3110581,염리초등학교,HH,정체,112.0,66.0,93.0,48.0
20191,A,골목상권,3110582,이대역 5번,HL,상권축소,110.0,43.0,93.0,48.0
20191,A,골목상권,3110585,마포경찰서,LL,다이나믹,58.0,35.0,93.0,48.0
20191,A,골목상권,3110587,공덕동주민센터,LH,상권확장,91.0,49.0,93.0,48.0
20191,A,골목상권,3110560,마포FM,LH,상권확장,76.0,51.0,93.0,48.0
20191,A,골목상권,3110561,상수역 4번,LL,다이나믹,70.0,47.0,93.0,48.0
20191,A,골목상권,3110547,KB국민은행 망원동지점,LL,다이나믹,86.0,42.0,93.0,48.0
20191,A,골목상권,3110570,KB국민은행 서강지점,LH,상권확장,77.0,50.0,93.0,48.0
20191,A,골목상권,3110548,마포구청역 4번,LL,다이나믹,93.0,46.0,93.0,48.0
20191,A,골목상권,3110571,신수동주민센터,HH,정체,96.0,57.0,93.0,48.0
20191,A,골목상권,3110572,서강대역 1번,LL,다이나믹,88.0,48.0,93.0,48.0
20191,A,골목상권,3110540,망원나들목체육관,LH,상권확장,73.0,55.0,93.0,48.0
20191,A,골목상권,3110573,신촌역 6번,HL,상권축소,116.0,47.0,93.0,48.0
20191,A,골목상권,3110574,서강대학교,LH,상권확장,57.0,74.0,93.0,48.0
20191,A,골목상권,3110575,대흥동주민센터,LL,다이나믹,89.0,42.0,93.0,48.0
20191,A,골목상권,3110576,대흥역 3번,LL,다이나믹,84.0,47.0,93.0,48.0
20191,A,골목상권,3110557,홍대부속여중고앞,LL,다이나믹,84.0,42.0,93.0,48.0
20191,A,골목상권,3110559,성산중학교,LL,다이나믹,57.0,43.0,93.0,48.0
20191,A,골목상권,3110564,홍대입구역 3번,LL,다이나믹,58.0,41.0,93.0,48.0
20191,A,골목상권,3110532,아현역 2번,HH,정체,132.0,50.0,93.0,48.0
20191,A,골목상권,3110530,아현역 1번,LH,상권확장,92.0,57.0,93.0,48.0
