quarter,dong_code,dong_name,store_total,store_normal,store_franchise,industry_code,industry_name,survival_1y,survival_3y,survival_5y,survival_1y_num,survival_1y_den,survival_3y_num,survival_3y_den,survival_5y_num,survival_5y_den,surv2_1y,surv2_3y,surv2_5y,avg_oper_period,avg_oper_period_90,open_count,close_count,open_rate,close_rate,golmok_avg_sales,income_level,income_raw,household_count,floating_pop,building_pop,resident_pop_api,worker_pop
20191,11440555,아현동,102.0,88.0,14.0,CS100001,한식,80.0,37.5,42.1,8.0,10.0,9.0,24.0,8.0,19.0,66.7,42.9,33.3,3.1166666666666667,4.583333333333333,1.0,3.0,1.0,2.9,28765613.175,9,"9분위:4,890,362~6,945,811원",11321.0,89742.91954607722,181905.94375434305,367.5934171380822,76.95534130210646
20192,11440555,아현동,104.0,90.0,14.0,CS100001,한식,75.0,30.0,31.3,9.0,12.0,6.0,20.0,5.0,16.0,66.7,42.9,33.3,3.066666666666667,4.566666666666666,8.0,5.0,7.7,4.8,29848472.528455283,9,"9분위:4,890,362~6,945,811원",11321.0,85809.15542446442,179251.35790132603,367.5934171380822,76.95534130210646
20193,11440555,아현동,101.0,88.0,13.0,CS100001,한식,85.7,16.7,30.8,12.0,14.0,3.0,18.0,4.0,13.0,66.7,42.9,33.3,3.0833333333333335,4.583333333333333,1.0,4.0,1.0,4.0,27964721.45,9,"9분위:4,890,362~6,945,811원",11177.0,84604.10840314941,176287.28505877827,360.23106954144214,76.95534130210646
20194,11440555,아현동,111.0,97.0,14.0,CS100001,한식,78.6,46.9,25.0,11.0,14.0,15.0,32.0,5.0,20.0,70.6,41.2,35.3,3.1416666666666666,4.575,8.0,2.0,7.2,1.8,24148238.03100775,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
20201,11440555,아현동,105.0,91.0,14.0,CS100001,한식,71.4,52.9,37.5,5.0,7.0,18.0,34.0,9.0,24.0,70.6,41.2,35.3,3.2,4.591666666666667,4.0,5.0,3.8,4.8,23107004.262295082,9,"9분위:4,890,362~6,945,811원",10034.0,87222.52463890627,179654.044645062,322.65353992866426,76.95534130210646
20202,11440555,아현동,106.0,92.0,14.0,CS100001,한식,70.0,38.5,33.3,7.0,10.0,10.0,26.0,7.0,21.0,66.7,42.9,33.3,3.2083333333333335,4.583333333333333,4.0,0.0,3.8,0.0,29829967.951612905,9,"9분위:4,890,362~6,945,811원",10034.0,88633.945786922,181044.49149768276,322.65353992866426,76.95534130210646
20203,11440555,아현동,111.0,98.0,13.0,CS100001,한식,83.3,50.0,21.1,10.0,12.0,13.0,26.0,4.0,19.0,70.6,41.2,35.3,3.2333333333333334,4.591666666666667,3.0,2.0,2.7,1.8,23476389.40769231,9,"9분위:4,890,362~6,945,811원",10034.0,86225.38332755111,181683.88516559562,322.65353992866426,76.95534130210646
20204,11440555,아현동,111.0,97.0,14.0,CS100001,한식,78.6,46.9,25.0,11.0,14.0,15.0,32.0,5.0,20.0,70.6,41.2,35.3,3.1416666666666666,4.575,8.0,2.0,7.2,1.8,24148238.03100775,9,"9분위:4,890,362~6,945,811원",10034.0,86870.47544835453,178307.19949003326,322.65353992866426,76.95534130210646
20211,11440555,아현동,111.0,96.0,15.0,CS100001,한식,77.8,70.0,25.0,14.0,18.0,7.0,10.0,6.0,24.0,53.8,34.6,26.9,3.125,4.591666666666667,4.0,2.0,3.6,1.8,22994015.972972974,9,"9분위:4,890,362~6,945,811원",10610.0,84804.36963175437,165424.6825054988,346.24529609599995,76.32389908122676
20212,11440555,아현동,109.0,95.0,14.0,CS100001,한식,82.4,58.3,20.0,14.0,17.0,7.0,12.0,4.0,20.0,53.8,34.6,26.9,3.1333333333333333,4.591666666666667,4.0,3.0,3.7,2.8,25678158.28440367,9,"9분위:4,890,362~6,945,811원",10610.0,87804.67406173475,175235.44142560975,346.24529609599995,76.32389908122676
20213,11440555,아현동,108.0,95.0,13.0,CS100001,한식,88.2,42.9,16.7,15.0,17.0,6.0,14.0,3.0,18.0,53.8,34.6,26.9,3.158333333333333,4.591666666666667,4.0,5.0,3.7,4.6,20024848.85185185,9,"9분위:4,890,362~6,945,811원",10610.0,86951.313487568,0.0,346.24529609599995,76.32389908122676
20214,11440555,아현동,110.0,96.0,14.0,CS100001,한식,100.0,50.0,40.6,14.0,14.0,7.0,14.0,13.0,32.0,73.9,52.2,30.4,3.1333333333333333,4.641666666666667,2.0,2.0,1.8,1.8,23731804.336363636,9,"9분위:4,890,362~6,945,811원",10610.0,83044.11024405477,127767.83384732009,346.24529609599995,75.42375804295142
20221,11440555,아현동,110.0,96.0,14.0,CS100001,한식,88.9,42.9,44.1,16.0,18.0,3.0,7.0,15.0,34.0,73.9,52.2,30.4,3.0833333333333335,4.625,1.0,2.0,0.9,1.8,20854256.927272726,9,"9분위:4,890,362~6,945,811원",10610.0,81613.04721248742,126289.8239810715,346.24529609599995,75.42375804295142
20222,11440555,아현동,111.0,97.0,14.0,CS100001,한식,88.9,50.0,26.9,16.0,18.0,5.0,10.0,7.0,26.0,53.8,34.6,26.9,3.1,4.608333333333333,2.0,2.0,1.8,1.8,24206640.054054055,9,"9분위:4,890,362~6,945,811원",10610.0,82201.2423587073,164759.82197106743,346.24529609599995,75.42375804295142
