quarter,dong_code,dong_name,open_count,close_count,open_rate,close_rate,industry_code,industry_name
20193,11440555,아현동,1.0,4.0,1.0,4.0,CS100001,한식
20192,11440555,아현동,8.0,5.0,7.7,4.8,CS100001,한식
20191,11440555,아현동,1.0,3.0,1.0,2.9,CS100001,한식
20193,11440565,공덕동,3.0,7.0,1.4,3.2,CS100001,한식
20192,11440565,공덕동,13.0,7.0,5.8,3.1,CS100001,한식
20191,11440565,공덕동,7.0,11.0,3.2,5.0,CS100001,한식
20193,11440585,도화동,8.0,9.0,5.0,5.6,CS100001,한식
20192,11440585,도화동,4.0,4.0,2.5,2.5,CS100001,한식
20191,11440585,도화동,11.0,10.0,6.8,6.2,CS100001,한식
20193,11440590,용강동,8.0,9.0,4.1,4.7,CS100001,한식
20192,11440590,용강동,11.0,9.0,5.6,4.6,CS100001,한식
20191,11440590,용강동,6.0,8.0,3.1,4.1,CS100001,한식
20193,11440600,대흥동,4.0,5.0,2.9,3.6,CS100001,한식
20192,11440600,대흥동,6.0,5.0,4.3,3.6,CS100001,한식
20191,11440600,대흥동,3.0,4.0,2.2,2.9,CS100001,한식
20193,11440610,염리동,3.0,5.0,4.9,8.2,CS100001,한식
20192,11440610,염리동,2.0,1.0,3.2,1.6,CS100001,한식
20191,11440610,염리동,2.0,3.0,3.3,4.9,CS100001,한식
20193,11440630,신수동,2.0,2.0,2.6,2.6,CS100001,한식
20192,11440630,신수동,2.0,4.0,2.7,5.4,CS100001,한식
20191,11440630,신수동,2.0,3.0,2.7,4.1,CS100001,한식
20193,11440655,서강동,1.0,8.0,0.6,5.0,CS100001,한식
20192,11440655,서강동,7.0,11.0,4.5,7.1,CS100001,한식
20191,11440655,서강동,7.0,9.0,4.5,5.8,CS100001,한식
20193,11440660,서교동,42.0,57.0,5.2,7.1,CS100001,한식
20192,11440660,서교동,41.0,57.0,5.2,7.2,CS100001,한식
20191,11440660,서교동,50.0,46.0,6.3,5.8,CS100001,한식
20193,11440680,합정동,9.0,10.0,5.1,5.6,CS100001,한식
20192,11440680,합정동,10.0,7.0,5.6,3.9,CS100001,한식
20191,11440680,합정동,6.0,13.0,3.5,7.5,CS100001,한식
20193,11440690,망원1동,2.0,8.0,1.7,6.7,CS100001,한식
20192,11440690,망원1동,14.0,6.0,11.0,4.7,CS100001,한식
20191,11440690,망원1동,5.0,1.0,3.8,0.8,CS100001,한식
20193,11440700,망원2동,8.0,6.0,7.8,5.8,CS100001,한식
20192,11440700,망원2동,4.0,5.0,3.9,4.9,CS100001,한식
20191,11440700,망원2동,6.0,3.0,5.7,2.9,CS100001,한식
20193,11440710,연남동,6.0,12.0,4.4,8.9,CS100001,한식
20192,11440710,연남동,9.0,9.0,6.7,6.7,CS100001,한식
20191,11440710,연남동,7.0,11.0,5.3,8.4,CS100001,한식
20193,11440720,성산1동,4.0,5.0,4.5,5.7,CS100001,한식
20192,11440720,성산1동,5.0,5.0,5.7,5.7,CS100001,한식
