quarter,dong_code,dong_name,golmok_avg_sales,industry_code,industry_name
20193,11440555,아현동,27964721.45,CS100001,한식
20192,11440555,아현동,29848472.528455283,CS100001,한식
20191,11440555,아현동,28765613.175,CS100001,한식
20193,11440565,공덕동,43094222.7112069,CS100001,한식
20192,11440565,공덕동,41858347.58050848,CS100001,한식
20191,11440565,공덕동,41017168.8583691,CS100001,한식
20193,11440585,도화동,60806872.90643275,CS100001,한식
20192,11440585,도화동,62986665.44252873,CS100001,한식
20191,11440585,도화동,67265240.35795455,CS100001,한식
20193,11440590,용강동,67938610.57142857,CS100001,한식
20192,11440590,용강동,69960741.40186916,CS100001,한식
20191,11440590,용강동,68950184.91121495,CS100001,한식
20193,11440600,대흥동,29011378.6971831,CS100001,한식
20192,11440600,대흥동,31596506.53846154,CS100001,한식
20191,11440600,대흥동,29894916.006993007,CS100001,한식
20193,11440610,염리동,35762283.1,CS100001,한식
20192,11440610,염리동,37373927.04285714,CS100001,한식
20191,11440610,염리동,38991540.86956522,CS100001,한식
20193,11440630,신수동,20527885.202531647,CS100001,한식
20192,11440630,신수동,22337823.871794872,CS100001,한식
20191,11440630,신수동,25477048.789473683,CS100001,한식
20193,11440655,서강동,23838836.028901733,CS100001,한식
20192,11440655,서강동,24300845.414772727,CS100001,한식
20191,11440655,서강동,24766058.459770113,CS100001,한식
20193,11440660,서교동,47041996.518857144,CS100001,한식
20192,11440660,서교동,48410524.91676301,CS100001,한식
20191,11440660,서교동,48769869.6969353,CS100001,한식
20193,11440680,합정동,45441948.083333336,CS100001,한식
20192,11440680,합정동,48555965.04102564,CS100001,한식
20191,11440680,합정동,51037243.572916664,CS100001,한식
20193,11440690,망원1동,36365871.63829787,CS100001,한식
20192,11440690,망원1동,36164550.70469799,CS100001,한식
20191,11440690,망원1동,35091834.51298701,CS100001,한식
20193,11440700,망원2동,23001054.24107143,CS100001,한식
20192,11440700,망원2동,24393161.123893805,CS100001,한식
20191,11440700,망원2동,23723975.56140351,CS100001,한식
20193,11440710,연남동,37384630.25,CS100001,한식
20192,11440710,연남동,35888932.01142857,CS100001,한식
20191,11440710,연남동,38343650.01734104,CS100001,한식
20193,11440720,성산1동,31415978.604166668,CS100001,한식
20192,11440720,성산1동,34153041.979166664,CS100001,한식
20191,11440720,성산1동,33965651.12,CS100001,한식
20193,11440730,성산2동,37900417.55140187,CS100001,한식
20192,11440730,성산2동,41635339.95412844,CS100001,한식
20191,11440730,성산2동,42863045.758928575,CS100001,한식
20193,11440740,상암동,31943316.67647059,CS100001,한식
20192,11440740,상암동,34109776.888178915,CS100001,한식
20191,11440740,상암동,36372018.0625,CS100001,한식
20193,11440555,아현동,28842791.4,CS100002,중식
20192,11440555,아현동,19689740.5,CS100002,중식
20191,11440555,아현동,14539019.42857143,CS100002,중식
20193,11440565,공덕동,7462769.2,CS100002,중식
20192,11440565,공덕동,4534089.5,CS100002,중식
20191,11440565,공덕동,3641414.1428571427,CS100002,중식
20193,11440585,도화동,82480351.53333333,CS100002,중식
20192,11440585,도화동,87191903.8125,CS100002,중식
20191,11440585,도화동,87174664.0625,CS100002,중식
20193,11440590,용강동,21479290.0625,CS100002,중식
20192,11440590,용강동,19231839.25,CS100002,중식
20191,11440590,용강동,20799732.9375,CS100002,중식
20193,11440600,대흥동,17210752.818181816,CS100002,중식
20192,11440600,대흥동,18459671.636363637,CS100002,중식
20191,11440600,대흥동,17552354.9,CS100002,중식
20193,11440610,염리동,,CS100002,중식
20192,11440610,염리동,,CS100002,중식
20191,11440610,염리동,1830365.25,CS100002,중식
20193,11440630,신수동,42404672.5,CS100002,중식
20192,11440630,신수동,34218074.28571428,CS100002,중식
20191,11440630,신수동,34244692.85714286,CS100002,중식
20193,11440655,서강동,23525331.555555556,CS100002,중식
20192,11440655,서강동,19372750.95,CS100002,중식
20191,11440655,서강동,19862906.736842107,CS100002,중식
20193,11440660,서교동,43790745.29885057,CS100002,중식
20192,11440660,서교동,47129845.56179775,CS100002,중식
20191,11440660,서교동,46068688.677083336,CS100002,중식
20193,11440680,합정동,55924516.1,CS100002,중식
20192,11440680,합정동,48181621.27272727,CS100002,중식
20191,11440680,합정동,44155051.04545455,CS100002,중식
20193,11440690,망원1동,27560257.0,CS100002,중식
20192,11440690,망원1동,22611381.846153848,CS100002,중식
20191,11440690,망원1동,25828838.666666668,CS100002,중식
20193,11440700,망원2동,35799721.222222224,CS100002,중식
20192,11440700,망원2동,47491807.222222224,CS100002,중식
20191,11440700,망원2동,32370604.181818184,CS100002,중식
20193,11440710,연남동,43506184.655172415,CS100002,중식
20192,11440710,연남동,49108045.96774194,CS100002,중식
20191,11440710,연남동,52740021.0,CS100002,중식
20193,11440720,성산1동,53292679.666666664,CS100002,중식
20192,11440720,성산1동,53666271.666666664,CS100002,중식
20191,11440720,성산1동,46481535.0,CS100002,중식
20193,11440730,성산2동,31538574.09090909,CS100002,중식
20192,11440730,성산2동,32082052.8,CS100002,중식
20191,11440730,성산2동,36624660.222222224,CS100002,중식
20193,11440740,상암동,19059907.0,CS100002,중식
20192,11440740,상암동,23177233.21212121,CS100002,중식
20191,11440740,상암동,25224670.470588237,CS100002,중식
20193,11440555,아현동,,CS100003,일식
20192,11440555,아현동,,CS100003,일식
20191,11440555,아현동,,CS100003,일식
20193,11440565,공덕동,27724339.153846152,CS100003,일식
20192,11440565,공덕동,32454245.12,CS100003,일식
20191,11440565,공덕동,26665054.32,CS100003,일식
20193,11440585,도화동,36562065.08695652,CS100003,일식
