quarter,trdar_code,industry_code,monthly_sales,monthly_count,weekday_sales,weekend_sales,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,time_00_06_sales,time_06_11_sales,time_11_14_sales,time_14_17_sales,time_17_21_sales,time_21_24_sales,male_sales,female_sales,age_10_sales,age_20_sales,age_30_sales,age_40_sales,age_50_sales,age_60_above_sales,weekday_count,weekend_count,mon_count,tue_count,wed_count,thu_count,fri_count,sat_count,sun_count,time_00_06_count,time_06_11_count,time_11_14_count,time_14_17_count,time_17_21_count,time_21_24_count,male_count,female_count,age_10_count,age_20_count,age_30_count,age_40_count,age_50_count,age_60_above_count
20191,3110562,CS100010,417851468,35065,241479222,176372246,45262303,46159617,44601987,51321423,54133892,94304007,82068239,0,1986713,77125037,160983659,155283396,22472663,132518061,285333407,3457760,235843973,106788546,39795425,25754692,6211072,20379,14686,3977,4050,3336,4217,4799,7641,7045,0,292,6333,13673,12900,1867,11109,23956,304,20260,8539,3122,2290,550
20191,3110561,CS100010,140800722,16061,88183355,52617367,16680495,16503288,17151731,18399891,19447950,28297284,24320083,1528223,267970,29353832,38675998,50130867,20843832,60900004,71264425,401624,61164554,42093500,16274517,10063137,2167096,10347,5714,2019,1910,1984,2220,2214,2962,2752,137,56,3277,4742,5570,2279,7139,8277,69,7380,4831,1639,1274,222
20191,3130186,CS100005,45000000,7960,32073103,12926897,5829071,5927572,6378007,6365473,7572980,12926897,0,0,2376321,10111105,13781640,16946101,1784833,21625228,23374772,182079,7769932,11382685,12307441,9748016,3609847,5855,2105,1116,1102,1119,1177,1341,2105,0,0,427,1667,2254,3300,312,3586,4374,61,1913,2109,1833,1479,565
20191,3110569,CS100001,1175154296,24865,776912659,398241637,126010513,138447063,134845013,179208692,198401378,228970671,169270966,105950875,1577746,108308594,101092672,504695472,353528937,618495791,374162669,1647257,163475044,323999044,294447999,153216043,55873076,17451,7414,3223,3263,3231,3805,3929,4458,2956,1651,92,5409,3303,9328,5082,13594,8939,135,4951,6612,5895,3685,1255
20191,3110569,CS100005,391002386,48281,262420059,128582327,44713386,47033565,56368677,54272266,60032165,73475111,55107216,0,67424845,95496498,85246504,109019087,33815452,156457335,221182146,1301209,83968378,96897639,89279745,67875927,38316581,32770,15511,6067,5943,6907,6592,7261,8959,6552,0,8854,11230,10461,13194,4542,19492,27970,295,12749,11940,10313,8132,4031
20191,3120104,CS100002,901933489,21328,597785825,304147664,101983689,96742123,120390256,117408234,161261523,171844322,132303342,43135044,0,158468369,100586682,373396047,226347347,460736995,272896085,927495,210708286,248572418,139656938,100754225,33013716,15276,6052,2672,2665,3050,3167,3722,3524,2528,814,0,6575,3383,7570,2986,11752,7105,45,6232,5654,3675,2173,1082
20191,3110557,CS100010,69918248,12560,61700600,8217648,8844987,11661717,14115329,14740170,12338397,7830833,386815,0,11019397,30616606,17756925,10007570,517750,27135752,34384001,196011,18369216,24800066,11061316,4297872,2795273,11039,1521,1423,2206,2443,2691,2276,1414,107,0,2467,5038,3081,1881,93,5282,6354,48,3782,4504,2122,731,450
20191,3130190,CS100007,40628755,7465,25339893,15288862,5095476,4479833,4131861,4852138,6780585,8399992,6888870,153303,0,676476,9295472,19008265,11495239,17730102,22898653,3733389,25805697,5073300,2968077,2805221,243071,4696,2769,919,915,798,876,1188,1528,1241,25,0,117,1864,3415,2044,3050,4415,791,4873,820,512,449,20
20191,3130185,CS100001,81819955,3556,51783613,30036342,11652682,4724069,9904221,11465538,14037103,16053600,13982742,8708271,414658,5413248,5420433,36445983,25417362,38665600,40257723,65781,19389319,20654169,16914401,16330397,5569256,2246,1310,510,234,389,506,607,683,627,261,34,423,417,1654,767,1640,1817,4,782,786,880,727,277
20191,3110570,CS100010,621000000,90160,453667669,167332331,84614027,85556905,104970756,97828191,80697790,81160907,86171424,0,105199740,197078637,175995875,120096625,22629123,295604900,250185261,779906,116004689,147590154,149714876,94366578,37333958,67292,22868,12232,12654,14319,15106,12981,10525,12343,0,18664,25329,24889,17968,3310,43799,38429,166,19645,22865,25310,10350,3893
20191,3110564,CS100001,544023774,12732,358074191,185949583,50223823,69971872,71562448,77836498,88479550,107215082,78734501,29517479,0,43587251,24508049,255849875,190561120,250635082,238745844,1376964,213463302,153131085,72226392,32584039,16599146,8247,4485,1185,1556,1711,1706,2089,2517,1968,571,0,1805,1288,5605,3463,5598,6347,73,5914,3387,1495,745,332
20191,3110550,CS100003,310050798,4394,232512943,77537855,30724268,45097048,43982230,50276839,62432558,63790459,13747396,43783055,0,5536116,1492885,78927845,180310897,187047192,87741469,0,60540603,124990614,48682999,30041124,10533318,3278,1116,479,594,656,704,845,889,227,697,0,202,26,1044,2425,2628,1410,0,1009,1706,752,448,124
20191,3110550,CS100007,127207157,5333,84852617,42354540,14563689,16083983,13788124,19755694,20661127,25303311,17051229,23573521,0,1646485,3472353,41181285,57333513,80674344,41186552,1035609,28406822,41535735,22671436,16875139,11336157,3542,1791,636,720,568,757,861,998,793,1064,0,90,180,1904,2095,3363,1817,52,1271,1978,802,620,457
20191,3120106,CS100009,104162394,899,78641742,25520652,4582019,10138935,27957897,20256206,15706685,21707719,3812933,62263461,0,0,0,541610,41357323,71340841,2274761,0,15739181,29593558,17970613,10312250,0,682,217,65,130,153,129,205,163,54,444,0,0,0,11,444,650,65,0,239,217,151,108,0
20191,3110542,CS100010,37614933,5074,27834541,9780392,4399487,5219004,5488606,5621380,7106064,6213581,3566811,0,4742530,12153134,12427809,7764394,527066,8606735,27622077,33149,13306176,15258960,3923454,3365431,341640,3924,1150,558,770,781,890,925,805,345,0,921,1635,1545,893,80,1164,3801,7,1749,2210,526,425,48
20191,3110547,CS100001,1764810721,50930,1228755234,536055487,215932397,202837821,237543049,269502096,302939871,341405434,194650053,95599119,1749975,273898154,140759069,827782733,425021671,982784067,601080085,4947914,331228401,395602923,382967070,311762260,157355584,37196,13734,6532,6537,7264,8339,8524,9188,4546,2219,79,12087,5752,22663,8130,28094,19534,214,10363,11354,10933,9197,5569
20191,3120104,CS100004,2508643455,82788,1442627539,1066015916,199749101,249847611,286406252,289282974,417341601,624423961,441591955,185992524,16954295,357576651,440725114,965916116,541478755,923098380,1485402625,18342496,1378720557,645665945,197237914,136316734,32217364,50279,32509,6571,8887,10341,10917,13563,18582,13927,3794,873,17710,18640,31195,10576,27861,52765,1118,47849,19219,6617,4917,898
20191,3120101,CS100008,215984153,22854,144590535,71393618,23260529,28275595,25005082,32051438,35997891,33218145,38175473,829835,15076520,54935566,31021416,73828527,40292289,91272306,108115749,1709367,79585410,59716424,32189346,18355416,7832095,15779,7075,2487,3103,2871,3482,3836,3544,3531,63,1058,5087,3455,8237,4954,9244,12697,175,9813,6538,3029,1784,602
20191,3120101,CS100004,789537165,44933,519822396,269714769,102094417,97772123,93888701,99218741,126848414,134180037,135534732,20963391,0,250670708,141187053,311350030,65365983,376787440,339553098,5196924,306992501,229276073,97945035,58896140,18033866,30926,14007,6231,5874,5445,6427,6949,6852,7155,164,0,15646,9064,17738,2321,22342,20263,451,19236,12615,5680,3582,1039
20191,3110548,CS100001,753727160,22691,538595865,215131295,100694428,106306806,95959065,105507202,130128364,131750356,83380939,38828902,22046520,154306205,59580408,331957683,147007442,405474801,243649633,1281332,73197876,139619642,174460646,162848285,97716651,16537,6154,2988,3218,3123,3248,3960,3488,2666,1449,911,6141,2104,8168,3918,12644,7697,79,2518,4557,5439,4871,2876
20191,3120103,CS100008,1154998888,92683,721335411,433663477,92546063,133276201,137300995,157804984,200407168,255953312,177710165,54369479,5828806,169628795,217620371,418734809,288816628,461197719,659769199,33408233,574821433,212428725,172838532,112067191,15402804,59647,33036,9553,10935,11846,12611,14702,18217,14819,2606,857,17253,18992,35386,17589,36422,55456,4045,51523,16191,10344,8821,954
20191,3130190,CS100009,1686067364,61659,796774907,889292457,125473591,150637143,139490336,150834154,230339683,485390657,403901800,840077775,71588032,0,820016,91451058,682130483,1032972000,649663522,117298053,1189119914,235476851,65579503,65933461,9227741,25162,36497,3709,4737,4114,4476,8126,21025,15472,33794,1810,0,37,3141,22877,37002,24602,3602,40905,11612,2753,2386,344
20191,3110559,CS100004,360273513,14786,219018995,141254518,16386702,32770127,47143105,58956416,63762645,88664591,52589927,10878834,4721308,14444646,30635237,195639095,103954393,135227559,216668242,689696,190186437,125421475,17117668,17345050,1135477,8937,5849,1106,1544,1795,2123,2369,3404,2445,215,15,1049,2534,7470,3503,5474,8978,31,8055,4730,798,774,63
20191,3110559,CS100001,253002584,15557,179565313,73437271,49260746,27081813,28109263,29005230,46108261,46904419,26532852,28307672,19059357,80891510,29431241,54557149,40755655,121968010,84824209,2407200,82131275,54659379,37206415,18220636,12167312,10570,4987,2146,1948,1833,2043,2600,3192,1795,1566,1241,3982,2564,3879,2325,8573,5597,243,6166,3709,2033,1319,700
20191,3110545,CS100007,732979514,31360,495656545,237322969,73690923,91081141,93021164,100521598,137341719,117381469,119941500,0,0,26880337,51230641,353404423,301464113,352744755,323974055,8360105,133121667,173722174,224913154,107651347,28950362,20980,10380,3180,4120,3920,4040,5720,5380,5000,0,0,1120,2480,15600,12160,15280,14740,360,6240,8220,9420,4560,1220
20191,3130196,CS100009,309934524,1237,231073181,78861343,11471559,82437770,25867240,44941518,66355094,54096272,24765071,233839852,0,0,0,19344197,56750475,274822557,697291,0,562331,7040388,46336100,209524646,12056383,855,382,22,316,89,180,248,226,156,991,0,0,0,44,202,1102,45,0,22,67,157,833,67
