quarter,dong_code,dong_name,store_total,store_normal,store_franchise,industry_code,industry_name
20193,11440555,아현동,101.0,88.0,13.0,CS100001,한식
20192,11440555,아현동,104.0,90.0,14.0,CS100001,한식
20191,11440555,아현동,102.0,88.0,14.0,CS100001,한식
20193,11440565,공덕동,220.0,205.0,15.0,CS100001,한식
20192,11440565,공덕동,226.0,210.0,16.0,CS100001,한식
20191,11440565,공덕동,222.0,207.0,15.0,CS100001,한식
20193,11440585,도화동,160.0,145.0,15.0,CS100001,한식
20192,11440585,도화동,160.0,145.0,15.0,CS100001,한식
20191,11440585,도화동,161.0,148.0,13.0,CS100001,한식
20193,11440590,용강동,193.0,168.0,25.0,CS100001,한식
20192,11440590,용강동,195.0,171.0,24.0,CS100001,한식
20191,11440590,용강동,193.0,168.0,25.0,CS100001,한식
20193,11440600,대흥동,137.0,126.0,11.0,CS100001,한식
20192,11440600,대흥동,138.0,127.0,11.0,CS100001,한식
20191,11440600,대흥동,137.0,126.0,11.0,CS100001,한식
20193,11440610,염리동,61.0,52.0,9.0,CS100001,한식
20192,11440610,염리동,62.0,53.0,9.0,CS100001,한식
20191,11440610,염리동,61.0,53.0,8.0,CS100001,한식
20193,11440630,신수동,76.0,67.0,9.0,CS100001,한식
20192,11440630,신수동,74.0,67.0,7.0,CS100001,한식
20191,11440630,신수동,73.0,67.0,6.0,CS100001,한식
20193,11440655,서강동,160.0,141.0,19.0,CS100001,한식
20192,11440655,서강동,156.0,137.0,19.0,CS100001,한식
20191,11440655,서강동,154.0,136.0,18.0,CS100001,한식
20193,11440660,서교동,807.0,695.0,112.0,CS100001,한식
20192,11440660,서교동,791.0,682.0,109.0,CS100001,한식
20191,11440660,서교동,795.0,678.0,117.0,CS100001,한식
20193,11440680,합정동,177.0,154.0,23.0,CS100001,한식
20192,11440680,합정동,180.0,156.0,24.0,CS100001,한식
20191,11440680,합정동,173.0,150.0,23.0,CS100001,한식
20193,11440690,망원1동,119.0,115.0,4.0,CS100001,한식
20192,11440690,망원1동,127.0,123.0,4.0,CS100001,한식
20191,11440690,망원1동,131.0,127.0,4.0,CS100001,한식
