quarter,trdar_code,industry_code,store_count,similar_store_count,open_rate,open_count,close_rate,close_count,franchise_count
20191,3110548,CS100010,6,6,17,1,0,0,0
20191,3110557,CS100006,4,5,0,0,20,1,1
20191,3130196,CS100008,1,2,0,0,0,0,1
20191,3110532,CS100002,1,1,0,0,0,0,0
20191,3110561,CS100008,2,2,0,0,0,0,0
20191,3120103,CS100006,35,46,4,2,0,0,11
20191,3110587,CS100008,3,3,0,0,33,1,0
20191,3130195,CS100008,15,22,0,0,0,0,7
20191,3120099,CS100008,6,9,11,1,0,0,3
20191,3110561,CS100003,3,5,0,0,0,0,2
20191,3120099,CS100004,1,2,0,0,0,0,1
20191,3110547,CS100007,3,6,0,0,0,0,3
20191,3110578,CS100006,0,9,11,1,0,0,9
20191,3120107,CS100010,23,36,3,1,3,1,13
20191,3120104,CS100002,29,29,0,0,0,0,0
20191,3130181,CS100006,0,2,0,0,0,0,2
20191,3120105,CS100006,3,6,0,0,0,0,3
20191,3110548,CS100003,2,2,0,0,0,0,0
20191,3110144,CS100006,1,2,0,0,0,0,1
20191,3110562,CS100008,4,4,0,0,0,0,0
20191,3110562,CS100001,11,11,18,2,9,1,0
20191,3110550,CS100009,32,35,6,2,3,1,3
20191,3110569,CS100005,4,6,0,0,0,0,2
20191,3110554,CS100010,19,19,5,1,5,1,0
20191,3130196,CS100003,1,1,0,0,100,1,0
20191,3110570,CS100004,1,1,0,0,0,0,0
20191,3110550,CS100002,6,7,0,0,0,0,1
20191,3130197,CS100007,2,4,0,0,0,0,2
20191,3110572,CS100007,2,2,0,0,0,0,0
20191,3110530,CS100010,1,2,0,0,0,0,1
20191,3110559,CS100010,28,30,3,1,7,2,2
20191,3130184,CS100008,5,5,0,0,0,0,0
20191,3110581,CS100001,1,2,0,0,50,1,1
20191,3120102,CS100006,3,5,20,1,0,0,2
20191,3110574,CS100010,3,3,67,2,0,0,0
20191,3110582,CS100008,3,4,0,0,0,0,1
20191,3110587,CS100003,2,5,0,0,0,0,3
20191,3110532,CS100010,4,4,0,0,0,0,0
20191,3110564,CS100001,16,16,13,2,6,1,0
20191,3110564,CS100005,4,4,25,1,0,0,0
20191,3110545,CS100001,20,25,4,1,0,0,5
20191,3130197,CS100009,9,9,0,0,0,0,0
20191,3110754,CS100005,2,2,0,0,0,0,0
20191,3110562,CS100005,10,11,0,0,0,0,1
20191,3120107,CS100006,3,10,0,0,0,0,7
20191,3110582,CS100007,1,3,0,0,0,0,2
20191,3110570,CS100001,4,4,0,0,0,0,0
