quarter,dong_code,dong_name,survival_1y,survival_3y,survival_5y,survival_1y_num,survival_1y_den,survival_3y_num,survival_3y_den,survival_5y_num,survival_5y_den,industry_code,industry_name
20193,11440555,아현동,85.7,16.7,30.8,12.0,14.0,3.0,18.0,4.0,13.0,CS100001,한식
20192,11440555,아현동,75.0,30.0,31.3,9.0,12.0,6.0,20.0,5.0,16.0,CS100001,한식
20191,11440555,아현동,80.0,37.5,42.1,8.0,10.0,9.0,24.0,8.0,19.0,CS100001,한식
20193,11440565,공덕동,77.8,48.8,29.3,28.0,36.0,20.0,41.0,12.0,41.0,CS100001,한식
20192,11440565,공덕동,78.4,48.8,31.0,29.0,37.0,21.0,43.0,13.0,42.0,CS100001,한식
20191,11440565,공덕동,77.8,31.0,30.0,28.0,36.0,13.0,42.0,12.0,40.0,CS100001,한식
20193,11440585,도화동,65.1,27.7,9.1,28.0,43.0,13.0,47.0,4.0,44.0,CS100001,한식
20192,11440585,도화동,69.0,31.8,14.3,29.0,42.0,14.0,44.0,5.0,35.0,CS100001,한식
20191,11440585,도화동,74.4,25.6,19.4,29.0,39.0,10.0,39.0,7.0,36.0,CS100001,한식
20193,11440590,용강동,66.7,32.7,31.4,20.0,30.0,17.0,52.0,11.0,35.0,CS100001,한식
20192,11440590,용강동,76.5,50.0,31.3,26.0,34.0,25.0,50.0,10.0,32.0,CS100001,한식
20191,11440590,용강동,76.3,51.8,23.5,29.0,38.0,29.0,56.0,8.0,34.0,CS100001,한식
20193,11440600,대흥동,67.7,26.9,16.1,21.0,31.0,7.0,26.0,5.0,31.0,CS100001,한식
20192,11440600,대흥동,61.3,24.0,20.0,19.0,31.0,6.0,25.0,6.0,30.0,CS100001,한식
20191,11440600,대흥동,68.0,45.0,23.3,17.0,25.0,9.0,20.0,7.0,30.0,CS100001,한식
20193,11440610,염리동,52.9,33.3,25.0,9.0,17.0,6.0,18.0,2.0,8.0,CS100001,한식
20192,11440610,염리동,55.6,37.5,22.2,10.0,18.0,6.0,16.0,2.0,9.0,CS100001,한식
20191,11440610,염리동,61.1,45.0,18.2,11.0,18.0,9.0,20.0,2.0,11.0,CS100001,한식
20193,11440630,신수동,75.0,27.8,8.3,12.0,16.0,5.0,18.0,2.0,24.0,CS100001,한식
20192,11440630,신수동,81.3,36.4,10.5,13.0,16.0,8.0,22.0,2.0,19.0,CS100001,한식
20191,11440630,신수동,91.7,52.6,21.4,11.0,12.0,10.0,19.0,3.0,14.0,CS100001,한식
20193,11440655,서강동,69.6,32.9,17.8,32.0,46.0,24.0,73.0,8.0,45.0,CS100001,한식
20192,11440655,서강동,71.8,34.3,17.3,28.0,39.0,24.0,70.0,9.0,52.0,CS100001,한식
20191,11440655,서강동,71.9,31.4,17.6,23.0,32.0,22.0,70.0,9.0,51.0,CS100001,한식
20193,11440660,서교동,56.3,25.2,16.0,99.0,176.0,85.0,337.0,49.0,307.0,CS100001,한식
20192,11440660,서교동,65.0,27.3,12.7,104.0,160.0,76.0,278.0,38.0,300.0,CS100001,한식
20191,11440660,서교동,66.7,27.1,14.6,108.0,162.0,69.0,255.0,44.0,302.0,CS100001,한식
20193,11440680,합정동,52.9,44.8,17.1,27.0,51.0,26.0,58.0,7.0,41.0,CS100001,한식
20192,11440680,합정동,61.9,44.1,16.7,26.0,42.0,26.0,59.0,6.0,36.0,CS100001,한식
20191,11440680,합정동,79.5,40.4,13.5,31.0,39.0,23.0,57.0,5.0,37.0,CS100001,한식
20193,11440690,망원1동,68.6,20.8,13.8,24.0,35.0,10.0,48.0,4.0,29.0,CS100001,한식
20192,11440690,망원1동,76.0,18.6,21.9,19.0,25.0,8.0,43.0,7.0,32.0,CS100001,한식
20191,11440690,망원1동,70.0,19.5,23.1,14.0,20.0,8.0,41.0,9.0,39.0,CS100001,한식
20193,11440700,망원2동,95.0,35.1,14.7,19.0,20.0,13.0,37.0,5.0,34.0,CS100001,한식
20192,11440700,망원2동,85.7,37.1,12.5,18.0,21.0,13.0,35.0,4.0,32.0,CS100001,한식
20191,11440700,망원2동,90.0,44.8,18.5,18.0,20.0,13.0,29.0,5.0,27.0,CS100001,한식
20193,11440710,연남동,67.3,22.6,3.3,33.0,49.0,14.0,62.0,1.0,30.0,CS100001,한식
20192,11440710,연남동,74.6,22.6,15.4,44.0,59.0,12.0,53.0,6.0,39.0,CS100001,한식
20191,11440710,연남동,72.2,19.7,20.5,39.0,54.0,12.0,61.0,8.0,39.0,CS100001,한식
20193,11440720,성산1동,83.3,32.0,26.7,15.0,18.0,8.0,25.0,4.0,15.0,CS100001,한식
20192,11440720,성산1동,88.2,36.8,42.1,15.0,17.0,7.0,19.0,8.0,19.0,CS100001,한식
20191,11440720,성산1동,93.8,29.4,42.9,15.0,16.0,5.0,17.0,9.0,21.0,CS100001,한식
20193,11440730,성산2동,65.0,40.0,33.3,13.0,20.0,8.0,20.0,6.0,18.0,CS100001,한식
