quarter,dong_code,dong_name,surv2_1y,surv2_3y,surv2_5y,industry_code,industry_name
20193,11440555,아현동,66.7,42.9,33.3,CS100001,한식
20192,11440555,아현동,66.7,42.9,33.3,CS100001,한식
20191,11440555,아현동,66.7,42.9,33.3,CS100001,한식
20193,11440565,공덕동,72.7,45.5,33.3,CS100001,한식
20192,11440565,공덕동,72.7,45.5,33.3,CS100001,한식
20191,11440565,공덕동,72.7,45.5,33.3,CS100001,한식
20193,11440585,도화동,64.1,41.0,28.2,CS100001,한식
20192,11440585,도화동,64.1,41.0,28.2,CS100001,한식
20191,11440585,도화동,64.1,41.0,28.2,CS100001,한식
20193,11440590,용강동,67.6,43.2,21.6,CS100001,한식
20192,11440590,용강동,67.6,43.2,21.6,CS100001,한식
20191,11440590,용강동,67.6,43.2,21.6,CS100001,한식
20193,11440600,대흥동,62.1,44.8,24.1,CS100001,한식
20192,11440600,대흥동,62.1,44.8,24.1,CS100001,한식
20191,11440600,대흥동,62.1,44.8,24.1,CS100001,한식
20193,11440610,염리동,75.0,37.5,12.5,CS100001,한식
20192,11440610,염리동,75.0,37.5,12.5,CS100001,한식
20191,11440610,염리동,75.0,37.5,12.5,CS100001,한식
20193,11440630,신수동,80.0,70.0,30.0,CS100001,한식
20192,11440630,신수동,80.0,70.0,30.0,CS100001,한식
20191,11440630,신수동,80.0,70.0,30.0,CS100001,한식
20193,11440655,서강동,65.5,27.6,17.2,CS100001,한식
20192,11440655,서강동,65.5,27.6,17.2,CS100001,한식
20191,11440655,서강동,65.5,27.6,17.2,CS100001,한식
20193,11440660,서교동,60.5,29.6,14.1,CS100001,한식
20192,11440660,서교동,60.5,29.6,14.1,CS100001,한식
20191,11440660,서교동,60.5,29.6,14.1,CS100001,한식
20193,11440680,합정동,66.7,42.9,14.3,CS100001,한식
20192,11440680,합정동,66.7,42.9,14.3,CS100001,한식
20191,11440680,합정동,66.7,42.9,14.3,CS100001,한식
20193,11440690,망원1동,73.5,35.3,23.5,CS100001,한식
20192,11440690,망원1동,73.5,35.3,23.5,CS100001,한식
20191,11440690,망원1동,73.5,35.3,23.5,CS100001,한식
20193,11440700,망원2동,48.3,27.6,20.7,CS100001,한식
20192,11440700,망원2동,48.3,27.6,20.7,CS100001,한식
20191,11440700,망원2동,48.3,27.6,20.7,CS100001,한식
20193,11440710,연남동,72.7,31.8,20.5,CS100001,한식
20192,11440710,연남동,72.7,31.8,20.5,CS100001,한식
20191,11440710,연남동,72.7,31.8,20.5,CS100001,한식
20193,11440720,성산1동,70.0,45.0,40.0,CS100001,한식
20192,11440720,성산1동,70.0,45.0,40.0,CS100001,한식
20191,11440720,성산1동,70.0,45.0,40.0,CS100001,한식
20193,11440730,성산2동,76.2,42.9,23.8,CS100001,한식
20192,11440730,성산2동,76.2,42.9,23.8,CS100001,한식
20191,11440730,성산2동,76.2,42.9,23.8,CS100001,한식
20193,11440740,상암동,68.8,37.5,25.0,CS100001,한식
20192,11440740,상암동,68.8,37.5,25.0,CS100001,한식
20191,11440740,상암동,68.8,37.5,25.0,CS100001,한식
20193,11440555,아현동,100.0,50.0,0.0,CS100002,중식
20192,11440555,아현동,100.0,50.0,0.0,CS100002,중식
20191,11440555,아현동,100.0,50.0,0.0,CS100002,중식
20193,11440565,공덕동,33.3,33.3,0.0,CS100002,중식
20192,11440565,공덕동,33.3,33.3,0.0,CS100002,중식
20191,11440565,공덕동,33.3,33.3,0.0,CS100002,중식
