dong_code,quarter,day_of_week,time_zone,mean_pop
11440555,20191,0,0,26142.489
11440555,20192,0,0,26601.408592307693
11440555,20193,0,0,27286.700564285715
11440555,20194,0,0,27148.217853846152
11440555,20201,0,0,27439.09191111111
11440555,20202,0,0,27514.970076923077
11440555,20203,0,0,27595.913684615385
11440555,20204,0,0,27945.992461538463
11440555,20211,0,0,26799.01429230769
11440555,20212,0,0,25870.588569230767
11440555,20213,0,0,23215.293446153846
11440555,20214,0,0,22572.387653846155
11440555,20221,0,0,22764.647976923075
11440555,20222,0,0,23225.302476923076
11440555,20223,0,0,22220.26763846154
11440555,20224,0,0,22538.99756923077
11440555,20231,0,0,24006.334692307693
11440555,20232,0,0,24601.35570769231
11440555,20233,0,0,25157.52446923077
11440555,20234,0,0,25026.481353846153
11440555,20241,0,0,25968.474038461536
11440555,20242,0,0,28106.574376923076
11440555,20243,0,0,25403.94662857143
11440555,20244,0,0,25648.847984615386
11440555,20251,0,0,25604.442676923078
11440555,20252,0,0,25490.09070769231
11440555,20253,0,0,27139.47802307692
11440555,20254,0,0,28259.871807692307
11440555,20261,0,0,28461.1519625
11440555,20191,0,1,26272.563775000002
11440555,20192,0,1,26830.8161
11440555,20193,0,1,27540.69550714286
11440555,20194,0,1,27338.523084615383
11440555,20201,0,1,27633.177477777775
11440555,20202,0,1,27638.528823076922
11440555,20203,0,1,27764.24670769231
11440555,20204,0,1,28105.240769230768
11440555,20211,0,1,26942.170746153846
11440555,20212,0,1,26049.76692307692
11440555,20213,0,1,23611.483592307693
11440555,20214,0,1,22979.226969230767
11440555,20221,0,1,23156.83265384615
11440555,20222,0,1,23688.395946153847
11440555,20223,0,1,22748.11458461538
11440555,20224,0,1,22980.12179230769
11440555,20231,0,1,24516.474000000002
11440555,20232,0,1,25012.019984615385
11440555,20233,0,1,25691.734884615384
11440555,20234,0,1,25672.803876923073
11440555,20241,0,1,26785.978823076926
11440555,20242,0,1,28676.62696153846
11440555,20243,0,1,26148.50712857143
11440555,20244,0,1,26439.3816
11440555,20251,0,1,26348.373207692308
11440555,20252,0,1,26313.142338461537
11440555,20253,0,1,27896.033600000002
11440555,20254,0,1,29007.480853846155
11440555,20261,0,1,29098.8183375
11440555,20191,0,2,26139.704425
11440555,20192,0,2,26898.379923076925
11440555,20193,0,2,27373.92697142857
11440555,20194,0,2,27182.969653846154
11440555,20201,0,2,27450.5809
11440555,20202,0,2,27454.29135384615
11440555,20203,0,2,27646.26331538462
11440555,20204,0,2,27903.52856923077
