quarter,dong_code,dong_name,time_zone,total_avg_pop,weekday_avg_pop,weekend_avg_pop
20191,11440555,아현동,0,26350.414153571433,26352.885824999998,26344.234975
20192,11440555,아현동,0,26540.243767032964,26794.573200000003,25904.420184615385
20193,11440555,아현동,0,27332.975745652173,27615.88221666667,26614.828550000002
20194,11440555,아현동,0,27071.92750652174,27305.080115151526,26480.078576923075
20201,11440555,아현동,0,27314.06662,27511.942730952385,26852.355694444446
20202,11440555,아현동,0,27318.777210989007,27577.791336923066,26671.24189615385
20203,11440555,아현동,0,27572.514526086954,27788.518445454545,27024.196884615383
20204,11440555,아현동,0,27625.249780434777,27822.59940151515,27124.285357692315
20211,11440555,아현동,0,26675.38319111111,26840.591571874997,26268.716407692307
20212,11440555,아현동,0,25630.78210989011,25830.739367692313,25130.888965384613
20213,11440555,아현동,0,23475.50285,23590.54378787879,23183.475853846157
20214,11440555,아현동,0,22899.691288043483,22984.955219696967,22683.252076923076
20221,11440555,아현동,0,23133.344320000004,23174.571798437504,23031.861296153842
20222,11440555,아현동,0,23442.998076923068,23557.701956923072,23156.23837692308
20223,11440555,아현동,0,22637.168077173912,22793.32982727273,22240.75748076923
20224,11440555,아현동,0,22846.801967391308,22954.35136153846,22587.886759259254
20231,11440555,아현동,0,24421.212434444446,24553.431741538465,24077.442236000003
20232,11440555,아현동,0,24847.718803296706,24989.54815538461,24493.145423076923
20233,11440555,아현동,0,25172.37811086957,25298.58893076923,24868.53724814815
20234,11440555,아현동,0,25111.57027391304,25313.21206153846,24626.13634074074
20241,11440555,아현동,0,26196.918561538456,26307.33567846154,25920.87576923077
20242,11440555,아현동,0,28021.763263736262,28249.686366153852,27451.955507692306
20243,11440555,아현동,0,25399.23824782609,25512.88851969697,25110.74140384615
20244,11440555,아현동,0,25755.14903695652,25789.08317272727,25669.008538461538
20251,11440555,아현동,0,25645.75375666667,25615.215525000003,25720.924788461536
20252,11440555,아현동,0,25698.457963736266,25747.893153846147,25574.869988461534
20253,11440555,아현동,0,26957.113187777784,27071.206431250008,26676.268280769233
20254,11440555,아현동,0,28520.426369565215,28715.87393181818,28024.29025
20261,11440555,아현동,0,28408.92812881355,28479.16797142857,28235.3944
20191,11440555,아현동,1,26352.072089285717,26360.615795,26330.712825000002
20192,11440555,아현동,1,26568.299631868136,26815.347310769237,25950.680434615384
20193,11440555,아현동,1,27114.97195978261,27437.989554545453,26295.00421923077
20194,11440555,아현동,1,26929.756160869558,27213.661453030298,26209.073496153847
20201,11440555,아현동,1,27257.847151666672,27492.707397619048,26709.839911111107
20202,11440555,아현동,1,27214.022049450545,27469.912567692307,26574.295753846152
20203,11440555,아현동,1,27580.236044565227,27815.33248333333,26983.452776923074
20204,11440555,아현동,1,27612.011420652176,27842.35547878788,27027.29188846154
20211,11440555,아현동,1,26657.403204444443,26837.252703124996,26214.69674615385
20212,11440555,아현동,1,25610.13079230769,25850.371103076923,25009.53001538461
20213,11440555,아현동,1,23371.587843478257,23537.737266666663,22949.823923076925
20214,11440555,아현동,1,22734.169759782613,22882.32263333333,22358.089388461536
20221,11440555,아현동,1,22967.260772222227,23083.7563890625,22680.502330769228
20222,11440555,아현동,1,23294.686274725274,23479.48561384616,22832.687926923074
20223,11440555,아현동,1,22455.515677173917,22688.178863636367,21864.909126923078
20224,11440555,아현동,1,22610.438193478254,22804.476195384617,22143.309670370374
20231,11440555,아현동,1,24198.73813111111,24396.349775384613,23684.947856000006
20232,11440555,아현동,1,24695.807138461543,24901.12227384616,24182.519299999993
20233,11440555,아현동,1,24979.624297826085,25182.798246153845,24490.501829629633
20234,11440555,아현동,1,25385.364302173915,25634.181626153844,24786.359633333333
20241,11440555,아현동,1,26463.67654395604,26592.049020000002,26142.745353846152
20242,11440555,아현동,1,28292.47683076923,28555.567389230768,27634.750434615384
20243,11440555,아현동,1,25832.908932608698,26001.226827272734,25405.640430769236
20244,11440555,아현동,1,26166.91141086957,26268.93600606061,25907.925900000006
20251,11440555,아현동,1,26024.85528222223,26090.701240625007,25862.772923076926
20252,11440555,아현동,1,26141.571537362637,26262.27055076923,25839.824003846155
20253,11440555,아현동,1,27359.215556666673,27538.058223437496,26918.98745384615
20254,11440555,아현동,1,28894.445954347822,29138.570878787876,28274.744223076916
20261,11440555,아현동,1,28813.998922033898,28909.651466666666,28577.68087058824
20191,11440555,아현동,2,26438.622467857145,26437.780835,26440.72655
20192,11440555,아현동,2,26685.84444395604,26939.517683076927,26051.661346153847
20193,11440555,아현동,2,27181.341496739125,27471.475922727266,26444.846415384614
20194,11440555,아현동,2,27049.987873913047,27314.961492424245,26377.36253461539
20201,11440555,아현동,2,27307.875980000008,27546.12053571429,26751.972016666667
20202,11440555,아현동,2,27248.701932967033,27489.805560000004,26645.94286538461
20203,11440555,아현동,2,27620.288023913046,27833.752359090908,27078.417019230772
20204,11440555,아현동,2,27615.775741304347,27833.762089393935,27062.42578076923
20211,11440555,아현동,2,26645.877564444443,26816.033124999998,26227.03310769231
20212,11440555,아현동,2,25625.03418571428,25852.815981538457,25055.57969615385
20213,11440555,아현동,2,23376.224875000004,23506.244415151512,23046.175273076926
20214,11440555,아현동,2,22746.858335869565,22872.618110606065,22427.621984615384
20221,11440555,아현동,2,22937.454837777776,23030.659132812496,22708.028880769227
20222,11440555,아현동,2,23294.243653846162,23446.10519076923,22914.589811538463
20223,11440555,아현동,2,22402.856401086952,22589.941930303034,21927.94698076923
20224,11440555,아현동,2,22534.273680434777,22685.609430769226,22169.946874074078
20231,11440555,아현동,2,24137.290093333326,24302.415498461534,23707.964039999995
20232,11440555,아현동,2,24700.49472527473,24878.569696923078,24255.30729615385
20233,11440555,아현동,2,24980.508893478258,25145.30199846154,24583.784751851854
20234,11440555,아현동,2,25504.433643478264,25694.683595384617,25046.424499999997
20241,11440555,아현동,2,26541.275292307688,26648.914781538457,26272.176569230764
20242,11440555,아현동,2,28414.469386813184,28646.831330769233,27833.564526923077
20243,11440555,아현동,2,25962.690207608703,26095.089563636364,25626.599534615387
20244,11440555,아현동,2,26271.984864130445,26365.26231060606,26035.20365384615
20251,11440555,아현동,2,26137.06059,26175.068995312504,26043.50143846154
20252,11440555,아현동,2,26689.92287032967,26809.684973846153,26390.517611538464
20253,11440555,아현동,2,27752.637843333334,27917.920984375,27345.78703461539
20254,11440555,아현동,2,28921.65684999999,29135.441401515134,28378.972988461534
20261,11440555,아현동,2,28965.842269491535,29017.168461904763,28839.03638235294
20191,11440555,아현동,3,26510.620275,26507.247849999996,26519.0513375
20192,11440555,아현동,3,26794.495223076916,27034.073099999994,26195.550530769226
20193,11440555,아현동,3,27239.59725543478,27533.43485757575,26493.701803846154
20194,11440555,아현동,3,27103.489820652172,27355.5253060606,26463.707434615386
20201,11440555,아현동,3,27352.583856666653,27576.750435714283,26829.52850555556
20202,11440555,아현동,3,27306.685772527475,27541.046487692303,26720.783984615387
20203,11440555,아현동,3,27667.17572391304,27877.23980151515,27133.936142307688
20204,11440555,아현동,3,27637.719609782616,27861.70513030304,27069.140980769233
20211,11440555,아현동,3,26676.336413333327,26855.517546875002,26235.27516153847
20212,11440555,아현동,3,25626.75144175824,25853.496241538454,25059.889442307696
20213,11440555,아현동,3,23354.7840576087,23509.90404090909,22961.017946153846
20214,11440555,아현동,3,22733.842060869563,22875.13095606061,22375.185634615384
20221,11440555,아현동,3,22912.29336,23027.665254687498,22628.30100384615
20222,11440555,아현동,3,23217.5312,23399.061544615386,22763.705338461536
20223,11440555,아현동,3,22283.44070869565,22482.280675757574,21778.693099999997
20224,11440555,아현동,3,22314.54741304348,22497.618824615387,21873.819940740737
20231,11440555,아현동,3,24029.045105555557,24224.685875384617,23520.379104000003
20232,11440555,아현동,3,24688.604448351653,24876.62231384616,24218.559784615387
20233,11440555,아현동,3,24969.146161956516,25149.684141538455,24534.51769259259
20234,11440555,아현동,3,25634.411299999996,25825.72718,25173.836033333333
20241,11440555,아현동,3,26669.136314285715,26763.794246153848,26432.491484615384
20242,11440555,아현동,3,28515.123554945054,28778.18802,27857.462392307694
20243,11440555,아현동,3,26083.38023804348,26204.537369696973,25775.82751923077
20244,11440555,아현동,3,26346.370729347822,26433.502446969687,26125.190215384613
20251,11440555,아현동,3,26251.819294444434,26290.3642234375,26156.939469230772
20252,11440555,아현동,3,26876.991056043957,26962.626173846154,26662.90326153846
20253,11440555,아현동,3,27983.84502555556,28101.110146875002,27695.192419230767
20254,11440555,아현동,3,28994.983053260858,29199.616331818186,28475.529346153842
20261,11440555,아현동,3,29092.13411525423,29151.33016666667,28945.885047058822
20191,11440555,아현동,4,26679.058989285717,26697.307825000004,26633.4369
20192,11440555,아현동,4,26952.274696703298,27181.23404461538,26379.876326923077
20193,11440555,아현동,4,27371.607436956518,27667.205154545456,26621.244
20194,11440555,아현동,4,27213.18013369566,27453.73803484849,26602.533153846154
20201,11440555,아현동,4,27502.256473333324,27724.735488095233,26983.138772222228
20202,11440555,아현동,4,27468.83149010989,27707.953952307693,26871.02533461538
20203,11440555,아현동,4,27803.740376086957,28014.017657575754,27269.959584615382
20204,11440555,아현동,4,27755.34970434782,27976.154778787877,27194.844515384615
20211,11440555,아현동,4,26775.962585555546,26961.83978749999,26318.41870384615
20212,11440555,아현동,4,25691.839906593406,25918.848150769227,25124.319296153844
20213,11440555,아현동,4,23364.26522065217,23541.34147727273,22914.763953846155
20214,11440555,아현동,4,22763.73114673913,22920.441536363636,22365.927850000004
20221,11440555,아현동,4,23018.187357777777,23148.3257015625,22697.846819230766
20222,11440555,아현동,4,23415.184991208782,23605.506069230745,22939.382296153843
20223,11440555,아현동,4,22434.43769347826,22644.253840909092,21901.82747307692
20224,11440555,아현동,4,22473.317413043485,22653.83156923077,22038.746296296293
20231,11440555,아현동,4,24292.687983333326,24489.554049230763,23780.836212
20232,11440555,아현동,4,24834.51399450549,25021.13237076923,24367.96805384615
20233,11440555,아현동,4,25087.491472826085,25265.165335384612,24659.758099999995
20234,11440555,아현동,4,25702.01921304348,25883.11106307692,25266.057351851858
20241,11440555,아현동,4,26951.78216043957,27061.782096923085,26676.78231923077
20242,11440555,아현동,4,28712.28601758242,28986.465523076917,28026.837253846155
20243,11440555,아현동,4,26183.344230434777,26331.87143333333,25806.31363846154
20244,11440555,아현동,4,26449.14204347826,26572.42355909091,26136.196657692308
20251,11440555,아현동,4,26386.38934111111,26441.367234375004,26251.05914230769
20252,11440555,아현동,4,26995.561997802197,27107.21646153846,26716.42583846154
20253,11440555,아현동,4,28270.86175222222,28397.696248437496,27958.653761538462
20254,11440555,아현동,4,29232.34049347826,29436.303351515155,28714.588623076917
20261,11440555,아현동,4,29414.849145762702,29485.976457142846,29239.122847058825
20191,11440555,아현동,5,26880.305010714284,26885.935335,26866.2292
20192,11440555,아현동,5,27128.01031868131,27366.285795384614,26532.321626923072
20193,11440555,아현동,5,27685.994972826087,28008.576274242427,26867.134746153846
20194,11440555,아현동,5,27490.062247826085,27741.562809090905,26851.637746153847
20201,11440555,아현동,5,27691.226051666665,27928.775473809525,27136.944066666667
20202,11440555,아현동,5,27618.515568131872,27886.64981999999,26948.179938461537
20203,11440555,아현동,5,27955.93604782609,28213.624571212124,27301.803642307696
20204,11440555,아현동,5,27959.484690217392,28201.98112575758,27343.916815384615
20211,11440555,아현동,5,27003.81123999999,27220.1627953125,26471.253565384613
20212,11440555,아현동,5,25937.84022087912,26199.595850769234,25283.451146153842
20213,11440555,아현동,5,23731.427505434785,23950.155910606063,23176.193861538464
20214,11440555,아현동,5,23140.829104347824,23334.739542424246,22648.594915384616
20221,11440555,아현동,5,23458.188504444435,23624.747951562502,23048.196019230767
20222,11440555,아현동,5,23861.461931868125,24082.615261538456,23308.578607692307
20223,11440555,아현동,5,22955.0547326087,23202.441256060607,22327.073557692307
20224,11440555,아현동,5,23013.986785869565,23224.855661538466,22506.33949259259
20231,11440555,아현동,5,24819.47087111111,25057.512903076924,24200.561587999997
20232,11440555,아현동,5,25233.859184615387,25467.46238923077,24649.85117307692
20233,11440555,아현동,5,25455.742758695655,25645.82268615385,24998.142933333333
20234,11440555,아현동,5,25849.822873913046,26053.15795538462,25360.312492592602
20241,11440555,아현동,5,27394.918593406594,27542.529456923086,27025.891434615387
20242,11440555,아현동,5,28824.026761538462,29112.07146615384,28103.915
20243,11440555,아현동,5,26424.147557608692,26609.958969696967,25952.472434615385
20244,11440555,아현동,5,26838.62766304348,27011.366024242423,26400.13797692308
20251,11440555,아현동,5,26800.932905555557,26891.739254687498,26577.409584615383
20252,11440555,아현동,5,27478.295723076924,27652.969987692308,27041.61006153846
20253,11440555,아현동,5,28878.896797777776,29077.27473125,28390.58188461538
20254,11440555,아현동,5,29748.35950434782,29991.900849999995,29130.139165384615
20261,11440555,아현동,5,29857.461686440667,29943.417640476182,29645.099917647054
20191,11440555,아현동,6,27038.819482142855,27065.232320000003,26972.7873875
20192,11440555,아현동,6,27312.823454945057,27629.150138461537,26522.00674615385
20193,11440555,아현동,6,28031.012398913037,28419.857451515145,27043.94418846154
20194,11440555,아현동,6,27826.097747826087,28155.464392424245,26990.01318846154
20201,11440555,아현동,6,27991.378139999997,28289.274140476187,27296.287472222222
20202,11440555,아현동,6,27899.121638461536,28256.631352307686,27005.34735384616
20203,11440555,아현동,6,28292.125293478257,28643.33015,27400.605273076922
20204,11440555,아현동,6,28473.20080760869,28819.199472727276,27594.896503846154
20211,11440555,아현동,6,27419.851651111105,27738.685459375003,26635.029969230764
20212,11440555,아현동,6,26368.634970329666,26755.767936923072,25400.80255384615
20213,11440555,아현동,6,24477.84567282609,24851.57673484849,23529.143746153844
20214,11440555,아현동,6,24042.78883804348,24389.19307727273,23163.455
20221,11440555,아현동,6,24310.930907777776,24630.133190625005,23525.202211538464
20222,11440555,아현동,6,24731.302246153842,25120.871490769237,23757.379134615385
20223,11440555,아현동,6,23935.41908369565,24342.06553181818,22903.162715384617
20224,11440555,아현동,6,23957.844058695646,24330.00312923077,23061.905555555553
20231,11440555,아현동,6,25667.385990000002,26017.191743076928,24757.891032
20232,11440555,아현동,6,25975.487870329674,26354.430079999995,25028.132346153845
20233,11440555,아현동,6,26213.21450652174,26561.194370769237,25375.4852037037
20234,11440555,아현동,6,26193.240680434792,26474.207170769238,25516.839870370368
20241,11440555,아현동,6,27807.26913406593,27983.477183076917,27366.74901153846
