keyword,period,ratio
가락1동 맛집,2021-02-01,3.57142
가락1동 맛집,2021-11-01,4.28571
가락1동 맛집,2022-05-01,3.57142
가락1동 맛집,2023-03-01,3.57142
가락1동 맛집,2023-11-01,3.57142
가락2동 맛집,2019-01-01,4.28571
가락2동 맛집,2019-02-01,3.57142
가락2동 맛집,2019-10-01,10.71428
가락2동 맛집,2019-11-01,3.57142
가락2동 맛집,2019-12-01,7.85714
가락2동 맛집,2020-01-01,11.42857
가락2동 맛집,2020-02-01,15
가락2동 맛집,2020-03-01,4.28571
가락2동 맛집,2020-04-01,10.71428
가락2동 맛집,2020-05-01,9.28571
가락2동 맛집,2020-06-01,14.28571
가락2동 맛집,2020-07-01,3.57142
가락2동 맛집,2020-08-01,7.85714
가락2동 맛집,2020-09-01,7.85714
가락2동 맛집,2020-11-01,3.57142
가락2동 맛집,2020-12-01,7.14285
가락2동 맛집,2021-01-01,11.42857
가락2동 맛집,2021-02-01,16.42857
가락2동 맛집,2021-03-01,23.57142
가락2동 맛집,2021-04-01,18.57142
가락2동 맛집,2021-05-01,4.28571
가락2동 맛집,2021-06-01,12.85714
가락2동 맛집,2021-07-01,9.28571
가락2동 맛집,2021-09-01,3.57142
가락2동 맛집,2021-10-01,3.57142
가락2동 맛집,2021-11-01,12.85714
가락2동 맛집,2021-12-01,4.28571
가락2동 맛집,2022-02-01,4.28571
가락2동 맛집,2022-04-01,4.28571
가락2동 맛집,2022-05-01,14.28571
가락2동 맛집,2022-06-01,3.57142
가락2동 맛집,2022-07-01,3.57142
가락2동 맛집,2022-08-01,3.57142
가락2동 맛집,2022-09-01,11.42857
가락2동 맛집,2022-10-01,12.85714
가락2동 맛집,2022-12-01,4.28571
가락2동 맛집,2023-01-01,16.42857
가락2동 맛집,2023-02-01,3.57142
가락2동 맛집,2023-03-01,12.14285
가락2동 맛집,2023-05-01,16.42857
가락2동 맛집,2023-06-01,3.57142
가락2동 맛집,2023-08-01,4.28571
가락2동 맛집,2023-09-01,5
가락2동 맛집,2023-11-01,9.28571
가락2동 맛집,2024-01-01,7.14285
가락2동 맛집,2024-03-01,8.57142
가락2동 맛집,2024-04-01,12.14285
가락2동 맛집,2024-06-01,9.28571
