quarter,dong_name,trend_score
20191,가락2동,3.93
20191,가락본동,36.9
20191,가리봉동,8.2
20191,가산동,36.62
20191,가양2동,29.41
20191,가회동,18.82
20191,갈현1동,0.32
20191,강일동,35.46
20191,개봉1동,0.55
20191,개봉2동,10.74
20191,개봉3동,12.95
20191,개포4동,14.5
20191,고척1동,25.0
20191,고척2동,0.18
20191,공덕동,35.65
20191,공항동,31.36
20191,광장동,39.25
20191,광희동,4.13
20191,교남동,10.07
20191,구로1동,22.22
20191,구로2동,6.94
20191,구로3동,14.96
20191,구로4동,4.27
20191,구로5동,1.22
20191,구산동,39.18
20191,구의3동,12.09
20191,군자동,33.76
20191,길동,43.48
20191,난곡동,36.4
20191,난향동,2.98
20191,남영동,20.02
20191,남현동,12.41
20191,내곡동,32.06
20191,노량진2동,0.27
20191,녹번동,55.86
20191,논현1동,4.71
20191,논현2동,20.0
20191,능동,8.98
20191,다산동,9.81
20191,답십리2동,63.64
20191,대림2동,25.0
20191,대림3동,1.14
20191,대방동,29.7
20191,대조동,22.42
20191,대치2동,0.55
20191,대치4동,0.42
20191,대학동,49.35
20191,대흥동,20.35
20191,도곡1동,0.05
20191,도곡2동,0.01
20191,도림동,18.55
20191,도봉1동,0.16
20191,도봉2동,0.09
20191,도화동,21.74
20191,독산1동,0.21
20191,독산2동,6.67
20191,독산3동,19.56
20191,독산4동,12.5
20191,동선동,5.73
20191,둔촌2동,13.51
20191,등촌1동,27.03
20191,등촌2동,22.97
20191,등촌3동,0.71
20191,마장동,45.53
20191,망우본동,21.74
20191,망원2동,11.02
20191,면목4동,13.04
20191,명동,30.27
20191,목2동,59.32
20191,목3동,23.14
20191,목4동,23.65
20191,목5동,21.4
20191,무악동,31.63
20191,문래동,14.93
20191,미성동,3.34
20191,미아동,45.47
20191,반포1동,2.99
20191,반포4동,54.67
20191,발산1동,46.15
20191,방배1동,46.15
20191,방배4동,19.23
20191,방배본동,9.88
20191,방이1동,2.91
20191,방이2동,13.04
20191,방학1동,10.87
20191,방학2동,11.96
20191,방학3동,20.67
20191,방화2동,31.25
20191,보광동,35.3
20191,보라매동,0.53
20191,보문동,34.64
20191,부암동,37.52
20191,북가좌2동,0.69
20191,북아현동,27.14
20191,사근동,26.59
20191,사직동,24.39
20191,삼각산동,0.24
20191,삼선동,15.6
20191,삼성2동,5.32
20191,삼성동,37.12
20191,삼양동,2.8
20191,삼전동,10.55
20191,삼청동,38.72
20191,상계5동,12.5
20191,상도1동,26.9
20191,상도2동,33.33
20191,상도3동,36.67
20191,상도4동,5.28
20191,상암동,30.27
20191,상일동,5.4
20191,서강동,0.08
20191,서교동,54.41
20191,서림동,2.6
