quarter,dong_code,total_pop
20191,11110515,14361.4
20192,11110515,13919.7
20193,11110515,14902.8
20194,11110515,14977.9
20201,11110515,14509.6
20202,11110515,14624.4
20203,11110515,14504.1
20204,11110515,14265.0
20211,11110515,14588.0
20212,11110515,14626.3
20213,11110515,14849.2
20214,11110515,15750.7
20221,11110515,15396.3
20222,11110515,15546.8
20223,11110515,15096.4
20224,11110515,15292.8
20231,11110515,15348.0
20232,11110515,15253.8
20233,11110515,14908.8
20234,11110515,14825.7
20241,11110515,14811.3
20242,11110515,14890.6
20243,11110515,14443.2
20244,11110515,14393.6
20191,11110530,16135.3
20192,11110530,15868.8
20193,11110530,15324.6
20194,11110530,15214.4
20201,11110530,14669.8
20202,11110530,14629.4
20203,11110530,14643.1
20204,11110530,14409.9
20211,11110530,13932.0
20212,11110530,13872.2
20213,11110530,13028.3
20214,11110530,12837.0
20221,11110530,12393.3
20222,11110530,13482.3
20223,11110530,13175.9
20224,11110530,13194.7
20231,11110530,12800.5
20232,11110530,12786.3
20233,11110530,12642.9
20234,11110530,12672.9
20241,11110530,12472.1
20242,11110530,11692.6
20243,11110530,11223.5
20244,11110530,11462.2
20191,11110540,4701.6
20192,11110540,5075.7
20193,11110540,5157.8
20194,11110540,4799.7
20201,11110540,4508.5
20202,11110540,4472.8
20203,11110540,4417.8
20204,11110540,4475.0
20211,11110540,4346.1
20212,11110540,4271.6
20213,11110540,3814.6
20214,11110540,3574.1
20221,11110540,3388.5
20222,11110540,3435.0
20223,11110540,3321.2
20224,11110540,3434.3
20231,11110540,3517.3
20232,11110540,3654.8
20233,11110540,3610.4
20234,11110540,3541.6
20241,11110540,3503.0
20242,11110540,3780.6
20243,11110540,3560.4
20244,11110540,3488.4
20191,11110550,12217.3
20192,11110550,12941.2
20193,11110550,14242.4
20194,11110550,16312.1
20201,11110550,15778.2
20202,11110550,15666.0
20203,11110550,15239.6
20204,11110550,15433.5
20211,11110550,15621.9
20212,11110550,15707.5
20213,11110550,15258.6
20214,11110550,15316.2
20221,11110550,15378.3
20222,11110550,15823.9
20223,11110550,14777.4
20224,11110550,14543.8
20231,11110550,14239.2
20232,11110550,14001.3
20233,11110550,13789.5
20234,11110550,13505.6
20241,11110550,12963.9
20242,11110550,13234.7
20243,11110550,13181.3
20244,11110550,12911.4
20191,11110560,21271.1
20192,11110560,21574.0
20193,11110560,19394.2
20194,11110560,19853.8
20201,11110560,19358.0
20202,11110560,19939.6
20203,11110560,19942.9
20204,11110560,19771.0
20211,11110560,19757.5
20212,11110560,19645.8
20213,11110560,19267.3
20214,11110560,18739.5
20221,11110560,18655.9
20222,11110560,18636.0
20223,11110560,18424.7
20224,11110560,18803.2
20231,11110560,18516.4
20232,11110560,18637.8
20233,11110560,18744.9
20234,11110560,18966.9
20241,11110560,18846.2
20242,11110560,18809.8
20243,11110560,18439.5
20244,11110560,18748.3
20191,11110570,9188.3
20192,11110570,9260.0
20193,11110570,8567.8
20194,11110570,8609.9
20201,11110570,8712.6
20202,11110570,8392.1
20203,11110570,8468.9
20204,11110570,8564.4
20211,11110570,8527.0
20212,11110570,8554.6
20213,11110570,8258.3
20214,11110570,7796.5
20221,11110570,7547.9
20222,11110570,7792.3
20223,11110570,7571.0
20224,11110570,7490.6
20231,11110570,7453.1
20232,11110570,7316.2
20233,11110570,7218.9
20234,11110570,7099.2
20241,11110570,6850.3
20242,11110570,6522.0
20243,11110570,6622.5
20244,11110570,6707.9
20191,11110580,6803.7
20192,11110580,6662.8
20193,11110580,6264.7
20194,11110580,7434.1
20201,11110580,6992.3
20202,11110580,6484.8
20203,11110580,6442.7
20204,11110580,6355.0
20211,11110580,6300.7
20212,11110580,6271.7
20213,11110580,7210.7
20214,11110580,7328.0
20221,11110580,6778.5
20222,11110580,6766.5
20223,11110580,6707.3
20224,11110580,6838.9
20231,11110580,7182.8
20232,11110580,7248.0
20233,11110580,7188.4
20234,11110580,7388.9
20241,11110580,7953.3
20242,11110580,7890.1
20243,11110580,7895.2
20244,11110580,7857.5
20191,11110600,5210.9
20192,11110600,4945.5
20193,11110600,4903.8
20194,11110600,5466.9
20201,11110600,5295.6
20202,11110600,5255.9
20203,11110600,5299.8
20204,11110600,5214.2
20211,11110600,5085.9
20212,11110600,4698.4
20213,11110600,4731.7
20214,11110600,4764.3
20221,11110600,4767.0
20222,11110600,4964.2
20223,11110600,4787.5
20224,11110600,4877.9
20231,11110600,4674.6
20232,11110600,4669.6
20233,11110600,4681.9
20234,11110600,4447.8
20241,11110600,4246.8
20242,11110600,4114.8
20243,11110600,4146.8
20244,11110600,4023.5
20191,11110615,27096.4
20192,11110615,27136.0
20193,11110615,28591.5
20194,11110615,27306.1
20201,11110615,23681.4
20202,11110615,22786.6
20203,11110615,22507.5
20204,11110615,21182.6
20211,11110615,18792.3
20212,11110615,20627.6
20213,11110615,19687.8
20214,11110615,22869.9
20221,11110615,21489.0
20222,11110615,26007.6
20223,11110615,26078.7
20224,11110615,26750.6
20231,11110615,26217.1
20232,11110615,26668.1
20233,11110615,26452.3
20234,11110615,26897.2
20241,11110615,26677.0
20242,11110615,27004.9
20243,11110615,26068.1
20244,11110615,26980.0
20191,11110630,10523.3
20192,11110630,10850.3
20193,11110630,11717.5
20194,11110630,11275.4
20201,11110630,10152.2
20202,11110630,9824.0
20203,11110630,9921.5
20204,11110630,9769.1
20211,11110630,9283.0
20212,11110630,9531.8
20213,11110630,8456.4
20214,11110630,8846.0
20221,11110630,8742.1
20222,11110630,9429.7
20223,11110630,9110.1
20224,11110630,9193.3
20231,11110630,9041.6
20232,11110630,9444.5
20233,11110630,8974.3
20234,11110630,9059.6
20241,11110630,8699.5
20242,11110630,8766.6
20243,11110630,8412.9
20244,11110630,7815.0
20191,11110640,17118.8
20192,11110640,15954.2
20193,11110640,14818.6
20194,11110640,16181.9
20201,11110640,15255.8
20202,11110640,15196.6
20203,11110640,15233.5
20204,11110640,15295.1
20211,11110640,14473.6
20212,11110640,15348.6
20213,11110640,14796.9
20214,11110640,14805.9
20221,11110640,14601.4
20222,11110640,15550.4
20223,11110640,14682.1
20224,11110640,14583.5
20231,11110640,13914.1
20232,11110640,14793.8
20233,11110640,15261.4
20234,11110640,16070.9
20241,11110640,15532.5
20242,11110640,15360.5
20243,11110640,15696.1
20244,11110640,16876.1
20191,11110650,29812.5
20192,11110650,32437.3
20193,11110650,28760.7
20194,11110650,31458.9
20201,11110650,27066.9
20202,11110650,27939.9
20203,11110650,27788.7
20204,11110650,27735.3
20211,11110650,26142.3
20212,11110650,26944.0
20213,11110650,26134.6
20214,11110650,27496.6
20221,11110650,26876.7
20222,11110650,29571.7
20223,11110650,28431.5
20224,11110650,29786.4
20231,11110650,28888.8
20232,11110650,30695.4
20233,11110650,27440.6
20234,11110650,29902.4
20241,11110650,26448.2
20242,11110650,29732.4
20243,11110650,25936.1
20244,11110650,28572.9
20191,11110670,12456.3
20192,11110670,12385.0
20193,11110670,10829.4
20194,11110670,9688.7
20201,11110670,9284.4
20202,11110670,9504.0
20203,11110670,9205.7
20204,11110670,9470.4
20211,11110670,9010.1
20212,11110670,9501.2
20213,11110670,7989.3
20214,11110670,8392.9
20221,11110670,7831.0
20222,11110670,8076.5
20223,11110670,7617.7
20224,11110670,7896.7
20231,11110670,7665.3
20232,11110670,7814.9
20233,11110670,7562.8
20234,11110670,7885.9
20241,11110670,7502.9
20242,11110670,7021.1
20243,11110670,6831.2
20244,11110670,7403.0
20191,11110680,10725.5
20192,11110680,10364.0
20193,11110680,10370.5
20194,11110680,11031.8
20201,11110680,11106.9
20202,11110680,11342.3
20203,11110680,11224.6
20204,11110680,10904.0
20211,11110680,11104.0
20212,11110680,10932.9
20213,11110680,10982.4
20214,11110680,10930.1
20221,11110680,10867.2
20222,11110680,10948.4
20223,11110680,10567.7
20224,11110680,10437.9
20231,11110680,10305.0
20232,11110680,10061.9
20233,11110680,9668.3
20234,11110680,8998.7
20241,11110680,8567.8
20242,11110680,8878.7
20243,11110680,8688.7
20244,11110680,8636.0
20191,11110690,5512.6
20192,11110690,5289.9
20193,11110690,5466.4
20194,11110690,5139.2
20201,11110690,5542.3
20202,11110690,5508.6
20203,11110690,5597.4
20204,11110690,5572.6
20211,11110690,5301.6
20212,11110690,5194.8
20213,11110690,5932.7
20214,11110690,6272.9
20221,11110690,6067.4
20222,11110690,6218.1
20223,11110690,6077.9
20224,11110690,6023.7
20231,11110690,6081.6
20232,11110690,6077.1
20233,11110690,6021.8
20234,11110690,6606.6
20241,11110690,7046.5
20242,11110690,6706.7
