year,area_code,indicator_code,value
2020,11140660020005,cp_bnu_010,19.0
2020,11140610020001,cp_bnu_012,15.0
2020,11140770030101,cp_bnu_009,12.0
2020,11140660020014,cp_bnu_019,5.0
2020,11140680010013,cp_bnu_009,29.0
2020,11140680020005,cp_bnu_018,8.0
2020,11140720020014,cp_bnu_007,13.0
2020,11140660010003,cp_bnu_007,104.0
2020,11140660020015,cp_bnu_009,5.0
2020,11140690010002,cp_bnu_010,19.0
2020,11140690010010,cp_bnu_013,6.0
2020,11140600010018,cp_bnu_012,24.0
2020,11140710010008,cp_bnu_010,9.0
2020,11140740020001,cp_bnu_012,6.0
2020,11140730020015,cp_bnu_018,5.0
2020,11140720020008,cp_bnu_006,6.0
2020,11140730020007,cp_bnu_003,5.0
2020,11140660020003,cp_bnu_012,9.0
2020,11140660010004,cp_bnu_009,73.0
2020,11140750010701,cp_bnu_007,13.0
2020,11140630010001,cp_bnu_012,5.0
2020,11140600010010,cp_bnu_007,17.0
2020,11140610010003,cp_bnu_012,6.0
2020,11140740020001,cp_bnu_013,19.0
2020,11140660010002,cp_bnu_017,28.0
2020,11140710010018,cp_bnu_009,15.0
2020,11140660020020,cp_bnu_013,104.0
2020,11140680020007,cp_bnu_016,13.0
2020,11140680010012,cp_bnu_009,14.0
2020,11140750010002,cp_bnu_007,12.0
2020,11140680010002,cp_bnu_019,6.0
2020,11140760010001,cp_bnu_012,13.0
2020,11140600010009,cp_bnu_007,9.0
2020,11140630020001,cp_bnu_006,6.0
2020,11140700010015,cp_bnu_008,8.0
2020,11140680020008,cp_bnu_007,18.0
2020,11140740040001,cp_bnu_019,10.0
2020,11140730020008,cp_bnu_019,5.0
2020,11140660020014,cp_bnu_009,13.0
2020,11140710010024,cp_bnu_019,6.0
2020,11140740040504,cp_bnu_007,5.0
2020,11140660020007,cp_bnu_003,6.0
2020,11140660030012,cp_bnu_018,11.0
2020,11140700010023,cp_bnu_003,6.0
2020,11140590010006,cp_bnu_006,7.0
2020,11140660020010,cp_bnu_003,5.0
2020,11140730020014,cp_bnu_006,5.0
2020,11140630010105,cp_bnu_008,11.0
2020,11140660020006,cp_bnu_009,29.0
2020,11140600010008,cp_bnu_019,5.0
2020,11140660020010,cp_bnu_010,7.0
2020,11140680010001,cp_bnu_006,226.0
2020,11140740020008,cp_bnu_012,23.0
2020,11140660020008,cp_bnu_006,5.0
2020,11140730020025,cp_bnu_013,16.0
2020,11140780010101,cp_bnu_019,6.0
2020,11140660020018,cp_bnu_010,6.0
2020,11140760030001,cp_bnu_019,6.0
2020,11140720010008,cp_bnu_009,5.0
2020,11140740020007,cp_bnu_010,10.0
2020,11140750010001,cp_bnu_006,19.0
2020,11140730020023,cp_bnu_009,7.0
2020,11140760010010,cp_bnu_010,6.0
2020,11140700010010,cp_bnu_007,6.0
2020,11140680020010,cp_bnu_010,11.0
2020,11140690010030,cp_bnu_009,23.0
2020,11140680020008,cp_bnu_010,11.0
2020,11140750010012,cp_bnu_017,33.0
2020,11140700010006,cp_bnu_019,10.0
2020,11140600010011,cp_bnu_006,7.0
2020,11140750010601,cp_bnu_007,14.0
2020,11140610010002,cp_bnu_009,23.0
2020,11140680020006,cp_bnu_003,15.0
2020,11140740040001,cp_bnu_007,25.0
2020,11140760010004,cp_bnu_016,5.0
2020,11140630020002,cp_bnu_007,10.0
2020,11140750010006,cp_bnu_009,23.0
2020,11140700010015,cp_bnu_007,87.0
2020,11140760010003,cp_bnu_003,5.0
2020,11140660030001,cp_bnu_014,14.0
2020,11140760010001,cp_bnu_014,7.0
2020,11140770010015,cp_bnu_012,11.0
2020,11140700010026,cp_bnu_003,6.0
2020,11140660020006,cp_bnu_016,11.0
2020,11140660020011,cp_bnu_008,27.0
2020,11140590011802,cp_bnu_016,12.0
2020,11140760020001,cp_bnu_012,6.0
2020,11140710010001,cp_bnu_003,9.0
2020,11140780020005,cp_bnu_007,22.0
2020,11140780021301,cp_bnu_007,5.0
2020,11140740020007,cp_bnu_019,9.0
2020,11140660030008,cp_bnu_016,39.0
2020,11140660010003,cp_bnu_018,11.0
2020,11140680010301,cp_bnu_007,22.0
2020,11140660030012,cp_bnu_008,20.0
2020,11140590010001,cp_bnu_014,20.0
2020,11140770010009,cp_bnu_007,18.0
2020,11140750010005,cp_bnu_012,39.0
2020,11140760010011,cp_bnu_012,9.0
2020,11140610010011,cp_bnu_012,14.0
2020,11140660020013,cp_bnu_006,8.0
2020,11140720010002,cp_bnu_009,12.0
2020,11140710010008,cp_bnu_013,13.0
2020,11140660030011,cp_bnu_012,54.0
2020,11140710010008,cp_bnu_012,5.0
2020,11140700010015,cp_bnu_017,8.0
2020,11140660020019,cp_bnu_003,5.0
2020,11140680020001,cp_bnu_010,21.0
2020,11140760010001,cp_bnu_013,20.0
2020,11140760010007,cp_bnu_016,8.0
2020,11140720020012,cp_bnu_010,8.0
2020,11140680020010,cp_bnu_009,8.0
2020,11140710010027,cp_bnu_007,8.0
2020,11140760010003,cp_bnu_012,9.0
2020,11140770020801,cp_bnu_007,134.0
2020,11140610010202,cp_bnu_016,10.0
2020,11140740020003,cp_bnu_012,5.0
2020,11140710010201,cp_bnu_012,5.0
2020,11140740040202,cp_bnu_009,13.0
2020,11140660020012,cp_bnu_013,66.0
2020,11140710010006,cp_bnu_007,17.0
2020,11140750010011,cp_bnu_012,18.0
2020,11140660030019,cp_bnu_012,15.0
2020,11140660030011,cp_bnu_010,38.0
2020,11140770020019,cp_bnu_007,6.0
2020,11140780020006,cp_bnu_013,85.0
2020,11140660030010,cp_bnu_003,8.0
2020,11140760040101,cp_bnu_019,5.0
2020,11140680010005,cp_bnu_009,86.0
2020,11140660020008,cp_bnu_019,13.0
2020,11140660020010,cp_bnu_013,5.0
2020,11140680020002,cp_bnu_019,5.0
2020,11140770010022,cp_bnu_007,10.0
2020,11140750010703,cp_bnu_007,5.0
2020,11140590010009,cp_bnu_007,25.0
2020,11140660030004,cp_bnu_017,9.0
2020,11140660020021,cp_bnu_019,10.0
2020,11140680010007,cp_bnu_007,11.0
2020,11140680010001,cp_bnu_007,20.0
2020,11140660020008,cp_bnu_012,17.0
2020,11140610010403,cp_bnu_010,5.0
2020,11140740020008,cp_bnu_006,6.0
2020,11140740010103,cp_bnu_019,6.0
2020,11140760010007,cp_bnu_007,12.0
2020,11140600010501,cp_bnu_010,7.0
2020,11140660030004,cp_bnu_014,5.0
2020,11140660020003,cp_bnu_013,18.0
2020,11140750010601,cp_bnu_019,13.0
2020,11140710010011,cp_bnu_016,5.0
2020,11140660010003,cp_bnu_006,16.0
2020,11140660030003,cp_bnu_006,13.0
2020,11140760030004,cp_bnu_016,6.0
2020,11140660020012,cp_bnu_012,37.0
2020,11140680020007,cp_bnu_008,12.0
2020,11140760040101,cp_bnu_007,14.0
2020,11140770010003,cp_bnu_007,11.0
2020,11140750010701,cp_bnu_019,5.0
2020,11140750010904,cp_bnu_019,8.0
2020,11140590010002,cp_bnu_003,7.0
2020,11140600010014,cp_bnu_017,9.0
2020,11140760030010,cp_bnu_009,14.0
2020,11140680010003,cp_bnu_009,8.0
2020,11140690010102,cp_bnu_009,7.0
2020,11140760030009,cp_bnu_009,25.0
2020,11140610020001,cp_bnu_008,9.0
2020,11140680010008,cp_bnu_013,5.0
2020,11140680020006,cp_bnu_010,142.0
2020,11140680010005,cp_bnu_003,11.0
2020,11140700010016,cp_bnu_016,12.0
2020,11140660020001,cp_bnu_007,25.0
2020,11140610010003,cp_bnu_007,16.0
2020,11140720020003,cp_bnu_009,30.0
