year,area_code,indicator_code,value
2020,11140700010013,cp_bem_019,5.0
2020,11140750010904,cp_bem_013,24.0
2020,11140710010014,cp_bem_018,5.0
2020,11140600010003,cp_bem_019,5.0
2020,11140660030301,cp_bem_012,10.0
2020,11140660020011,cp_bem_007,599.0
2020,11140770010013,cp_bem_013,40.0
2020,11140710010022,cp_bem_009,92.0
2020,11140610010008,cp_bem_019,5.0
2020,11140660020020,cp_bem_013,555.0
2020,11140770010015,cp_bem_011,11.0
2020,11140680010012,cp_bem_009,69.0
2020,11140760030007,cp_bem_013,12.0
2020,11140590010003,cp_bem_013,10.0
2020,11140680010002,cp_bem_019,8.0
2020,11140600010009,cp_bem_007,12.0
2020,11140630010004,cp_bem_010,55.0
2020,11140710010024,cp_bem_019,8.0
2020,11140740040504,cp_bem_007,8.0
2020,11140700010023,cp_bem_003,10.0
2020,11140730020003,cp_bem_015,1194.0
2020,11140630010105,cp_bem_008,11.0
2020,11140660020006,cp_bem_009,62.0
2020,11140770020015,cp_bem_013,5.0
2020,11140680010001,cp_bem_006,304.0
2020,11140660020008,cp_bem_006,167.0
2020,11140660020018,cp_bem_010,36.0
2020,11140710010021,cp_bem_014,6.0
2020,11140770020012,cp_bem_006,3273.0
2020,11140720020001,cp_bem_003,14.0
2020,11140680020003,cp_bem_016,9.0
2020,11140750010001,cp_bem_006,122.0
2020,11140720020021,cp_bem_003,10.0
2020,11140760010101,cp_bem_017,8.0
2020,11140660020017,cp_bem_017,15.0
2020,11140750010011,cp_bem_013,144.0
2020,11140740010003,cp_bem_012,25.0
2020,11140740030502,cp_bem_007,10.0
2020,11140730020311,cp_bem_007,5.0
2020,11140740020007,cp_bem_009,178.0
2020,11140590011401,cp_bem_014,45.0
2020,11140770010008,cp_bem_007,38.0
2020,11140770010021,cp_bem_014,24.0
2020,11140730020701,cp_bem_017,7.0
2020,11140770020801,cp_bem_009,21.0
2020,11140710010002,cp_bem_003,15.0
2020,11140680020005,cp_bem_008,8.0
2020,11140770020020,cp_bem_007,8.0
2020,11140780020002,cp_bem_010,35.0
2020,11140700010002,cp_bem_014,224.0
2020,11140730020010,cp_bem_014,21.0
2020,11140770030101,cp_bem_009,58.0
2020,11140680010001,cp_bem_010,53.0
2020,11140600020003,cp_bem_009,115.0
2020,11140730020008,cp_bem_009,14.0
2020,11140590011901,cp_bem_017,7.0
