year,area_code,indicator_code,value
2020,11140660010003,cp2_bnu_75,12.0
2020,11140690010028,cp2_bnu_68,18.0
2020,11140680020005,cp2_bnu_96,11.0
2020,11140590010001,cp2_bnu_87,5.0
2020,11140630010501,cp2_bnu_47,5.0
2020,11140680020002,cp2_bnu_58,10.0
2020,11140590011802,cp2_bnu_74,6.0
2020,11140630010001,cp2_bnu_47,19.0
2020,11140660020011,cp2_bnu_56,37.0
2020,11140660030008,cp2_bnu_71,35.0
2020,11140730020013,cp2_bnu_47,5.0
2020,11140600010004,cp2_bnu_46,5.0
2020,11140750010012,cp2_bnu_66,27.0
2020,11140590011802,cp2_bnu_42,13.0
2020,11140770010008,cp2_bnu_47,22.0
2020,11140660020016,cp2_bnu_56,24.0
2020,11140740020004,cp2_bnu_73,25.0
2020,11140600020001,cp2_bnu_47,77.0
2020,11140680020005,cp2_bnu_75,11.0
2020,11140710010011,cp2_bnu_58,9.0
2020,11140660020201,cp2_bnu_71,7.0
2020,11140770010014,cp2_bnu_71,31.0
2020,11140720020022,cp2_bnu_42,5.0
2020,11140720020016,cp2_bnu_42,12.0
2020,11140690010028,cp2_bnu_71,7.0
2020,11140660030018,cp2_bnu_91,10.0
2020,11140760030006,cp2_bnu_96,6.0
2020,11140660020008,cp2_bnu_14,6.0
2020,11140590011401,cp2_bnu_42,5.0
2020,11140720010001,cp2_bnu_58,9.0
2020,11140660020006,cp2_bnu_71,7.0
2020,11140780020206,cp2_bnu_85,5.0
2020,11140770020020,cp2_bnu_94,6.0
2020,11140770020003,cp2_bnu_56,5.0
2020,11140600020004,cp2_bnu_56,11.0
2020,11140740030002,cp2_bnu_46,7.0
2020,11140590010002,cp2_bnu_46,35.0
2020,11140730040001,cp2_bnu_56,22.0
2020,11140720020014,cp2_bnu_47,7.0
2020,11140660020012,cp2_bnu_64,5.0
2020,11140780020006,cp2_bnu_65,7.0
2020,11140660020006,cp2_bnu_90,8.0
2020,11140720020004,cp2_bnu_85,6.0
2020,11140680020010,cp2_bnu_73,10.0
2020,11140660030002,cp2_bnu_91,5.0
2020,11140700010005,cp2_bnu_90,5.0
2020,11140690010019,cp2_bnu_56,50.0
2020,11140760010005,cp2_bnu_47,59.0
2020,11140590010006,cp2_bnu_56,8.0
2020,11140630010001,cp2_bnu_59,5.0
2020,11140770010014,cp2_bnu_46,39.0
2020,11140660020016,cp2_bnu_68,11.0
2020,11140730020001,cp2_bnu_85,21.0
2020,11140600020003,cp2_bnu_91,5.0
2020,11140720020004,cp2_bnu_47,12.0
2020,11140630010006,cp2_bnu_56,8.0
2020,11140760010002,cp2_bnu_47,20.0
2020,11140600010006,cp2_bnu_56,22.0
2020,11140740020002,cp2_bnu_86,6.0
2020,11140720010010,cp2_bnu_58,17.0
2020,11140600010009,cp2_bnu_68,6.0
2020,11140690010014,cp2_bnu_47,9.0
2020,11140740020001,cp2_bnu_68,6.0
2020,11140690010002,cp2_bnu_71,10.0
2020,11140770010021,cp2_bnu_68,6.0
2020,11140680020003,cp2_bnu_73,12.0
2020,11140690010027,cp2_bnu_68,5.0
2020,11140770010003,cp2_bnu_14,8.0
2020,11140740020006,cp2_bnu_96,9.0
2020,11140680010011,cp2_bnu_56,22.0
2020,11140600010006,cp2_bnu_85,11.0
2020,11140700010013,cp2_bnu_85,9.0
2020,11140780020006,cp2_bnu_64,21.0
2020,11140660020011,cp2_bnu_55,8.0
2020,11140660030005,cp2_bnu_59,6.0
2020,11140630020005,cp2_bnu_76,5.0
2020,11140740020004,cp2_bnu_68,58.0
2020,11140740020004,cp2_bnu_46,96.0
2020,11140680020005,cp2_bnu_72,7.0
2020,11140750010011,cp2_bnu_85,7.0
2020,11140770010010,cp2_bnu_71,9.0
2020,11140680010005,cp2_bnu_90,6.0
2020,11140680020011,cp2_bnu_71,6.0
2020,11140690010002,cp2_bnu_42,6.0
2020,11140780020902,cp2_bnu_68,6.0
2020,11140690010007,cp2_bnu_47,19.0
2020,11140590010008,cp2_bnu_96,7.0
2020,11140660030016,cp2_bnu_56,51.0
2020,11140690010002,cp2_bnu_90,7.0
2020,11140760030010,cp2_bnu_47,7.0
2020,11140740020004,cp2_bnu_63,15.0
2020,11140660030011,cp2_bnu_96,48.0
2020,11140590010005,cp2_bnu_47,9.0
2020,11140660030003,cp2_bnu_46,34.0
2020,11140750010009,cp2_bnu_47,21.0
2020,11140710010018,cp2_bnu_73,6.0
2020,11140740030001,cp2_bnu_56,51.0
