year,area_code,indicator_code,value
2020,11140660020001,cp2_bem_59,5.0
2020,11140770020007,cp2_bem_95,5.0
2020,11140690010002,cp2_bem_71,13.0
2020,11140730021501,cp2_bem_87,6.0
2020,11140660020203,cp2_bem_59,75.0
2020,11140660020017,cp2_bem_66,19.0
2020,11140770030101,cp2_bem_71,780.0
2020,11140780020901,cp2_bem_46,10.0
2020,11140710010013,cp2_bem_71,59.0
2020,11140660030008,cp2_bem_29,9.0
2020,11140780020003,cp2_bem_66,122.0
2020,11140700010006,cp2_bem_58,11.0
2020,11140770010003,cp2_bem_14,16.0
2020,11140720020003,cp2_bem_74,16.0
2020,11140660020018,cp2_bem_58,31.0
2020,11140750010007,cp2_bem_87,7.0
2020,11140660030019,cp2_bem_94,6.0
2020,11140780020006,cp2_bem_64,291.0
2020,11140660030005,cp2_bem_59,267.0
2020,11140630020005,cp2_bem_76,12.0
2020,11140690010007,cp2_bem_47,31.0
2020,11140730020010,cp2_bem_91,7.0
2020,11140590010005,cp2_bem_47,33.0
2020,11140710010003,cp2_bem_49,19.0
2020,11140660020019,cp2_bem_72,54.0
2020,11140660030003,cp2_bem_46,155.0
2020,11140600010007,cp2_bem_62,32.0
2020,11140710010018,cp2_bem_73,7.0
2020,11140660030011,cp2_bem_76,9.0
2020,11140710010009,cp2_bem_47,19.0
2020,11140730030001,cp2_bem_56,10.0
2020,11140660020201,cp2_bem_64,130.0
2020,11140750010009,cp2_bem_65,18.0
2020,11140760010005,cp2_bem_62,23.0
2020,11140590010001,cp2_bem_87,67.0
2020,11140660030017,cp2_bem_56,29.0
2020,11140660020008,cp2_bem_46,64.0
2020,11140660030015,cp2_bem_96,34.0
2020,11140780021103,cp2_bem_85,5.0
2020,11140680020002,cp2_bem_58,18.0
2020,11140760010006,cp2_bem_75,14.0
2020,11140760020001,cp2_bem_41,5.0
2020,11140660030017,cp2_bem_68,5.0
2020,11140600010010,cp2_bem_71,17.0
2020,11140690010011,cp2_bem_62,18.0
2020,11140660020001,cp2_bem_56,28.0
2020,11140710010023,cp2_bem_56,76.0
2020,11140660030008,cp2_bem_66,148.0
2020,11140600010006,cp2_bem_55,7.0
2020,11140770010014,cp2_bem_14,61.0
2020,11140750010004,cp2_bem_94,6.0
2020,11140760010701,cp2_bem_47,6.0
2020,11140630020006,cp2_bem_58,140.0
2020,11140630020003,cp2_bem_42,41.0
2020,11140760030003,cp2_bem_71,11.0
2020,11140760010006,cp2_bem_68,20.0
2020,11140740010001,cp2_bem_52,89.0
2020,11140680020005,cp2_bem_52,8.0
2020,11140760030002,cp2_bem_73,30.0
2020,11140770020301,cp2_bem_91,20.0
2020,11140710010007,cp2_bem_68,22.0
2020,11140690010016,cp2_bem_96,5.0
2020,11140660020011,cp2_bem_70,8.0
2020,11140730020014,cp2_bem_91,5.0
2020,11140750010012,cp2_bem_66,977.0
2020,11140590010004,cp2_bem_94,51.0
2020,11140630010004,cp2_bem_58,55.0
2020,11140660020020,cp2_bem_14,7.0
2020,11140660010001,cp2_bem_64,8.0
2020,11140660020017,cp2_bem_84,90.0
2020,11140600010015,cp2_bem_86,14.0
2020,11140760030006,cp2_bem_58,10.0
2020,11140760020001,cp2_bem_90,17.0
2020,11140720020022,cp2_bem_42,5.0
2020,11140590010003,cp2_bem_68,30.0
2020,11140660030009,cp2_bem_64,25.0
2020,11140770010004,cp2_bem_85,118.0
2020,11140690010028,cp2_bem_94,9.0
2020,11140610010009,cp2_bem_42,17.0
2020,11140680020004,cp2_bem_90,7.0
2020,11140770010006,cp2_bem_47,5.0
2020,11140700010005,cp2_bem_94,12.0
2020,11140710010017,cp2_bem_42,18.0
2020,11140590010001,cp2_bem_49,114.0
2020,11140770020303,cp2_bem_85,5.0
2020,11140600010015,cp2_bem_42,9.0
2020,11140660030010,cp2_bem_58,35.0
2020,11140610010011,cp2_bem_96,9.0
2020,11140750010012,cp2_bem_65,113.0
2020,11140750010005,cp2_bem_47,144.0
2020,11140710010015,cp2_bem_90,5.0
2020,11140770010004,cp2_bem_75,5533.0
2020,11140760030302,cp2_bem_47,6.0
2020,11140600020005,cp2_bem_47,39.0
2020,11140660010003,cp2_bem_75,191.0
2020,11140660010002,cp2_bem_72,226.0
2020,11140690010028,cp2_bem_71,25.0
2020,11140660020021,cp2_bem_71,10.0
2020,11140660030018,cp2_bem_91,18.0
2020,11140770020001,cp2_bem_91,6.0
2020,11140750010005,cp2_bem_13,10.0
2020,11140780020206,cp2_bem_85,13.0
2020,11140770020020,cp2_bem_94,11.0
2020,11140780020003,cp2_bem_71,12.0
2020,11140660020001,cp2_bem_73,40.0
2020,11140680010001,cp2_bem_42,304.0
2020,11140680010301,cp2_bem_96,19.0
2020,11140760020001,cp2_bem_71,8.0
2020,11140600010013,cp2_bem_96,23.0
2020,11140700010014,cp2_bem_13,10.0
2020,11140630020011,cp2_bem_42,10.0
2020,11140720020004,cp2_bem_85,9.0
2020,11140760010202,cp2_bem_85,8.0
2020,11140770020013,cp2_bem_47,7.0
2020,11140750010001,cp2_bem_84,38.0
2020,11140630010007,cp2_bem_49,24.0
2020,11140730020024,cp2_bem_87,20.0
2020,11140780020901,cp2_bem_56,9.0
2020,11140660030002,cp2_bem_91,16.0
2020,11140680020005,cp2_bem_96,16.0
2020,11140780021001,cp2_bem_58,11.0
2020,11140700010005,cp2_bem_90,8.0
2020,11140690010019,cp2_bem_56,138.0
2020,11140590010005,cp2_bem_87,18.0
2020,11140590010006,cp2_bem_56,15.0
2020,11140630010001,cp2_bem_59,25.0
2020,11140740010001,cp2_bem_72,12.0
2020,11140700010020,cp2_bem_75,25.0
2020,11140660020016,cp2_bem_68,19.0
2020,11140600020005,cp2_bem_87,21.0
2020,11140710010023,cp2_bem_52,17.0
2020,11140740020004,cp2_bem_38,12.0
2020,11140680020009,cp2_bem_72,10.0
2020,11140750010501,cp2_bem_90,10.0
2020,11140590010009,cp2_bem_96,14.0
2020,11140630010006,cp2_bem_56,15.0
2020,11140660030018,cp2_bem_14,13.0
2020,11140630020012,cp2_bem_76,11.0
2020,11140630020003,cp2_bem_73,5.0
2020,11140660030009,cp2_bem_63,33.0
2020,11140730020008,cp2_bem_72,9.0
