year,area_code,indicator_code,value
2020,11140760031102,ga_sd_002,102.0
2020,11140680010002,ga_sd_003,11.0
2020,11140660020301,ga_sd_006,20.0
2020,11140710010017,ga_sd_001,49.0
2020,11140680020005,ga_sd_006,26.0
2020,11140590011301,ga_sd_005,12.0
2020,11140660020011,ga_sd_003,5.0
2020,11140630010401,ga_sd_001,35.0
2020,11140680010008,ga_sd_006,15.0
2020,11140680020006,ga_sd_005,162.0
2020,11140610010401,ga_sd_001,23.0
2020,11140660020003,ga_sd_001,47.0
2020,11140750011004,ga_sd_003,15.0
2020,11140740020003,ga_sd_005,172.0
2020,11140780020207,ga_sd_001,31.0
2020,11140690010003,ga_sd_001,23.0
2020,11140690010023,ga_sd_005,108.0
2020,11140750010704,ga_sd_001,44.0
2020,11140610010011,ga_sd_001,25.0
2020,11140730020302,ga_sd_001,31.0
2020,11140590011402,ga_sd_002,114.0
2020,11140720020007,ga_sd_001,25.0
2020,11140780020001,ga_sd_001,34.0
2020,11140680010008,ga_sd_002,90.0
2020,11140660020014,ga_sd_001,18.0
2020,11140630020401,ga_sd_001,49.0
2020,11140700010001,ga_sd_005,70.0
2020,11140710010020,ga_sd_002,83.0
2020,11140590010003,ga_sd_002,91.0
2020,11140590010001,ga_sd_006,15.0
2020,11140770010024,ga_sd_003,6.0
2020,11140660030015,ga_sd_001,19.0
2020,11140720020021,ga_sd_002,106.0
2020,11140770010008,ga_sd_002,124.0
2020,11140680010001,ga_sd_002,76.0
2020,11140730020012,ga_sd_003,6.0
2020,11140660030101,ga_sd_002,67.0
2020,11140660030004,ga_sd_003,6.0
2020,11140630020502,ga_sd_001,31.0
2020,11140730020316,ga_sd_001,65.0
2020,11140590011003,ga_sd_002,105.0
2020,11140770030301,ga_sd_002,129.0
2020,11140730020314,ga_sd_002,113.0
2020,11140740040101,ga_sd_005,33.0
2020,11140610010010,ga_sd_005,76.0
2020,11140590011901,ga_sd_002,145.0
2020,11140720020022,ga_sd_001,34.0
2020,11140750010901,ga_sd_001,57.0
2020,11140630021101,ga_sd_005,39.0
2020,11140660030012,ga_sd_006,22.0
2020,11140770020704,ga_sd_005,27.0
2020,11140700012201,ga_sd_001,25.0
2020,11140740030501,ga_sd_003,9.0
2020,11140750010501,ga_sd_005,34.0
2020,11140700012401,ga_sd_005,29.0
2020,11140700011501,ga_sd_006,5.0
2020,11140600020002,ga_sd_005,239.0
2020,11140780020217,ga_sd_002,105.0
2020,11140770010007,ga_sd_003,7.0
2020,11140730020027,ga_sd_005,450.0
2020,11140710010001,ga_sd_005,197.0
2020,11140680010009,ga_sd_005,124.0
2020,11140750010704,ga_sd_003,18.0
2020,11140680010015,ga_sd_006,10.0
2020,11140700010012,ga_sd_006,5.0
2020,11140780020216,ga_sd_005,22.0
2020,11140770020011,ga_sd_003,5.0
2020,11140690010901,ga_sd_003,12.0
2020,11140770010201,ga_sd_001,32.0
2020,11140680010301,ga_sd_003,5.0
2020,11140730020313,ga_sd_006,10.0
2020,11140770010005,ga_sd_006,12.0
2020,11140600010106,ga_sd_005,131.0
2020,11140590011002,ga_sd_002,118.0
2020,11140730020014,ga_sd_006,24.0
2020,11140740010104,ga_sd_001,32.0
2020,11140760010703,ga_sd_001,36.0
2020,11140710010017,ga_sd_005,165.0
2020,11140770010011,ga_sd_005,122.0
2020,11140690010009,ga_sd_003,8.0
2020,11140600010202,ga_sd_001,26.0
2020,11140630020702,ga_sd_003,7.0
2020,11140700010008,ga_sd_006,8.0
2020,11140780021601,ga_sd_005,81.0
2020,11140740040403,ga_sd_002,135.0
2020,11140720020004,ga_sd_002,81.0
2020,11140600010002,ga_sd_005,196.0
2020,11140680010301,ga_sd_002,75.0
2020,11140660030019,ga_sd_001,20.0
2020,11140600010009,ga_sd_006,10.0
2020,11140760010201,ga_sd_002,130.0
2020,11140780021303,ga_sd_006,5.0
2020,11140740040201,ga_sd_005,10.0
2020,11140740040201,ga_sd_002,101.0
2020,11140700010201,ga_sd_005,16.0
2020,11140660020001,ga_sd_002,76.0
2020,11140760030202,ga_sd_002,130.0
2020,11140730020312,ga_sd_003,6.0
2020,11140720020016,ga_sd_001,38.0
2020,11140760010301,ga_sd_003,7.0
2020,11140730020007,ga_sd_001,34.0
2020,11140660020005,ga_sd_002,55.0
2020,11140770020002,ga_sd_002,75.0
2020,11140660020201,ga_sd_005,32.0
2020,11140680010012,ga_sd_006,9.0
2020,11140780020210,ga_sd_002,104.0
2020,11140760030010,ga_sd_001,40.0
2020,11140710010002,ga_sd_002,84.0
2020,11140750011002,ga_sd_001,48.0
2020,11140780020005,ga_sd_006,11.0
2020,11140760010203,ga_sd_002,92.0
2020,11140610010402,ga_sd_003,11.0
2020,11140740040303,ga_sd_002,112.0
2020,11140600010011,ga_sd_003,7.0
2020,11140630010501,ga_sd_006,5.0
2020,11140710010023,ga_sd_006,22.0
2020,11140600010006,ga_sd_005,104.0
2020,11140660020301,ga_sd_002,38.0
2020,11140630020011,ga_sd_003,7.0
2020,11140630010601,ga_sd_001,26.0
2020,11140710010020,ga_sd_006,8.0
2020,11140750011002,ga_sd_003,11.0
2020,11140740040201,ga_sd_001,23.0
2020,11140750010001,ga_sd_001,29.0
2020,11140740020004,ga_sd_005,240.0
2020,11140690010022,ga_sd_006,15.0
2020,11140750010009,ga_sd_003,6.0
2020,11140660030019,ga_sd_002,8.0
2020,11140730020702,ga_sd_005,18.0
2020,11140740030201,ga_sd_001,51.0
2020,11140630020007,ga_sd_005,165.0
2020,11140680020011,ga_sd_002,100.0
2020,11140770020005,ga_sd_002,58.0
2020,11140740020002,ga_sd_005,98.0
2020,11140630020002,ga_sd_001,25.0
2020,11140740030002,ga_sd_002,60.0
2020,11140730020601,ga_sd_002,88.0
2020,11140710010005,ga_sd_001,29.0
2020,11140660030010,ga_sd_005,235.0
2020,11140590010301,ga_sd_001,29.0
2020,11140600010012,ga_sd_001,34.0
2020,11140770010102,ga_sd_001,36.0
2020,11140630020010,ga_sd_005,77.0
2020,11140760030203,ga_sd_001,25.0
2020,11140740020006,ga_sd_005,133.0
2020,11140630010103,ga_sd_005,60.0
2020,11140740030103,ga_sd_005,7.0
2020,11140710010022,ga_sd_005,126.0
2020,11140780021101,ga_sd_001,35.0
2020,11140760010204,ga_sd_005,22.0
2020,11140690010102,ga_sd_001,49.0
2020,11140700010025,ga_sd_005,103.0
2020,11140740010003,ga_sd_001,27.0
2020,11140770010013,ga_sd_005,242.0
2020,11140750010014,ga_sd_002,63.0
2020,11140660010002,ga_sd_002,27.0
2020,11140740040204,ga_sd_001,20.0
2020,11140780021202,ga_sd_002,114.0
2020,11140690010006,ga_sd_003,6.0
2020,11140770011101,ga_sd_003,9.0
2020,11140730020002,ga_sd_003,9.0
2020,11140730020201,ga_sd_005,20.0
2020,11140760030007,ga_sd_002,59.0
2020,11140780020218,ga_sd_001,22.0
2020,11140690010015,ga_sd_002,74.0
2020,11140630020601,ga_sd_002,143.0
2020,11140590010004,ga_sd_005,212.0
2020,11140750010703,ga_sd_003,22.0
2020,11140770010009,ga_sd_003,9.0
2020,11140700010601,ga_sd_001,46.0
2020,11140720010001,ga_sd_003,9.0
2020,11140780021102,ga_sd_001,46.0
2020,11140730021501,ga_sd_003,8.0
2020,11140600020301,ga_sd_002,117.0
2020,11140760010001,ga_sd_001,38.0
2020,11140700010010,ga_sd_003,18.0
2020,11140600010002,ga_sd_006,13.0
2020,11140700010011,ga_sd_006,13.0
2020,11140700010013,ga_sd_005,53.0
2020,11140700010011,ga_sd_005,137.0
2020,11140770011104,ga_sd_003,7.0
2020,11140760030005,ga_sd_001,46.0
2020,11140690010019,ga_sd_002,69.0
2020,11140690010016,ga_sd_005,97.0
2020,11140700011501,ga_sd_001,24.0
2020,11140740030501,ga_sd_002,109.0
2020,11140690010005,ga_sd_001,44.0
2020,11140730020001,ga_sd_006,11.0
2020,11140750010602,ga_sd_003,7.0
2020,11140740040302,ga_sd_001,14.0
2020,11140710010023,ga_sd_002,70.0
2020,11140630010602,ga_sd_003,14.0
2020,11140590010401,ga_sd_002,131.0
2020,11140700010015,ga_sd_005,116.0
2020,11140770020016,ga_sd_006,6.0
2020,11140690010023,ga_sd_006,14.0
2020,11140740040205,ga_sd_002,98.0
2020,11140690010401,ga_sd_003,9.0
2020,11140750011001,ga_sd_005,17.0
2020,11140730020021,ga_sd_005,422.0
2020,11140740040104,ga_sd_003,5.0
2020,11140660020013,ga_sd_006,7.0
2020,11140740010101,ga_sd_001,24.0
2020,11140780021503,ga_sd_006,10.0
2020,11140610010010,ga_sd_002,65.0
2020,11140600010106,ga_sd_001,87.0
2020,11140590011203,ga_sd_002,98.0
2020,11140730020702,ga_sd_003,12.0
2020,11140690010013,ga_sd_006,11.0
2020,11140730021001,ga_sd_001,35.0
2020,11140660030001,ga_sd_006,8.0
2020,11140710010027,ga_sd_006,7.0
2020,11140770010016,ga_sd_002,22.0
2020,11140630020006,ga_sd_002,65.0
2020,11140660020006,ga_sd_001,42.0
2020,11140590011801,ga_sd_005,14.0
2020,11140710010026,ga_sd_003,8.0
2020,11140730030106,ga_sd_005,93.0
2020,11140600010012,ga_sd_005,169.0
2020,11140680010013,ga_sd_003,9.0
2020,11140760010009,ga_sd_001,29.0
2020,11140730020015,ga_sd_002,126.0
2020,11140660020015,ga_sd_005,98.0
2020,11140710010007,ga_sd_002,67.0
2020,11140680020006,ga_sd_002,76.0
2020,11140660030004,ga_sd_005,142.0
2020,11140770020201,ga_sd_003,6.0
2020,11140680020009,ga_sd_002,73.0
2020,11140780021504,ga_sd_003,18.0
2020,11140690010007,ga_sd_006,16.0
2020,11140630020504,ga_sd_001,22.0
2020,11140660020021,ga_sd_005,183.0
2020,11140590010007,ga_sd_003,6.0
2020,11140590010103,ga_sd_003,10.0
2020,11140740040301,ga_sd_003,6.0
2020,11140600010013,ga_sd_003,9.0
2020,11140730020013,ga_sd_002,127.0
2020,11140710010017,ga_sd_003,9.0
2020,11140720020020,ga_sd_005,47.0
2020,11140610010009,ga_sd_002,17.0
2020,11140770010001,ga_sd_006,11.0
2020,11140720020002,ga_sd_001,33.0
2020,11140780020006,ga_sd_002,50.0
2020,11140760010008,ga_sd_002,58.0
2020,11140600010004,ga_sd_001,33.0
2020,11140690010018,ga_sd_001,35.0
2020,11140780020902,ga_sd_002,71.0
2020,11140780020005,ga_sd_003,10.0
2020,11140780020206,ga_sd_005,12.0
2020,11140730020309,ga_sd_006,8.0
2020,11140590010004,ga_sd_001,15.0
2020,11140660020018,ga_sd_005,171.0
2020,11140770020702,ga_sd_002,128.0
2020,11140700010022,ga_sd_003,8.0
2020,11140760031003,ga_sd_003,6.0
2020,11140710010023,ga_sd_001,44.0
2020,11140760020001,ga_sd_003,9.0
2020,11140630020013,ga_sd_002,54.0
2020,11140630020503,ga_sd_006,11.0
2020,11140630020103,ga_sd_003,10.0
2020,11140590011801,ga_sd_001,26.0
2020,11140690010008,ga_sd_005,103.0
2020,11140700010007,ga_sd_005,83.0
2020,11140610010403,ga_sd_005,21.0
2020,11140680020001,ga_sd_003,7.0
2020,11140770030301,ga_sd_005,60.0
2020,11140730021501,ga_sd_005,13.0
2020,11140700010601,ga_sd_005,30.0
2020,11140680010004,ga_sd_003,12.0
2020,11140720010010,ga_sd_001,37.0
2020,11140590011201,ga_sd_005,6.0
2020,11140660020203,ga_sd_005,34.0
2020,11140730020021,ga_sd_006,37.0
2020,11140730020015,ga_sd_001,31.0
2020,11140730020024,ga_sd_005,55.0
2020,11140770010103,ga_sd_002,149.0
2020,11140680020011,ga_sd_003,8.0
2020,11140760010405,ga_sd_002,84.0
2020,11140770020704,ga_sd_002,79.0
2020,11140690010006,ga_sd_005,132.0
2020,11140660030016,ga_sd_003,10.0
2020,11140770020008,ga_sd_003,6.0
2020,11140780020204,ga_sd_003,8.0
2020,11140770020403,ga_sd_005,12.0
2020,11140700010008,ga_sd_001,33.0
2020,11140630020504,ga_sd_005,20.0
2020,11140760031101,ga_sd_002,95.0
2020,11140780021502,ga_sd_005,24.0
2020,11140770020201,ga_sd_002,92.0
2020,11140730020305,ga_sd_001,48.0
2020,11140590011003,ga_sd_005,12.0
2020,11140760030006,ga_sd_005,150.0
2020,11140750010003,ga_sd_005,98.0
2020,11140740010301,ga_sd_005,12.0
2020,11140780020002,ga_sd_006,16.0
2020,11140730020314,ga_sd_006,5.0
2020,11140750010906,ga_sd_001,57.0
2020,11140710010027,ga_sd_001,29.0
2020,11140770020007,ga_sd_006,11.0
2020,11140690010015,ga_sd_003,9.0
2020,11140660030005,ga_sd_001,33.0
2020,11140770020017,ga_sd_002,117.0
2020,11140690010013,ga_sd_005,165.0
2020,11140630021102,ga_sd_001,31.0
2020,11140660020007,ga_sd_001,48.0
2020,11140780021102,ga_sd_002,78.0
2020,11140630020601,ga_sd_001,50.0
2020,11140710010013,ga_sd_006,12.0
2020,11140780021501,ga_sd_003,7.0
2020,11140690010031,ga_sd_001,54.0
2020,11140780020203,ga_sd_001,71.0
2020,11140610010401,ga_sd_005,56.0
2020,11140720010006,ga_sd_001,35.0
2020,11140780021101,ga_sd_002,125.0
2020,11140780021504,ga_sd_002,118.0
2020,11140630020502,ga_sd_005,53.0
2020,11140630020012,ga_sd_002,65.0
2020,11140760010010,ga_sd_002,54.0
2020,11140730020306,ga_sd_006,5.0
2020,11140700010004,ga_sd_006,6.0
2020,11140710010010,ga_sd_005,249.0
2020,11140700010020,ga_sd_001,31.0
2020,11140740010301,ga_sd_001,28.0
2020,11140780020211,ga_sd_001,30.0
2020,11140730020301,ga_sd_001,55.0
2020,11140770010023,ga_sd_005,172.0
2020,11140780021101,ga_sd_006,5.0
2020,11140740010305,ga_sd_005,13.0
2020,11140750010905,ga_sd_001,55.0
2020,11140700010007,ga_sd_002,67.0
2020,11140680020009,ga_sd_006,8.0
2020,11140780020001,ga_sd_006,11.0
2020,11140740030503,ga_sd_005,37.0
2020,11140720010012,ga_sd_005,55.0
2020,11140740020002,ga_sd_003,8.0
2020,11140690010029,ga_sd_003,6.0
2020,11140680010003,ga_sd_005,156.0
2020,11140700010013,ga_sd_003,5.0
2020,11140680010016,ga_sd_006,16.0
2020,11140780021102,ga_sd_005,27.0
2020,11140720020007,ga_sd_005,49.0
2020,11140760031001,ga_sd_003,5.0
2020,11140770020020,ga_sd_005,56.0
2020,11140780021401,ga_sd_005,12.0
2020,11140760030302,ga_sd_005,49.0
2020,11140660030006,ga_sd_006,7.0
2020,11140690010401,ga_sd_002,114.0
2020,11140740010304,ga_sd_003,9.0
2020,11140770020705,ga_sd_003,6.0
2020,11140680010004,ga_sd_002,70.0
2020,11140680020010,ga_sd_001,49.0
2020,11140690010001,ga_sd_006,8.0
2020,11140700010008,ga_sd_002,105.0
2020,11140610010005,ga_sd_002,39.0
2020,11140590011901,ga_sd_006,9.0
2020,11140720020001,ga_sd_003,7.0
2020,11140690010001,ga_sd_001,59.0
2020,11140590010102,ga_sd_005,35.0
2020,11140600020301,ga_sd_005,13.0
2020,11140730020009,ga_sd_001,45.0
2020,11140730021102,ga_sd_003,5.0
2020,11140690010012,ga_sd_006,7.0
2020,11140700010024,ga_sd_003,12.0
2020,11140720020021,ga_sd_006,13.0
2020,11140630010401,ga_sd_002,107.0
2020,11140780021102,ga_sd_006,5.0
2020,11140630010005,ga_sd_001,30.0
2020,11140660020017,ga_sd_003,6.0
2020,11140760010402,ga_sd_001,43.0
2020,11140590010101,ga_sd_005,10.0
2020,11140600010009,ga_sd_003,5.0
2020,11140720010002,ga_sd_001,15.0
2020,11140740010302,ga_sd_003,10.0
2020,11140760010601,ga_sd_005,37.0
2020,11140690010011,ga_sd_006,8.0
2020,11140770010201,ga_sd_005,18.0
2020,11140660010004,ga_sd_006,16.0
2020,11140760010002,ga_sd_003,10.0
2020,11140770020004,ga_sd_005,53.0
2020,11140740030302,ga_sd_005,82.0
2020,11140750010008,ga_sd_002,70.0
2020,11140610010011,ga_sd_006,13.0
2020,11140780020202,ga_sd_001,28.0
2020,11140610010006,ga_sd_006,7.0
2020,11140730020008,ga_sd_006,9.0
2020,11140770020402,ga_sd_001,22.0
2020,11140780020205,ga_sd_001,51.0
2020,11140780020220,ga_sd_002,114.0
2020,11140660030018,ga_sd_001,56.0
2020,11140710010015,ga_sd_001,37.0
2020,11140680020002,ga_sd_002,69.0
2020,11140750010010,ga_sd_005,103.0
2020,11140730021201,ga_sd_002,122.0
2020,11140780020210,ga_sd_005,21.0
2020,11140700010024,ga_sd_002,105.0
2020,11140760031002,ga_sd_002,115.0
2020,11140770011103,ga_sd_001,34.0
2020,11140630010003,ga_sd_003,6.0
2020,11140660020010,ga_sd_001,53.0
2020,11140730020006,ga_sd_006,6.0
2020,11140740030102,ga_sd_003,13.0
2020,11140740010403,ga_sd_001,32.0
2020,11140720020001,ga_sd_006,13.0
2020,11140710010201,ga_sd_002,115.0
2020,11140660020203,ga_sd_003,6.0
2020,11140710010015,ga_sd_002,71.0
2020,11140660020020,ga_sd_005,93.0
2020,11140690010013,ga_sd_001,37.0
2020,11140770020002,ga_sd_003,9.0
2020,11140780010101,ga_sd_005,158.0
2020,11140750011004,ga_sd_002,106.0
2020,11140730030101,ga_sd_005,89.0
2020,11140660020013,ga_sd_003,8.0
2020,11140740040504,ga_sd_005,8.0
2020,11140780021504,ga_sd_001,45.0
2020,11140630010104,ga_sd_005,25.0
2020,11140730020023,ga_sd_001,17.0
2020,11140770010003,ga_sd_002,122.0
2020,11140690010007,ga_sd_003,12.0
2020,11140700010022,ga_sd_005,54.0
2020,11140710010006,ga_sd_006,7.0
2020,11140760010403,ga_sd_005,26.0
2020,11140660020001,ga_sd_001,53.0
2020,11140720020019,ga_sd_005,85.0
2020,11140690010005,ga_sd_002,84.0
2020,11140680010018,ga_sd_005,106.0
2020,11140730020501,ga_sd_003,12.0
2020,11140710010003,ga_sd_003,12.0
2020,11140680010014,ga_sd_006,10.0
2020,11140780020214,ga_sd_005,60.0
2020,11140690010004,ga_sd_001,44.0
2020,11140780021503,ga_sd_005,73.0
2020,11140770010104,ga_sd_001,27.0
2020,11140660010003,ga_sd_005,225.0
2020,11140710010022,ga_sd_001,43.0
2020,11140660020018,ga_sd_003,7.0
2020,11140720010012,ga_sd_003,11.0
2020,11140600010013,ga_sd_001,32.0
2020,11140590010403,ga_sd_001,20.0
2020,11140710010009,ga_sd_006,7.0
2020,11140740030401,ga_sd_005,32.0
2020,11140730020019,ga_sd_003,5.0
2020,11140710010014,ga_sd_005,136.0
2020,11140780020202,ga_sd_002,90.0
2020,11140690010021,ga_sd_001,59.0
2020,11140760030009,ga_sd_001,33.0
2020,11140690010010,ga_sd_006,16.0
2020,11140680020006,ga_sd_001,40.0
2020,11140750010602,ga_sd_001,41.0
2020,11140720020001,ga_sd_002,72.0
2020,11140690010016,ga_sd_002,101.0
2020,11140590011202,ga_sd_002,122.0
2020,11140590011206,ga_sd_003,9.0
2020,11140780020002,ga_sd_002,70.0
2020,11140600020004,ga_sd_001,41.0
2020,11140740030101,ga_sd_003,8.0
2020,11140740010105,ga_sd_002,99.0
2020,11140590011802,ga_sd_005,158.0
2020,11140760010202,ga_sd_002,116.0
2020,11140610010003,ga_sd_005,70.0
2020,11140730020306,ga_sd_002,102.0
2020,11140770020703,ga_sd_001,32.0
2020,11140740020006,ga_sd_001,25.0
2020,11140780020210,ga_sd_001,20.0
2020,11140680010011,ga_sd_005,137.0
2020,11140780020209,ga_sd_001,41.0
2020,11140760040101,ga_sd_005,27.0
2020,11140740030001,ga_sd_003,8.0
2020,11140700010017,ga_sd_001,41.0
2020,11140740020007,ga_sd_003,6.0
2020,11140770020704,ga_sd_003,7.0
2020,11140780021601,ga_sd_001,52.0
2020,11140760030201,ga_sd_002,107.0
2020,11140750010002,ga_sd_006,10.0
2020,11140780020221,ga_sd_002,107.0
2020,11140770010022,ga_sd_006,14.0
2020,11140770020015,ga_sd_001,41.0
2020,11140660030016,ga_sd_005,228.0
2020,11140730020019,ga_sd_006,6.0
2020,11140660020202,ga_sd_002,115.0
2020,11140740010301,ga_sd_003,16.0
2020,11140770020007,ga_sd_001,19.0
2020,11140770020006,ga_sd_003,10.0
2020,11140770010018,ga_sd_001,56.0
2020,11140740010302,ga_sd_005,9.0
2020,11140690010001,ga_sd_005,106.0
2020,11140610010007,ga_sd_002,42.0
2020,11140720010001,ga_sd_005,139.0
2020,11140750010007,ga_sd_002,50.0
2020,11140760010009,ga_sd_006,14.0
2020,11140780021302,ga_sd_001,38.0
2020,11140600010006,ga_sd_001,18.0
2020,11140740040301,ga_sd_002,107.0
2020,11140730021601,ga_sd_003,16.0
2020,11140680020003,ga_sd_001,65.0
2020,11140710010002,ga_sd_005,210.0
2020,11140730020013,ga_sd_006,18.0
2020,11140770010007,ga_sd_005,65.0
2020,11140710010202,ga_sd_002,115.0
2020,11140590010201,ga_sd_001,37.0
2020,11140780020002,ga_sd_005,218.0
2020,11140710010018,ga_sd_001,36.0
2020,11140610010004,ga_sd_002,41.0
2020,11140780020209,ga_sd_005,55.0
2020,11140750011003,ga_sd_002,89.0
2020,11140590010302,ga_sd_002,122.0
2020,11140740040502,ga_sd_005,6.0
2020,11140590011002,ga_sd_001,47.0
2020,11140660030010,ga_sd_002,64.0
2020,11140780021302,ga_sd_005,28.0
2020,11140770020403,ga_sd_002,109.0
