year,area_code,indicator_code,value
2020,11140740010403,to_ga_001,161.0
2020,11140740010402,to_ga_001,224.0
2020,11140740040401,to_ga_001,152.0
2020,11140690010401,to_ga_001,167.0
2020,11140740030503,to_ga_001,199.0
2020,11140730020307,to_ga_001,162.0
2020,11140660030015,to_ga_001,176.0
2020,11140660030002,to_ga_001,299.0
2020,11140660030012,to_ga_001,362.0
2020,11140660030003,to_ga_001,266.0
2020,11140660030013,to_ga_001,239.0
2020,11140660030018,to_ga_001,330.0
2020,11140660030009,to_ga_001,235.0
2020,11140660030019,to_ga_001,243.0
2020,11140780020211,to_ga_001,197.0
2020,11140660030001,to_ga_001,253.0
2020,11140660030011,to_ga_001,232.0
2020,11140660030006,to_ga_001,227.0
2020,11140660030016,to_ga_001,348.0
2020,11140660030007,to_ga_001,0.0
2020,11140680010016,to_ga_001,239.0
2020,11140660030017,to_ga_001,258.0
2020,11140660030101,to_ga_001,122.0
2020,11140660030301,to_ga_001,909.0
2020,11140680010011,to_ga_001,258.0
2020,11140680010002,to_ga_001,273.0
2020,11140680010012,to_ga_001,173.0
2020,11140680010003,to_ga_001,306.0
2020,11140680010013,to_ga_001,237.0
2020,11140680010004,to_ga_001,226.0
2020,11140680010014,to_ga_001,267.0
2020,11140680010009,to_ga_001,288.0
2020,11140680010005,to_ga_001,198.0
2020,11140680010015,to_ga_001,261.0
2020,11140680010006,to_ga_001,225.0
2020,11140680010008,to_ga_001,320.0
2020,11140680010018,to_ga_001,268.0
2020,11140680010007,to_ga_001,268.0
2020,11140680010017,to_ga_001,255.0
2020,11140680010010,to_ga_001,270.0
2020,11140680010001,to_ga_001,249.0
2020,11140680010201,to_ga_001,195.0
2020,11140680010301,to_ga_001,309.0
2020,11140680010302,to_ga_001,269.0
2020,11140690010031,to_ga_001,326.0
2020,11140680020001,to_ga_001,257.0
2020,11140680020007,to_ga_001,278.0
2020,11140680020004,to_ga_001,246.0
2020,11140680020005,to_ga_001,279.0
2020,11140680020002,to_ga_001,269.0
2020,11140730020702,to_ga_001,218.0
2020,11140680020003,to_ga_001,290.0
2020,11140680020010,to_ga_001,255.0
2020,11140680020011,to_ga_001,306.0
2020,11140680020006,to_ga_001,300.0
2020,11140680020008,to_ga_001,236.0
2020,11140690010005,to_ga_001,228.0
2020,11140680020009,to_ga_001,210.0
