year,area_code,indicator_code,value
2020,11140770030001,to_in_004,0.0
2020,11140740030301,to_in_004,308.5
2020,11140740010403,to_in_004,107.4
2020,11140780020216,to_in_004,34.9
2020,11140770010102,to_in_004,47.6
2020,11140630020701,to_in_004,39.2
2020,11140770020703,to_in_004,87.9
2020,11140740010402,to_in_004,75.7
2020,11140740040401,to_in_004,43.0
2020,11140690010401,to_in_004,98.6
2020,11140740030503,to_in_004,21.6
2020,11140730020307,to_in_004,50.0
2020,11140780020217,to_in_004,18.9
2020,11140780020209,to_in_004,170.9
2020,11140770020701,to_in_004,93.3
2020,11140780020406,to_in_004,0.0
2020,11140780020407,to_in_004,0.0
2020,11140590011202,to_in_004,44.7
2020,11140590011203,to_in_004,62.1
2020,11140740030401,to_in_004,80.6
2020,11140740040504,to_in_004,23.9
2020,11140600010203,to_in_004,95.4
2020,11140590010003,to_in_004,147.4
2020,11140590010006,to_in_004,271.4
2020,11140590011208,to_in_004,1690.9
2020,11140590011209,to_in_004,72.1
2020,11140600010202,to_in_004,66.3
2020,11140590010009,to_in_004,215.6
2020,11140590010001,to_in_004,404.8
2020,11140590010011,to_in_004,217.5
2020,11140590010007,to_in_004,143.5
2020,11140590011201,to_in_004,87.8
2020,11140590011204,to_in_004,31.3
2020,11140600010501,to_in_004,48.7
2020,11140590010002,to_in_004,32.6
2020,11140590010005,to_in_004,194.4
2020,11140590010008,to_in_004,309.1
2020,11140590010004,to_in_004,750.0
2020,11140590010010,to_in_004,214.8
2020,11140590010103,to_in_004,21.4
2020,11140690010901,to_in_004,200.0
2020,11140590010101,to_in_004,18.7
2020,11140590010201,to_in_004,233.3
2020,11140590010302,to_in_004,81.6
2020,11140590010403,to_in_004,21.4
2020,11140590010402,to_in_004,28.4
2020,11140590010401,to_in_004,72.9
2020,11140590010501,to_in_004,75.3
2020,11140590011003,to_in_004,61.5
2020,11140590011002,to_in_004,109.2
2020,11140590011001,to_in_004,42.1
2020,11140740040503,to_in_004,37.5
2020,11140590011205,to_in_004,82.8
2020,11140590011206,to_in_004,1193.3
2020,11140590011207,to_in_004,45.5
2020,11140590011210,to_in_004,48.0
2020,11140590011301,to_in_004,74.2
2020,11140590011402,to_in_004,82.1
2020,11140590011401,to_in_004,137.5
2020,11140590011801,to_in_004,134.3
2020,11140590011802,to_in_004,67.3
2020,11140590011902,to_in_004,50.9
2020,11140590011901,to_in_004,58.0
2020,11140600010004,to_in_004,348.1
2020,11140600010201,to_in_004,49.0
2020,11140610010203,to_in_004,0.0
2020,11140600010014,to_in_004,131.3
2020,11140600010005,to_in_004,511.8
2020,11140600010015,to_in_004,250.0
2020,11140600010006,to_in_004,315.4
2020,11140600010016,to_in_004,287.5
2020,11140600010008,to_in_004,383.3
2020,11140600010018,to_in_004,66.7
2020,11140600010007,to_in_004,220.0
2020,11140600010017,to_in_004,245.0
2020,11140600010009,to_in_004,566.7
2020,11140600010102,to_in_004,0.0
2020,11140610010204,to_in_004,0.0
2020,11140600010001,to_in_004,476.2
2020,11140600010011,to_in_004,332.1
2020,11140600010002,to_in_004,213.0
2020,11140600010012,to_in_004,550.0
2020,11140600010103,to_in_004,0.0
2020,11140600010104,to_in_004,0.0
2020,11140730020701,to_in_004,78.6
2020,11140600010010,to_in_004,0.0
2020,11140600010003,to_in_004,345.5
2020,11140600010013,to_in_004,208.6
2020,11140600010106,to_in_004,159.7
2020,11140600010101,to_in_004,0.0
2020,11140600010105,to_in_004,0.0
2020,11140600020003,to_in_004,215.8
2020,11140600020002,to_in_004,88.9
2020,11140600020005,to_in_004,365.4
2020,11140610010104,to_in_004,0.0
2020,11140610010205,to_in_004,0.0
2020,11140610010201,to_in_004,26.0
2020,11140600020004,to_in_004,263.2
2020,11140600020001,to_in_004,324.0
2020,11140600020301,to_in_004,70.3
2020,11140610010008,to_in_004,281.6
2020,11140610010101,to_in_004,0.0
2020,11140610010010,to_in_004,238.5
2020,11140610010002,to_in_004,787.5
2020,11140610010007,to_in_004,700.0
2020,11140610010004,to_in_004,360.0
2020,11140610010001,to_in_004,35.8
2020,11140610010011,to_in_004,616.7
2020,11140610010006,to_in_004,280.0
2020,11140610010009,to_in_004,333.3
2020,11140610010003,to_in_004,309.5
2020,11140770020704,to_in_004,62.0
2020,11140610010012,to_in_004,470.8
2020,11140610010005,to_in_004,688.9
2020,11140610010106,to_in_004,0.0
2020,11140610010109,to_in_004,0.0
2020,11140610010103,to_in_004,0.0
2020,11140610010105,to_in_004,0.0
2020,11140610010108,to_in_004,0.0
2020,11140610010102,to_in_004,0.0
2020,11140610010107,to_in_004,0.0
2020,11140610010202,to_in_004,100.0
2020,11140610010301,to_in_004,184.3
2020,11140610010401,to_in_004,196.5
2020,11140610010402,to_in_004,60.5
2020,11140610010403,to_in_004,117.7
2020,11140610010404,to_in_004,63.6
2020,11140630010501,to_in_004,280.6
2020,11140610020001,to_in_004,124.2
2020,11140610020201,to_in_004,42.4
2020,11140610020202,to_in_004,38.2
2020,11140630020102,to_in_004,57.3
2020,11140630010002,to_in_004,115.2
2020,11140630010007,to_in_004,191.3
2020,11140630010004,to_in_004,193.5
2020,11140630010401,to_in_004,57.4
2020,11140780020201,to_in_004,367.7
2020,11140630010001,to_in_004,364.1
2020,11140630010006,to_in_004,371.4
2020,11140630010003,to_in_004,365.0
2020,11140630010005,to_in_004,500.0
2020,11140630010102,to_in_004,82.0
2020,11140630010104,to_in_004,54.5
2020,11140630010105,to_in_004,67.6
2020,11140630010101,to_in_004,65.3
2020,11140630010201,to_in_004,105.4
2020,11140630010502,to_in_004,177.4
2020,11140630010601,to_in_004,121.3
2020,11140630010602,to_in_004,116.4
2020,11140630020008,to_in_004,265.0
2020,11140630020301,to_in_004,82.7
2020,11140630020002,to_in_004,492.3
2020,11140630020012,to_in_004,258.1
2020,11140630020801,to_in_004,126.8
2020,11140630020001,to_in_004,134.3
2020,11140630020011,to_in_004,154.5
2020,11140630020401,to_in_004,96.9
2020,11140630020009,to_in_004,226.7
2020,11140630020003,to_in_004,314.8
2020,11140630020502,to_in_004,161.4
2020,11140630020006,to_in_004,293.5
2020,11140630020005,to_in_004,269.2
2020,11140630020015,to_in_004,0.0
2020,11140630020010,to_in_004,209.8
2020,11140630020004,to_in_004,288.9
2020,11140630020013,to_in_004,340.9
2020,11140630020504,to_in_004,34.7
2020,11140630020007,to_in_004,286.1
2020,11140630020101,to_in_004,46.1
2020,11140630020103,to_in_004,62.7
2020,11140630020503,to_in_004,68.8
2020,11140630020501,to_in_004,56.3
2020,11140630020601,to_in_004,138.8
2020,11140630021101,to_in_004,82.5
2020,11140630021103,to_in_004,122.0
2020,11140630021102,to_in_004,113.5
2020,11140660010003,to_in_004,262.1
2020,11140660010004,to_in_004,211.1
2020,11140660020003,to_in_004,168.1
2020,11140660010001,to_in_004,308.0
2020,11140660020010,to_in_004,149.2
2020,11140660010002,to_in_004,812.5
2020,11140660020001,to_in_004,289.7
2020,11140660020011,to_in_004,326.3
2020,11140660020021,to_in_004,183.0
2020,11140660020202,to_in_004,108.5
2020,11140660020004,to_in_004,170.7
2020,11140660020014,to_in_004,254.2
2020,11140660020020,to_in_004,307.7
