year,area_code,indicator_code,value
2020,11140770030001,to_in_002,0.0
2020,11140760030011,to_in_002,0.0
2020,11140740030301,to_in_002,48.1
2020,11140740010403,to_in_002,41.9
2020,11140780020216,to_in_002,34.6
2020,11140770010102,to_in_002,38.2
2020,11140630020701,to_in_002,36.6
2020,11140770020703,to_in_002,40.7
2020,11140740010402,to_in_002,39.1
2020,11140740040401,to_in_002,36.8
2020,11140690010401,to_in_002,41.1
2020,11140740030503,to_in_002,33.4
2020,11140730020307,to_in_002,38.4
2020,11140780020217,to_in_002,34.3
2020,11140780020209,to_in_002,44.8
2020,11140770020701,to_in_002,40.5
2020,11140780020406,to_in_002,0.0
2020,11140780020407,to_in_002,0.0
2020,11140590011202,to_in_002,37.3
2020,11140590011203,to_in_002,38.7
2020,11140740030401,to_in_002,40.9
2020,11140740040504,to_in_002,34.4
2020,11140600010203,to_in_002,40.8
2020,11140590010003,to_in_002,41.6
2020,11140590010006,to_in_002,44.9
2020,11140590011208,to_in_002,54.8
2020,11140590011209,to_in_002,40.2
2020,11140600010202,to_in_002,39.7
2020,11140590010009,to_in_002,42.7
2020,11140590010001,to_in_002,46.0
2020,11140590010011,to_in_002,44.0
2020,11140590010007,to_in_002,42.2
2020,11140590011201,to_in_002,41.9
2020,11140590011204,to_in_002,36.1
2020,11140600010501,to_in_002,32.8
2020,11140590010002,to_in_002,34.5
2020,11140590010005,to_in_002,42.8
2020,11140590010008,to_in_002,44.0
2020,11140590010004,to_in_002,39.4
2020,11140590010010,to_in_002,42.2
2020,11140590010103,to_in_002,34.1
2020,11140690010901,to_in_002,45.5
2020,11140590010101,to_in_002,34.6
2020,11140590010201,to_in_002,47.9
2020,11140590010302,to_in_002,40.4
2020,11140590010403,to_in_002,33.5
2020,11140590010402,to_in_002,34.9
2020,11140590010401,to_in_002,39.6
2020,11140590010501,to_in_002,39.8
2020,11140590011003,to_in_002,39.2
2020,11140590011002,to_in_002,42.8
2020,11140590011001,to_in_002,36.6
2020,11140740040503,to_in_002,36.0
2020,11140590011205,to_in_002,39.8
2020,11140590011206,to_in_002,53.3
2020,11140590011207,to_in_002,35.8
2020,11140590011210,to_in_002,38.2
2020,11140590011301,to_in_002,39.2
2020,11140590011402,to_in_002,40.0
2020,11140590011401,to_in_002,41.0
2020,11140590011801,to_in_002,44.2
2020,11140590011802,to_in_002,38.9
2020,11140590011902,to_in_002,38.1
2020,11140590011901,to_in_002,38.4
2020,11140600010004,to_in_002,43.3
2020,11140600010201,to_in_002,38.1
2020,11140610010203,to_in_002,0.0
2020,11140600010014,to_in_002,33.5
2020,11140600010005,to_in_002,44.8
2020,11140600010015,to_in_002,40.4
2020,11140600010006,to_in_002,37.5
2020,11140600010016,to_in_002,41.2
2020,11140600010008,to_in_002,41.5
2020,11140600010018,to_in_002,32.5
2020,11140600010007,to_in_002,32.1
2020,11140600010017,to_in_002,39.6
2020,11140600010009,to_in_002,45.4
2020,11140600010102,to_in_002,0.0
2020,11140610010204,to_in_002,0.0
2020,11140600010001,to_in_002,41.7
2020,11140600010011,to_in_002,41.3
2020,11140600010002,to_in_002,37.1
2020,11140600010012,to_in_002,41.7
2020,11140600010103,to_in_002,23.0
2020,11140600010104,to_in_002,0.0
2020,11140730020701,to_in_002,39.6
2020,11140600010010,to_in_002,27.5
2020,11140600010003,to_in_002,45.0
2020,11140600010013,to_in_002,41.9
2020,11140600010106,to_in_002,41.7
2020,11140600010101,to_in_002,0.0
2020,11140600010105,to_in_002,0.0
2020,11140600020003,to_in_002,35.2
2020,11140600020002,to_in_002,35.2
2020,11140600020005,to_in_002,46.1
2020,11140610010104,to_in_002,0.0
2020,11140610010205,to_in_002,0.0
2020,11140610010201,to_in_002,34.8
2020,11140600020004,to_in_002,40.0
2020,11140600020001,to_in_002,44.4
2020,11140600020301,to_in_002,39.8
2020,11140610010008,to_in_002,44.2
2020,11140610010101,to_in_002,0.0
2020,11140610010010,to_in_002,42.9
2020,11140610010002,to_in_002,43.2
2020,11140610010007,to_in_002,42.6
2020,11140610010004,to_in_002,45.6
2020,11140610010001,to_in_002,36.2
2020,11140610010011,to_in_002,42.0
2020,11140610010006,to_in_002,41.4
2020,11140610010009,to_in_002,41.2
2020,11140610010003,to_in_002,43.9
2020,11140770020704,to_in_002,37.7
2020,11140610010012,to_in_002,45.9
2020,11140610010005,to_in_002,39.3
2020,11140610010106,to_in_002,42.0
2020,11140610010109,to_in_002,0.0
2020,11140610010103,to_in_002,0.0
2020,11140610010105,to_in_002,0.0
2020,11140610010108,to_in_002,0.0
2020,11140610010102,to_in_002,30.3
2020,11140610010107,to_in_002,0.0
2020,11140610010202,to_in_002,32.9
2020,11140610010301,to_in_002,43.9
2020,11140610010401,to_in_002,44.7
2020,11140610010402,to_in_002,39.0
2020,11140610010403,to_in_002,41.3
2020,11140610010404,to_in_002,38.3
2020,11140630010501,to_in_002,45.9
2020,11140610020001,to_in_002,39.8
2020,11140610020201,to_in_002,37.7
2020,11140610020202,to_in_002,37.3
2020,11140630020102,to_in_002,38.4
2020,11140630010002,to_in_002,37.2
2020,11140630010007,to_in_002,40.8
2020,11140630010004,to_in_002,41.8
2020,11140630010401,to_in_002,38.9
2020,11140780020201,to_in_002,49.7
2020,11140630010001,to_in_002,41.5
2020,11140630010006,to_in_002,36.2
2020,11140630010003,to_in_002,39.2
2020,11140630010005,to_in_002,40.3
2020,11140630010102,to_in_002,40.2
2020,11140630010104,to_in_002,37.5
2020,11140630010105,to_in_002,37.5
2020,11140630010101,to_in_002,37.5
2020,11140630010201,to_in_002,40.6
2020,11140630010502,to_in_002,43.8
2020,11140630010601,to_in_002,42.6
2020,11140630010602,to_in_002,41.2
2020,11140630020008,to_in_002,44.8
2020,11140630020301,to_in_002,39.9
2020,11140630020002,to_in_002,42.9
2020,11140630020012,to_in_002,43.7
2020,11140630020801,to_in_002,42.9
2020,11140630020001,to_in_002,42.1
2020,11140630020011,to_in_002,41.1
2020,11140630020401,to_in_002,39.5
2020,11140630020009,to_in_002,43.4
2020,11140630020003,to_in_002,44.8
2020,11140630020502,to_in_002,42.3
2020,11140630020006,to_in_002,45.9
2020,11140630020005,to_in_002,44.4
2020,11140630020015,to_in_002,0.0
2020,11140630020010,to_in_002,43.5
2020,11140630020004,to_in_002,42.0
2020,11140630020013,to_in_002,43.1
2020,11140630020504,to_in_002,37.6
