year,area_code,indicator_code,value
2020,11140770030001,to_in_003,0.0
2020,11140740030301,to_in_003,63450.1
2020,11140740010403,to_in_003,44517.6
2020,11140780020216,to_in_003,116981.0
2020,11140770010102,to_in_003,72158.7
2020,11140630020701,to_in_003,75663.1
2020,11140770020703,to_in_003,73719.9
2020,11140740010402,to_in_003,59145.7
2020,11140740040401,to_in_003,32942.7
2020,11140690010401,to_in_003,79361.9
2020,11140740030503,to_in_003,54168.6
2020,11140730020307,to_in_003,53513.5
2020,11140780020217,to_in_003,83873.0
2020,11140780020209,to_in_003,72908.3
2020,11140770020701,to_in_003,71162.7
2020,11140780020406,to_in_003,0.0
2020,11140780020407,to_in_003,0.0
2020,11140590011202,to_in_003,97966.9
2020,11140590011203,to_in_003,99513.1
2020,11140740030401,to_in_003,38886.5
2020,11140740040504,to_in_003,40831.4
2020,11140600010203,to_in_003,43621.8
2020,11140590010003,to_in_003,51606.5
2020,11140590010006,to_in_003,25689.2
2020,11140590011208,to_in_003,96230.9
2020,11140590011209,to_in_003,70449.8
2020,11140600010202,to_in_003,65572.2
2020,11140590010009,to_in_003,16620.4
2020,11140590010001,to_in_003,5968.9
2020,11140590010011,to_in_003,17698.5
2020,11140590010007,to_in_003,1801.0
2020,11140590011201,to_in_003,94072.5
2020,11140590011204,to_in_003,115545.5
2020,11140600010501,to_in_003,209143.1
2020,11140590010002,to_in_003,7414.7
2020,11140590010005,to_in_003,19723.8
2020,11140590010008,to_in_003,26248.6
2020,11140590010004,to_in_003,8127.3
2020,11140590010010,to_in_003,33946.2
2020,11140590010103,to_in_003,70049.2
2020,11140690010901,to_in_003,66383.9
2020,11140590010101,to_in_003,38911.0
2020,11140590010201,to_in_003,39036.2
2020,11140590010302,to_in_003,48403.6
2020,11140590010403,to_in_003,78785.3
2020,11140590010402,to_in_003,51602.4
2020,11140590010401,to_in_003,87963.4
2020,11140590010501,to_in_003,52934.9
2020,11140590011003,to_in_003,77362.3
2020,11140590011002,to_in_003,57234.5
2020,11140590011001,to_in_003,46396.2
2020,11140740040503,to_in_003,36708.1
2020,11140590011205,to_in_003,78651.8
2020,11140590011206,to_in_003,243182.0
2020,11140590011207,to_in_003,132421.8
2020,11140590011210,to_in_003,131875.0
2020,11140590011301,to_in_003,72257.4
2020,11140590011402,to_in_003,89364.2
2020,11140590011401,to_in_003,12447.1
2020,11140590011801,to_in_003,50797.8
2020,11140590011802,to_in_003,42320.7
2020,11140590011902,to_in_003,101795.1
2020,11140590011901,to_in_003,95857.9
2020,11140600010004,to_in_003,60107.3
2020,11140600010201,to_in_003,57297.9
2020,11140610010203,to_in_003,0.0
2020,11140600010014,to_in_003,20317.3
2020,11140600010005,to_in_003,56901.2
2020,11140600010015,to_in_003,13898.7
2020,11140600010006,to_in_003,13237.7
2020,11140600010016,to_in_003,24624.9
2020,11140600010008,to_in_003,39024.6
2020,11140600010018,to_in_003,47950.6
2020,11140600010007,to_in_003,23315.3
2020,11140600010017,to_in_003,56682.2
2020,11140600010009,to_in_003,30563.7
2020,11140600010102,to_in_003,0.0
2020,11140610010204,to_in_003,0.0
2020,11140600010001,to_in_003,38299.6
2020,11140600010011,to_in_003,60391.0
2020,11140600010002,to_in_003,26961.6
2020,11140600010012,to_in_003,15201.7
2020,11140600010103,to_in_003,348.9
2020,11140600010104,to_in_003,0.0
2020,11140730020701,to_in_003,39362.4
2020,11140600010010,to_in_003,1006.5
2020,11140600010003,to_in_003,17824.3
2020,11140600010013,to_in_003,10205.8
2020,11140600010106,to_in_003,141660.2
2020,11140600010101,to_in_003,0.0
2020,11140600010105,to_in_003,0.0
2020,11140600020003,to_in_003,9964.7
2020,11140600020002,to_in_003,24442.2
2020,11140600020005,to_in_003,20059.0
2020,11140610010104,to_in_003,0.0
2020,11140610010205,to_in_003,0.0
2020,11140610010201,to_in_003,55490.9
2020,11140600020004,to_in_003,37793.7
2020,11140600020001,to_in_003,12779.3
2020,11140600020301,to_in_003,46129.0
2020,11140610010008,to_in_003,41279.7
2020,11140610010101,to_in_003,0.0
2020,11140610010010,to_in_003,29681.1
2020,11140610010002,to_in_003,23327.5
2020,11140610010007,to_in_003,38103.5
2020,11140610010004,to_in_003,11782.0
2020,11140610010001,to_in_003,217421.5
2020,11140610010011,to_in_003,32456.2
2020,11140610010006,to_in_003,3782.5
2020,11140610010009,to_in_003,2265.4
2020,11140610010003,to_in_003,18501.6
2020,11140770020704,to_in_003,98465.8
2020,11140610010012,to_in_003,35018.8
2020,11140610010005,to_in_003,46407.7
