year,area_code,indicator_code,value
2020,11140710010004,to_in_001,568
2020,11140770010013,to_in_001,449
2020,11140600020301,to_in_001,527
2020,11140730020025,to_in_001,1083
2020,11140770010012,to_in_001,424
2020,11140770011001,to_in_001,387
2020,11140690010006,to_in_001,580
2020,11140730040001,to_in_001,0
2020,11140600020003,to_in_001,532
2020,11140660020013,to_in_001,642
2020,11140610010402,to_in_001,443
2020,11140610010107,to_in_001,0
2020,11140700010002,to_in_001,623
2020,11140680010001,to_in_001,506
2020,11140740020001,to_in_001,306
2020,11140770010024,to_in_001,451
2020,11140750011006,to_in_001,481
2020,11140720010001,to_in_001,546
2020,11140660030012,to_in_001,538
2020,11140730020302,to_in_001,472
2020,11140720020024,to_in_001,520
2020,11140730020309,to_in_001,698
2020,11140750010703,to_in_001,644
2020,11140750010501,to_in_001,444
2020,11140590011207,to_in_001,573
2020,11140720020005,to_in_001,673
2020,11140730020002,to_in_001,441
2020,11140700010009,to_in_001,612
2020,11140590010103,to_in_001,641
2020,11140590010403,to_in_001,454
2020,11140770010017,to_in_001,0
2020,11140630010104,to_in_001,630
2020,11140700010020,to_in_001,560
2020,11140740010103,to_in_001,677
2020,11140770010801,to_in_001,518
2020,11140740030502,to_in_001,600
2020,11140750010012,to_in_001,455
2020,11140660020005,to_in_001,476
2020,11140600010501,to_in_001,641
2020,11140780020214,to_in_001,536
2020,11140680020006,to_in_001,571
2020,11140730020020,to_in_001,688
2020,11140730020301,to_in_001,656
2020,11140780020002,to_in_001,588
2020,11140600010014,to_in_001,387
2020,11140730020315,to_in_001,438
2020,11140610020202,to_in_001,440
2020,11140780020207,to_in_001,567
2020,11140760010301,to_in_001,677
2020,11140610010101,to_in_001,0
2020,11140630010201,to_in_001,515
2020,11140780020001,to_in_001,369
2020,11140660030011,to_in_001,436
2020,11140740020002,to_in_001,383
2020,11140710010002,to_in_001,642
2020,11140750011004,to_in_001,506
2020,11140780020211,to_in_001,655
2020,11140600020001,to_in_001,432
2020,11140780020204,to_in_001,591
2020,11140590011209,to_in_001,581
2020,11140770010016,to_in_001,544
2020,11140770020008,to_in_001,406
2020,11140720010009,to_in_001,544
2020,11140740010401,to_in_001,530
2020,11140740030101,to_in_001,548
2020,11140770020017,to_in_001,585
2020,11140730020404,to_in_001,412
2020,11140610010302,to_in_001,749
2020,11140770010020,to_in_001,458
2020,11140680010201,to_in_001,601
2020,11140610010103,to_in_001,0
2020,11140700012201,to_in_001,443
2020,11140770010015,to_in_001,388
2020,11140750010601,to_in_001,500
2020,11140680020001,to_in_001,523
2020,11140680010010,to_in_001,564
2020,11140710010001,to_in_001,565
2020,11140660020006,to_in_001,556
2020,11140630020801,to_in_001,633
2020,11140780020209,to_in_001,543
2020,11140740030001,to_in_001,391
2020,11140590011206,to_in_001,561
2020,11140770010014,to_in_001,1195
2020,11140760030001,to_in_001,312
2020,11140750011007,to_in_001,456
2020,11140590010005,to_in_001,463
2020,11140750010905,to_in_001,551
2020,11140740020201,to_in_001,369
2020,11140730020006,to_in_001,314
2020,11140770020013,to_in_001,473
2020,11140610010004,to_in_001,283
2020,11140730020016,to_in_001,374
2020,11140590011002,to_in_001,621
2020,11140660020007,to_in_001,488
2020,11140760030202,to_in_001,563
2020,11140660020011,to_in_001,525
2020,11140740030103,to_in_001,449
2020,11140780020216,to_in_001,488
2020,11140770010002,to_in_001,579
2020,11140680010016,to_in_001,483
2020,11140740010104,to_in_001,498
2020,11140690010004,to_in_001,537
2020,11140600010105,to_in_001,0
2020,11140630020401,to_in_001,556
2020,11140710010007,to_in_001,624
2020,11140770010022,to_in_001,452
2020,11140610010001,to_in_001,2705
2020,11140740020003,to_in_001,491
2020,11140590010009,to_in_001,403
2020,11140770020016,to_in_001,430
2020,11140660020008,to_in_001,613
2020,11140730020010,to_in_001,1845
2020,11140610010002,to_in_001,353
2020,11140770010006,to_in_001,417
2020,11140730020011,to_in_001,557
2020,11140770010103,to_in_001,656
2020,11140730020311,to_in_001,610
2020,11140770020006,to_in_001,317
2020,11140660030003,to_in_001,412
2020,11140690010024,to_in_001,438
2020,11140730020308,to_in_001,535
2020,11140690010007,to_in_001,618
2020,11140730020601,to_in_001,462
2020,11140680010017,to_in_001,546
2020,11140760030010,to_in_001,438
2020,11140590010010,to_in_001,378
