dong,hour,board,alight,net_inflow
공덕동,0,167.1,547.2,380.1
공덕동,1,0.2,9.5,9.3
공덕동,4,18.5,1.1,-17.4
공덕동,5,646.1,258.6,-387.5
공덕동,6,1392.2,1676.9,284.7
공덕동,7,4118.8,6258.7,2139.9
공덕동,8,5772.3,14178.8,8406.5
공덕동,9,3855.0,7273.6,3418.6
공덕동,10,3355.5,3682.1,326.7
공덕동,11,3515.8,3399.0,-116.8
공덕동,12,3652.0,3309.0,-343.0
공덕동,13,3956.9,3532.6,-424.3
공덕동,14,3961.8,3365.7,-596.1
공덕동,15,4500.3,3630.1,-870.1
공덕동,16,5392.9,4361.4,-1031.5
공덕동,17,8679.5,5941.0,-2738.5
공덕동,18,12110.7,8001.8,-4108.9
공덕동,19,5537.0,4745.5,-791.5
공덕동,20,4496.3,3187.2,-1309.1
공덕동,21,4263.9,2897.9,-1366.0
공덕동,22,3069.6,2501.5,-568.1
공덕동,23,1336.3,1514.9,178.7
대흥동,0,45.1,125.5,80.4
대흥동,4,1.0,0.0,-1.0
대흥동,5,167.1,72.0,-95.1
대흥동,6,401.2,384.1,-17.1
대흥동,7,1182.7,1422.1,239.5
대흥동,8,1623.0,2653.5,1030.5
대흥동,9,1095.3,1645.9,550.7
대흥동,10,823.7,1692.6,868.9
대흥동,11,847.3,1141.9,294.6
대흥동,12,957.4,1043.9,86.5
대흥동,13,1308.1,1402.7,94.5
대흥동,14,1177.7,1014.7,-162.9
대흥동,15,1272.9,1094.4,-178.5
대흥동,16,1712.7,1267.8,-444.9
대흥동,17,2051.6,1543.8,-507.8
대흥동,18,2205.1,2054.9,-150.1
대흥동,19,1170.2,1234.5,64.3
대흥동,20,985.7,786.9,-198.7
대흥동,21,1058.3,707.5,-350.8
대흥동,22,950.9,636.0,-314.9
대흥동,23,340.1,474.2,134.1
도화동,0,52.5,151.1,98.7
도화동,4,0.1,0.0,-0.1
도화동,5,189.4,83.5,-105.9
도화동,6,615.3,530.3,-85.0
도화동,7,2095.3,1597.9,-497.4
도화동,8,2885.6,5174.5,2288.9
도화동,9,1591.8,2432.5,840.7
도화동,10,1300.8,1290.2,-10.6
도화동,11,1255.0,1326.7,71.7
도화동,12,1320.9,1179.8,-141.1
도화동,13,1366.3,1215.9,-150.5
도화동,14,1355.3,1102.7,-252.6
도화동,15,1426.1,1265.8,-160.3
도화동,16,1607.2,1562.3,-44.9
도화동,17,2770.1,2349.4,-420.7
도화동,18,4059.8,3233.1,-826.7
도화동,19,1652.1,1903.1,251.0
도화동,20,1426.1,1230.2,-195.9
도화동,21,1453.1,1110.5,-342.6
도화동,22,1028.8,928.7,-100.1
도화동,23,415.5,512.5,97.0
망원1동,0,85.8,173.1,87.3
망원1동,4,1.6,0.2,-1.4
망원1동,5,408.5,65.3,-343.2
망원1동,6,746.1,394.7,-351.3
망원1동,7,1925.2,722.7,-1202.5
망원1동,8,2574.0,2335.7,-238.3
망원1동,9,1814.1,2233.9,419.8
망원1동,10,1404.3,2009.1,604.7
망원1동,11,1532.7,2396.2,863.5
망원1동,12,1920.6,2545.1,624.5
망원1동,13,2055.5,2836.6,781.1
망원1동,14,2095.7,2542.0,446.3
망원1동,15,2214.1,2870.9,656.8
망원1동,16,2433.7,2933.9,500.2
망원1동,17,2721.8,3147.8,426.0
망원1동,18,3223.1,3645.4,422.3
망원1동,19,2406.9,2613.9,207.0
망원1동,20,2072.9,1434.3,-638.6
망원1동,21,1768.6,1220.4,-548.2
