year,q_num,vacancy_rate
2019,1,6.7
2019,2,6.7
2019,3,6.7
2019,4,6.7
2020,1,5.2
2020,2,5.2
2020,3,5.2
2020,4,5.2
2021,1,5.5
2021,2,6.8
2021,3,6.8
2021,4,6.8
2022,1,6.7
2022,2,6.7
2022,3,6.7
2022,4,6.7
2023,1,6.7
2023,2,6.7
2023,3,6.7
2023,4,6.7
2024,1,8.3
2024,2,10.0
2024,3,7.4
2024,4,8.7
2025,1,9.4
2025,2,9.8
2025,3,10.8
2025,4,6.4
2020,1,3.5
2020,2,3.5
2020,3,4.7
2020,4,5.7
2021,1,12.9
2021,2,12.9
2021,3,12.9
2021,4,11.9
2022,1,13.0
2022,2,14.2
2022,3,11.7
2022,4,11.7
2023,1,12.4
2023,2,9.8
2023,3,5.9
2023,4,4.7
2024,1,4.7
2024,2,4.7
2024,3,4.7
2024,4,4.7
2025,1,5.9
2025,2,7.3
2025,3,7.3
2025,4,7.3
2021,1,4.3
2021,2,2.2
2021,3,2.2
2021,4,2.9
2022,1,0.9
2022,2,0.9
2022,3,0.9
2022,4,0.9
2023,1,2.0
2023,2,5.9
2023,3,5.9
2023,4,5.2
2024,1,5.2
2024,2,3.4
2024,3,2.6
2024,4,2.6
2025,1,3.4
2025,2,2.9
2025,3,3.3
2025,4,4.0
2020,1,1.6
2020,2,1.6
2020,3,1.6
2020,4,1.8
2021,1,3.0
2021,2,2.3
2021,3,1.0
2021,4,1.0
2022,1,1.7
2022,2,2.6
2022,3,1.7
2022,4,1.7
2023,1,1.7
2023,2,2.1
2023,3,3.6
2023,4,2.1
2024,1,3.9
2024,2,3.0
2024,3,4.7
2024,4,5.6
2025,1,4.7
2025,2,5.1
2025,3,5.1
2025,4,1.3
2019,1,7.5
2019,2,7.4
2019,3,7.5
2019,4,8.0
2020,1,7.9
2020,2,7.9
2020,3,8.5
2020,4,8.8
2021,1,8.9
2021,2,9.5
2021,3,9.7
2021,4,10.0
2022,1,9.5
2022,2,9.5
2022,3,9.1
2022,4,9.1
2023,1,8.6
2023,2,8.4
2023,3,8.8
2023,4,8.4
2024,1,8.4
2024,2,8.5
2024,3,8.7
2024,4,8.9
2025,1,8.9
2025,2,8.7
2025,3,8.9
2025,4,9.1
2019,1,7.6
2019,2,7.6
2019,3,9.4
2019,4,11.6
2020,1,10.3
2020,2,10.5
2020,3,12.0
2020,4,10.7
2021,1,13.3
2021,2,13.2
2021,3,14.6
2021,4,14.6
2022,1,13.8
2022,2,15.0
2022,3,10.3
2022,4,9.1
2023,1,6.9
2023,2,6.9
2023,3,6.9
2023,4,7.4
2024,1,8.1
2024,2,9.1
2024,3,11.5
2024,4,12.9
2025,1,13.8
2025,2,11.3
2025,3,11.9
2025,4,13.3
2019,1,8.0
2019,2,9.4
2019,3,9.8
2019,4,9.5
2020,1,15.2
2020,2,12.5
2020,3,14.1
2020,4,11.8
2021,1,13.3
2021,2,15.7
2021,3,15.1
2021,4,15.3
2022,1,12.8
2022,2,13.5
2022,3,13.1
2022,4,13.2
2023,1,13.5
2023,2,14.5
2023,3,13.6
2023,4,13.0
2024,1,13.2
2024,2,13.3
2024,3,13.1
2024,4,13.1
2025,1,13.1
2025,2,14.0
2025,3,13.4
2025,4,12.7
2019,1,6.8
2019,2,8.1
2019,3,8.2
2019,4,8.7
2020,1,8.9
2020,2,8.5
2020,3,9.4
2020,4,8.6
2021,1,10.5
2021,2,11.2
2021,3,11.8
2021,4,11.7
2022,1,10.2
2022,2,10.6
2022,3,9.1
2022,4,9.0
2023,1,7.9
2023,2,7.9
2023,3,8.2
2023,4,7.9
2024,1,8.6
2024,2,8.9
2024,3,8.7
2024,4,9.2
2025,1,9.8
2025,2,9.4
2025,3,9.3
2025,4,8.7
2019,1,4.6
2019,2,7.6
2019,3,5.6
2019,4,5.4
2020,1,7.7
2020,2,8.5
2020,3,8.8
2020,4,8.6
2021,1,13.1
2021,2,15.0
2021,3,17.7
2021,4,16.9
2022,1,13.3
2022,2,12.4
2022,3,11.9
2022,4,12.2
2023,1,7.7
2023,2,5.7
2023,3,9.6
2023,4,9.8
2024,1,11.1
2024,2,12.2
2024,3,9.5
2024,4,9.3
2025,1,10.6
2025,2,9.4
2025,3,8.3
2025,4,8.2
