law,query,expected_articles,returned_article,match,snippet,f1,human_verdict,action
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제14조의2,,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.333,X,무관
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제13조,,[제13조] 그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으 로 정하는 사항,0.333,X,무관
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.333,O,
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제7조,,[제7조] ② 가맹본부는 제1항에 따라 정보공개서를 제공할 경우에는 가맹희망자의 장래 점포 예정지에서 가장 인접한 가맹 점 10개(정보공개서 제공시점에 가맹희망자의 장래 점포 예정지가 속한 광역지방자치단체에서 영업,0.333,O,정답에 추가
가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4,제3조,,"[제3조] ② 법 제2조제6호라목에서 “대통령령으로 정하는 것”이란 다음 각 호의 어느 하나에 해당하는 대가를 말한다.<신설 2008. 1. 31.> 1. 가맹점사업자가 상표 사용료, 리스료, 광고 분담금, 지도훈련",0.333,X,무관
가맹사업법,가맹본부가 내 매장 근처에 같은 브랜드 매장을 열었어요,제12조의4,제14조,,"제14조 및 제37조의2를 준용한다. 이 경우 “가맹점사업자”는 “가맹지역본부”로, “가맹계약 ”은 “가맹대행계약”으로 본다. [본조신설 2025. 12. 30.] [시행일: 2026. 12. 31.]",0.0,X,미시행 - 자동 제외
가맹사업법,가맹본부가 내 매장 근처에 같은 브랜드 매장을 열었어요,제12조의4,제13조,,[제13조] 그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으 로 정하는 사항,0.0,X,무관
가맹사업법,가맹본부가 내 매장 근처에 같은 브랜드 매장을 열었어요,제12조의4,제9조,,[제9조] ⑥ 가맹본부는 예상매출액 산정서를 가맹계약 체결일부터 5년간 보관하여야 한다.<신설 2013. 8. 13.>,0.0,X,무관
가맹사업법,가맹본부가 내 매장 근처에 같은 브랜드 매장을 열었어요,제12조의4,제6조,,[제6조] 가맹희망자의 서명 또는 기명날인 라. 가맹본부의 서명 또는 기명날인 2. 가맹희망자에게 정보공개서의 제공시점을 확인할 수 있는 내용증명우편으로 제공하는 방법 3. 정보통신망을 이용하여 정보공개서의 내용을,0.0,X,무관
가맹사업법,가맹본부가 내 매장 근처에 같은 브랜드 매장을 열었어요,제12조의4,제15조,,위법사실을 처분사유로 하는 영업정지 명령 5. 삭제<2020. 4. 28.> 6. 가맹점사업자가 가맹점 운영과 관련되는 법령을 위반하여 자격ㆍ면허ㆍ허가 취소 또는 영업정지 명령(15일 이내 의 영업정지 명령을 받은,0.0,X,무관
가맹사업법,가맹본부가 내 매장 근처에 같은 브랜드 매장을 열었어요,제12조의4,,MISS,[미반환] 기대 조문: 제12조의4,0.0,,정답 유지
가맹사업법,영업지역 침해 거리제한 가맹사업법,제12조의4,제6조,,경우 사업장의 위치변경 또는 가맹점운영권의 양도 금지 10. 가맹계약기간중 가맹본부와 동일한 업종을 영위하는 행위의 금지 11. 가맹본부의 영업기술이나 영업비밀의 누설 금지 12. 영업표지에 대한 제3자의 침해사실을,0.333,X,무관
가맹사업법,영업지역 침해 거리제한 가맹사업법,제12조의4,제15조,,"<개정 2008. 1. 31., 2010. 10. 13., 2015. 3. 30., 2020. 4. 28., 2021. 1. 5.> 1. 가맹점사업자에게 파산 신청이 있거나 강제집행절차 또는 회생절차가 개시된 경우",0.333,X,무관
가맹사업법,영업지역 침해 거리제한 가맹사업법,제12조의4,제14조의2,,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.333,X,무관
가맹사업법,영업지역 침해 거리제한 가맹사업법,제12조의4,제12조의4,정답,제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로,0.333,O,
가맹사업법,영업지역 침해 거리제한 가맹사업법,제12조의4,제5조의6,,[제5조의6] ① 공정거래위원회 또는 시ㆍ도지사는 법 제6조의4제1항제1호 또는 제2호에 해 당하는 사유로 정보공개서의 등록을 취소한 경우에는 취소한 날 부터 7일 이내에 해당 가맹본부에 서면으로 그 사실 과 취소,0.333,X,무관
