law,query,source_filter,expected_articles
상가임대차보호법,10년 계약갱신 기간 상가건물,LEASE_LAW_STRICT_SOURCES,제10조 / 제10조의2 / 제10조의9 / 제20조
건축법,1종 2종 근린생활시설 차이,BUILDING_LAW_SOURCES,제19조 / 제2조 / 제78조
근로기준법,4대보험 가입 의무 사업주,LABOR_LAW_SOURCES,제111조 / 제17조 / 제34조
근로기준법,5인 미만 사업장 적용 범위,LABOR_LAW_SOURCES,제11조 / 제3조 / 제60조
개인정보보호법,CCTV 안내판 부착 의무,PRIVACY_LAW_SOURCES,제25조 / 제25조의2
개인정보보호법,CCTV 영상 보관 기간,PRIVACY_LAW_SOURCES,제25조 / 제25조의2 / 제32조의2 / 제75조
개인정보보호법,CCTV 영상정보처리기기 설치 운영 개인정보보호법,PRIVACY_LAW_SOURCES,제25조 / 제25조의2
가맹사업법,가맹 상담 시 매출 과장 법적 책임,FRANCHISE_LAW_SOURCES,제11조 / 제34조 / 제8조 / 제9조
가맹사업법,가맹거래사 자격 역할 가맹사업법,FRANCHISE_LAW_SOURCES,제27조 / 제29조 / 제2조 / 제31조
가맹사업법,가맹계약 갱신 거절 사유,FRANCHISE_LAW_SOURCES,제13조 / 제14조 / 제14조의2
가맹사업법,가맹계약 해지 사유 가맹사업법,FRANCHISE_LAW_SOURCES,제10조 / 제13조 / 제14조 / 제15조
가맹사업법,가맹계약서 필수 기재 사항,FRANCHISE_LAW_SOURCES,제11조 / 제11조의2 / 제2조
가맹사업법,가맹금 반환 예치 가맹계약 해제 가맹사업법,FRANCHISE_LAW_SOURCES,제10조 / 제15조의2 / 제3조 / 제43조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 반환 청구 기간,FRANCHISE_LAW_SOURCES,제10조 / 제15조의2 / 제5조의10
가맹사업법,가맹금 예치 의무 가맹사업법,FRANCHISE_LAW_SOURCES,제15조의2 / 제3조 / 제5조의10 / 제6조의5
가맹사업법,가맹금 정의 종류 가맹사업법,FRANCHISE_LAW_SOURCES,제12조의5 / 제15조의2 / 제2조 / 제5조의10
가맹사업법,가맹본부 공산품 독점 공급 강제,FRANCHISE_LAW_SOURCES,제12조 / 제12조의7 / 제33조 / 제35조
가맹사업법,가맹본부 물품 구입 강제 가맹사업법,FRANCHISE_LAW_SOURCES,제12조 / 제12조의7 / 제33조 / 제35조
가맹사업법,가맹본부 부당한 거래조건 강제,FRANCHISE_LAW_SOURCES,제12조 / 제12조의7 / 제13조 / 제14조의2 / 제33조 / 제35조
가맹사업법,가맹본부 불공정거래 유형 가맹사업법,FRANCHISE_LAW_SOURCES,제12조 / 제13조
가맹사업법,가맹본부 세제 설탕 종이컵 본부 구매 강제,FRANCHISE_LAW_SOURCES,제12조 / 제13조 / 제15조의6
가맹사업법,가맹본부 수익 보장 과장 정보 가맹사업법,FRANCHISE_LAW_SOURCES,제10조 / 제11조 / 제5조의2 / 제8조 / 제9조
가맹사업법,가맹본부 식자재 독점 공급 문제,FRANCHISE_LAW_SOURCES,제12조 / 제12조의7 / 제13조 / 제32조 / 제33조 / 제35조
가맹사업법,가맹본부 영업지역 변경 협의 가맹사업법,FRANCHISE_LAW_SOURCES,제12조의4 / 제12조의5 / 제5조의3
가맹사업법,가맹본부 영업지역 침해 손해배상,FRANCHISE_LAW_SOURCES,제12조의4 / 제37조의2 / 제41조
가맹사업법,가맹본부 의무 사항 총칙,FRANCHISE_LAW_SOURCES,제11조 / 제12조 / 제13조 / 제2조 / 제37조의2 / 제43조 / 제5조 / 제9조
공정거래법,가맹본부 필수물품 공급 부당한 거래 공정거래법,FAIR_TRADE_SOURCES,제45조 / 제47조 / 제55조
가맹사업법,가맹본부가 내 매장 근처에 같은 브랜드 매장을 열었어요,FRANCHISE_LAW_SOURCES,제12조의4 / 제6조
가맹사업법,가맹사업 분쟁조정 절차,FRANCHISE_LAW_SOURCES,제14조의2 / 제16조 / 제21조의2 / 제23조 / 제23조의2 / 제27조 / 제37조의2
가맹사업법,가맹사업 정의 가맹본부 가맹점 관계,FRANCHISE_LAW_SOURCES,제11조 / 제2조
가맹사업법,가맹사업법 위반 과태료 벌칙,FRANCHISE_LAW_SOURCES,제12조의5 / 제2조 / 제34조 / 제37조 / 제37조의2 / 제41조 / 제43조
가맹사업법,가맹사업법 위반 시정명령,FRANCHISE_LAW_SOURCES,제11조 / 제12조의5 / 제15조 / 제32조의4 / 제33조 / 제34조
가맹사업법,가맹점 반경 500m 동일 브랜드 출점,FRANCHISE_LAW_SOURCES,제12조의4 / 제37조의2
가맹사업법,가맹점사업자 단체 구성 권리,FRANCHISE_LAW_SOURCES,제14조의2 / 제14조의3 / 제2조
부가가치세법,간이과세자 공급대가 개인사업자 과세표준 부가가치세법,VAT_LAW_SOURCES,제15조 / 제60조 / 제61조 / 제63조 / 제66조 / 제70조
부가가치세법,간이과세자 기준 연매출,VAT_LAW_SOURCES,제5조 / 제60조 / 제61조 / 제63조 / 제66조
부가가치세법,간이과세자 납부 면제 기준,VAT_LAW_SOURCES,제45조 / 제60조 / 제69조
개인정보보호법,개인정보 수집 이용 동의 목적 개인정보보호법,PRIVACY_LAW_SOURCES,제15조 / 제16조 / 제17조 / 제22조 / 제28조의8 / 제37조
개인정보보호법,개인정보 유출 통지 신고 의무,PRIVACY_LAW_SOURCES,제20조의2 / 제34조 / 제64조의2
개인정보보호법,개인정보 제3자 제공 동의,PRIVACY_LAW_SOURCES,제17조 / 제18조 / 제19조 / 제22조의2 / 제37조
개인정보보호법,개인정보 처리방침 수립 공개 의무 개인정보보호법,PRIVACY_LAW_SOURCES,제28조의2 / 제30조 / 제30조의2 / 제31조
개인정보보호법,개인정보 처리방침 필수 기재 항목,PRIVACY_LAW_SOURCES,제21조 / 제22조 / 제30조 / 제30조의2
개인정보보호법,개인정보 파기 의무,PRIVACY_LAW_SOURCES,제21조 / 제30조 / 제35조 / 제35조의2 / 제37조
개인정보보호법,개인정보보호 책임자 지정 의무,PRIVACY_LAW_SOURCES,제29조 / 제31조
개인정보보호법,개인정보보호법 위반 과태료 벌칙,PRIVACY_LAW_SOURCES,제25조의2 / 제29조 / 제71조 / 제75조 / 제76조
하수도법,개인하수처리시설 관리 의무,SEWAGE_LAW_SOURCES,제37조 / 제39조 / 제40조 / 제53조 / 제55조
공정거래법,거래거절 차별취급 불공정거래,FAIR_TRADE_SOURCES,제45조 / 제47조
건축법,건축물 구조 안전 기준,BUILDING_LAW_SOURCES,제11조 / 제48조 / 제48조의2 / 제48조의3 / 제50조 / 제50조의2
건축법,건축물 대장 확인 방법,BUILDING_LAW_SOURCES,제14조 / 제38조
건축법,건축물 사용승인 절차,BUILDING_LAW_SOURCES,제10조 / 제11조 / 제14조 / 제22조 / 제48조의3
건축법,건축물 용도변경 근린생활시설 건축법,BUILDING_LAW_SOURCES,제19조 / 제19조의2 / 제2조
건축법,건축허가 건축신고 절차 건축법,BUILDING_LAW_SOURCES,제10조 / 제11조 / 제14조 / 제18조 / 제19조의2
상가임대차보호법,계약갱신 거절 사유,LEASE_LAW_STRICT_SOURCES,제10조 / 제10조의2
상가임대차보호법,계약갱신요구권 갱신거절 임대차기간 10년 상가건물 임대차보호법,LEASE_LAW_STRICT_SOURCES,제10조 / 제10조의2 / 제10조의9 / 제9조
개인정보보호법,고객 개인정보 수집 동의 절차,PRIVACY_LAW_SOURCES,제15조 / 제16조 / 제22조 / 제22조의2 / 제37조 / 제4조
개인정보보호법,고객 개인정보 열람 정정 삭제 요구,PRIVACY_LAW_SOURCES,제35조 / 제35조의2 / 제36조 / 제37조 / 제38조
하수도법,공공하수도 배수구역 배수설비 유입 설치 하수도법,SEWAGE_LAW_SOURCES,제11조 / 제19조 / 제27조 / 제28조 / 제2조 / 제39조 / 제51조
공정거래법,공정거래법 위반 과징금 벌칙,FAIR_TRADE_SOURCES,제103조 / 제104조 / 제105조 / 제38조 / 제50조 / 제55조
가맹사업법,공정거래위원회 가맹사업 조사 권한,FRANCHISE_LAW_SOURCES,제14조의2 / 제32조 / 제32조의2 / 제32조의3
공정거래법,공정거래위원회 신고 절차,FAIR_TRADE_SOURCES,제101조 / 제120조의3 / 제2조 / 제49조 / 제80조
상가임대차보호법,권리금 반환 청구 기간,LEASE_LAW_STRICT_SOURCES,제10조의3 / 제10조의4 / 제10조의6
상가임대차보호법,권리금 손해배상 청구,LEASE_LAW_STRICT_SOURCES,제10조의3 / 제10조의4 / 제10조의6
상가임대차보호법,권리금 정의 유형 상가임대차보호법,LEASE_LAW_STRICT_SOURCES,제10조의3 / 제10조의4 / 제10조의6 / 제6조
상가임대차보호법,권리금 회수 거부 사유,LEASE_LAW_STRICT_SOURCES,제10조의4
상가임대차보호법,권리금 회수 기회 보호 상가임대차보호법,LEASE_LAW_STRICT_SOURCES,제10조의3 / 제10조의4 / 제10조의5 / 제10조의6 / 제10조의7
하수도법,그리스트랩 유류분리기 설치 의무,SEWAGE_LAW_SOURCES,제30조 / 제34조 / 제51조의2
근로기준법,근로계약서 미작성 벌금,LABOR_LAW_SOURCES,제114조 / 제17조
근로기준법,근로계약서 서면 명시 의무 근로기준법,LABOR_LAW_SOURCES,제17조 / 제2조
근로기준법,근로계약서 작성 교부 의무,LABOR_LAW_SOURCES,제17조 / 제67조
근로기준법,근로시간 휴게 휴일 연장근로 근로기준법,LABOR_LAW_SOURCES,제50조 / 제51조 / 제51조의2 / 제54조 / 제55조 / 제57조 / 제60조
건축법,근린생활시설 종류 건축법,BUILDING_LAW_SOURCES,제19조 / 제2조 / 제78조
공정거래법,끼워팔기 사후관리 불공정거래,FAIR_TRADE_SOURCES,제16조 / 제45조 / 제73조
장애인편의법,대상시설 편의시설 설치 공공건물 공중이용시설 장애인편의법,ACCESSIBILITY_LAW_SOURCES,제12조 / 제16조 / 제17조 / 제3조 / 제7조 / 제8조
개인정보보호법,동의 없이 수집 가능한 경우,PRIVACY_LAW_SOURCES,제15조 / 제16조 / 제22조 / 제22조의2 / 제35조의2
가맹사업법,동일 브랜드 직영점 입점 제한 가맹사업법,FRANCHISE_LAW_SOURCES,제12조의4
개인정보보호법,마케팅 목적 개인정보 활용 동의,PRIVACY_LAW_SOURCES,제15조 / 제16조 / 제22조 / 제27조 / 제5조
부가가치세법,매입세액 공제 요건,VAT_LAW_SOURCES,제38조 / 제39조 / 제40조 / 제43조 / 제44조
개인정보보호법,매장 CCTV 설치 시 필요한 절차,PRIVACY_LAW_SOURCES,제25조 / 제25조의2 / 제35조의3 / 제37조의2 / 제38조
가맹사업법,매출 보장 허위 광고 가맹사업법,FRANCHISE_LAW_SOURCES,제41조 / 제43조 / 제8조 / 제9조
상가임대차보호법,묵시적 갱신 상가 임대차,LEASE_LAW_STRICT_SOURCES,제10조 / 제10조의2
