query_id,law,user_query,current_gt,current_f1,candidate_rank,candidate_article,candidate_title,candidate_text,relevance_score,is_current_gt,is_legal_match,legal_reason
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,1,제14조의2,제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),제14조의2(가맹점사업자단체의 거래조건 변경 협의 등),0.763,,0,질문과 관련 없음
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,2,제13조,제13조,[제13조] 그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으 로 정하는 사항,0.762,,0,RECHECK->0 (규칙 미해당)
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,3,제14조,제14조,"제14조 및 제37조의2를 준용한다. 이 경우 “가맹점사업자”는 “가맹지역본부”로, “가맹계약 ”은 “가맹대행계약”으로 본다. [본조신설 2025. 12. 30.] [시행일: 2026. 12. 31.]",0.743,,1,영업지역 보장 관련 준용 조문
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,4,제12조의4,제12조의4(부당한 영업지역 침해금지),제12조의4(부당한 영업지역 침해금지) ① 가맹본부는 가맹계약 체결 시 가맹점사업자의 영업지역을 설정하여 가맹계 약서에 이를 기재하여야 한다. ② 가맹본부가 가맹계약 갱신과정에서 상권의 급격한 변화 등 대통령령으로 정하는 사유가 발생하여 기존 영업지 역을 변경하기 위해서는 가맹점사업자와 합의하여야 한다.<개정 2018. 1. 16.> ③ 가맹본부는 정당한,0.400,1,,
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,5,제7조,제7조,"[제7조] ② 가맹본부는 제1항에 따라 정보공개서를 제공할 경우에는 가맹희망자의 장래 점포 예정지에서 가장 인접한 가맹 점 10개(정보공개서 제공시점에 가맹희망자의 장래 점포 예정지가 속한 광역지방자치단체에서 영업 중인 가맹점의 수가 10개 미만인 경우에는 해당 광역지방자치단체 내의 가맹점 전체)의 상호, 소재지 및 전화번호가 적힌 문서(이 하 “인근가맹점",0.400,1,,
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,6,제3조,제3조,"[제3조] ② 법 제2조제6호라목에서 “대통령령으로 정하는 것”이란 다음 각 호의 어느 하나에 해당하는 대가를 말한다.<신설 2008. 1. 31.> 1. 가맹점사업자가 상표 사용료, 리스료, 광고 분담금, 지도훈련비, 간판류 임차료ㆍ영업지역 보장금 등의 명목으로 정액 또는 매출액ㆍ영업이익 등의 일정 비율로 가맹본부에 정기적으로 또는 비정기적으로 지급하는",0.400,,0,영업지역 보장 관련 없음
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,7,제15조의4,제15조의4(가맹본부와 가맹점사업자 간 협약체결의 권장 등),제15조의4(가맹본부와 가맹점사업자 간 협약체결의 권장 등) ① 공정거래위원회는 가맹본부와 가맹점사업자가 가맹사 업 관계 법령의 준수 및 상호 지원ㆍ협력을 약속하는 자발적인 협약을 체결하도록 권장할 수 있다. ② 공정거래위원회는 가맹본부와 가맹점사업자가 제1항에 따른 협약을 체결하는 경우 그 이행을 독려하기 위하여 포상 등 지원시책을 마련하여 시행하여야 한,0.400,,0,주제와 관련 없음
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,8,제13조의4,제13조의4(영업지역 변경사유),"제13조의4(영업지역 변경사유) 법 제12조의4제2항에서 “상권의 급격한 변화 등 대통령령으로 정하는 사유가 발생하는 경우”란 다음 각 호의 어느 하나에 해당하는 경우를 말한다. 1. 재건축, 재개발 또는 신도시 건설 등으로 인하여 상권의 급격한 변화가 발생하는 경우 2. 해당 상권의 거주인구 또는 유동인구가 현저히 변동되는 경우 3. 소비자의 기호변화 등",0.400,,0,영업지역 변경사유 규정
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,9,제36조,제36조(업무의 위탁),"제36조(업무의 위탁) ① 공정거래위원회는 법 제39조제2항제1호에 따라 정보공개서의 등록, 등록 거부 및 공개 등에 관 한 업무를 조정원이나 가맹사업 분야의 전문성을 갖춘 법인ㆍ단체 중 해당 업무를 수행할 수 있다고 공정거래위원 회가 인정하여 고시하는 기관에 위탁할 수 있다. <개정 2012. 5. 7., 2018. 12. 18.> ② 공정거래위원회는 법",0.400,,0,질문과 관련 없는 조문
1,가맹사업법,영업지역 보장 동일 브랜드 출점 제한 가맹사업법,제12조의4 / 제7조,0.286,10,제13조의5,제13조의5,[제13조의5] ③ 가맹본부 및 가맹점사업자가 법 제12조의6제1항 본문에 따른 광고ㆍ판촉행사의 약정을 체결하려는 경우에는 가 맹계약과 별도로 체결해야 한다.,0.400,,0,질문과 관련 없음
