직업사전_세세분류_코드,,,,,,,,,,
,,,,,,,,,,
대분류코드,중분류코드,소분류코드,직업코드,일련번호,대분류명,중분류명,소분류명,직업명,관련직업,유사직업명칭
1, , , , ,관 리 자, , , , , 
 ,11, , , , ,공공 기관 및 기업 고위직, , , , 
 , ,111, , , , ,의회 의원·고위 공무원 및 공공단체 임원, , , 
 , , ,1110,1, , , ,교육감, , 
 , , ,1110,3, , , ,국무총리, , 
 , , ,1110,4, , , ,국회의원, ,지방의회의원
 , , ,1110,5, , , ,군수, ,"도지사, 시장, 구청장"
 , , ,1110,6, , , ,노동조합고위임원, , 
 , , ,1110,7, , , ,노동조합임원, , 
 , , ,1110,8, , , ,대법원장, ,헌법재판소장
 , , ,1110,9, , , ,대통령, , 
 , , ,1110,10, , , ,도지사, , 
 , , ,1110,11, , , ,비영리단체임원, , 
 , , ,1110,12, , , ,비영리단체총괄관리자,"비영리단체원장, 비영리단체총재, 비영리단체위원장, 비영리단체회장", 
 , , ,1110,13, , , ,시장, ,구청장
 , , ,1110,14, , , ,장관, ,"기획재정부장관, 교육부장관, 과학기술정보통신부장관, 외교부장관, 통일부장관, 법무부장관, 국방부장관, 행정안전부장관, 문화체육관광부장관, 농림축산식품부장관, 산업통상자원부장관, 보건복지부장관, 환경부장관, 고용노동부장관, 여성가족부장관, 국토교통부장관, 해양수산부장관, 중소벤처기업부장관 등 각 행정부처 장관, 대통령비서실장, 국가안보실장, 감사원장, 국가정보원장, 법제처장, 국가보훈처장, 식품의약품안전처장, 국무조정실장, 방송통신위원회위원장, 국가인권위원회위원장, 공정거래위원회위원장, 금융위원회위원장, 국민권익위원회위원장 등 장관급 인사"
 , , ,1110,15, , , ,정당고위임원, ,중앙당 각 위원회의 위원급 이상인 경우 정무직당직자
 , , ,1110,16, , , ,차관, ,"기획재정부차관, 교육부차관, 과학기술정보통신부차관, 외교부차관, 통일부차관, 법무부차관, 국방부차관, 행정안전부차관, 문화체육관광부차관, 농림축산식품부차관, 산업통상자원부차관, 보건복지부차관, 환경부차관, 고용노동부차관, 여성가족부차관, 국토교통부차관, 해양수산부차관, 중소벤처기업부차관 등 각 행정부처 차관, 경호처장, 국가정보원차장, 국가정보원기획조정실장, 감사원사무총장, 감사원감사위원, 방송통신위원회부위원장, 방송통신위원회상임위원, 원자력안전위원회부위원장, 국회사무처사무차장, 국회사무처입법처장, 국회예산정책처장, 국회입법조사처장, 법제처장, 국가보훈차장, 공정거래위원회 부위원장, 국민권익위원회 부위원장, 인사혁신처장, 식품안정처장, 각 청장 (병무청장, 방위사업청장, 경찰청장, 소방청장, 문화재청장, 농촌진흥청장, 산림청장, 특허청장, 기상청장, 질병관리청장), 국무조정실차장, 국무총리비서실장, 정무수석비서관, 국민소통수석비서관, 민정수석비서관, 시민사회수석비서관, 인사수석비서관, 일자리수석비서관, 경제수석비서관, 사회수석비서관, 경제보좌관, 과학기술보좌관, 고위공직자수사처장 등 차관급 인사"
 , , ,1110,17, , , ,협회임원, ,"대표하는 단체의 성격에 따라 단체장, 조합장, 협회장"
 , , ,1110,18, , , ,고위직공무원(일반), , 
 , , ,1110,19, , , ,공공기관임원,"공공기관장, 공공기관고위임원, 공공기관원장, 공공기관부원장, 공공기관 운영이사, 공공기관 관리이사 등","건강보험심사평가원장, 경제인문사회연구회이사장, 공공기관고위임원, 공무원연금공단이사장, 과학기술정책연구원장, 교통안전공단이사장, 국민건강보험공단이사장, 국민연금공단이사장, 국토연구원장, 근로복지공단이사장 등"
 , , ,1110,20, , , ,정부행정관리자(일반),정부행정기획자,"정부기관 부서장, 정부 지방관서 기관장"
 , ,112, , , , ,기업 고위 임원, , , 
 , , ,1120,2, , , ,영리단체총괄경영자,"사장, 대표이사, CEO(Chief Executive Officer), 최고경영자","CPO (개인정보보호책임자(Chief Privacy Officer)), CIO (최고정보관리책임자(Chief Information Officer)), CMO (최고마케팅책임자(Chief Marketing Officer)), CTO (최고기술책임자(Chief Technology Officer)), CFO (최고재무책임자(Chief Financial Officer)), COO (최고운영책임자(Cheif Operating Officer)), CKO (최고지식경영자(Chief Knowledge Officer)), CAO (최고행정관리자(Chief Administration Officer)) "
 , , ,1120,3, , , ,정보보호최고책임자,CISO(Chief Information Security Officer),"개인정보보호책임자, 정보호책임관(CIO), 최고보안책임자(CSO)"
 , , ,1120,4, , , ,최고기술책임자,"CTO(Chief Technology Officer), 테크니컬리더", 
 , , ,1120,5, , , ,최고마케팅책임자,"CMO(Chief Marketing Officer), 마케팅리더, 마케팅총괄", 
 , , ,1120,6, , , ,최고운영책임자,COO(Chief Operating Officer), 
 , , ,1120,7, , , ,최고재무책임자,"CFO(Chief Financial Officer), 재무담당관리자, 재무총괄", 
 ,12, , , , ,행정·경영 지원 및 마케팅 관리직, , , , 
 , ,121, , , , ,행정 및 경영 지원 관리자, , , 
 , , ,1212,1, , , ,감사관리자,"컴플라이언스관리자, 감사역",회계감사역
 , , ,1212,2, , , ,고객상담업무관리자,콜센터관리자, 
 , , ,1212,7, , , ,도로영업관리자, , 
 , , ,1212,8, , , ,도로영업종합관리자, , 
 , , ,1212,9, , , ,병원중앙공급실관리자,의료비품관리자, 
 , , ,1212,10, , , ,신문판매국장,신문판매본부장, 
 , , ,1212,11, , , ,회계감사관리자,회계감사역,"회계감사원관리자, 원가회계사관리자, 세무관리자"
 , , ,1212,12, , , ,기획관리자, , 
 , , ,1212,13, , , ,자재구매관리자, , 
 , , ,1212,14, , , ,재무관리자, , 
 , , ,1212,15, , , ,총무인사관리자, ,"총무관리자, 인사관리자"
 , , ,1212,16, , , ,준법감시인,"준법감시관리자, 컴플라이언스관리자", 
 , ,122, , , , ,마케팅 및 광고·홍보 관리자, , , 
 , , ,1220,1, , , ,광고기획총괄관리자,CD(Creative Director), 
 , , ,1220,2, , , ,광고홍보관리자, , 
 , , ,1220,3, , , ,컨택센터운영관리자,콜센터운영관리자,고객상담업무관리자
 ,13, , , , ,전문 서비스 관리직, , , , 
 , ,131, , , , ,연구·교육 및 법률 관련 관리자, , , 
 , , ,1312,1, , , ,교감, ,"초등학교교감, 중학교교감, 고등학교교감, 특수학교교감"
 , , ,1313,1, , , ,검찰총장, , 
 , , ,1311,2, , , ,연구개발관리자(일반),"연구개발본부장, 연구개발부서관리자, 연구소장, CTO(Chief Technical Officer), R&D연구개발본부장","인문과학연구관리자, 사회과학연구관리자, 공학연구관리자, 자연과학연구관리자, 생명과학연구관리자, 예체능연구관리자 등"
 , , ,1312,2, , , ,교장, ,"초등학교교장, 중학교교장, 고등학교교장, 특수학교교장"
 , , ,1313,2, , , ,경찰서장, , 
 , , ,1311,3, , , ,공학연구관리자,"공학연구개발본부장, 공학연구개발부서관리자, 연구소장, CTO(Chief Technical Officer), 공학R&D본부장", 
 , , ,1312,3, , , ,대학교총장, , 
 , , ,1313,3, , , ,교도소장, ,"교도소의 종류에 따라 구치소장(미결수용업무를 관장), 개방교도소장(전국의 교도소에서 선발된 모범수형자를 집결하여 수용자치제를 허용하고 외부기업체 취업 등 외부통근제도를 실시하여 출소 전 사회적응능력을 배양하는 교도소), 보호감호소장(보호감호처분을 받은 자에 대한 수용·보호 및 사회복귀 처우를 하는 교도소)"
 , , ,1311,4, , , ,사회과학연구관리자,"사회과학연구개발본부장, 사회과학연구개발부서관리자, 연구소장","인문과학연구관리자, 공학연구관리자, 자연과학연구관리자, 생명과학연구관리자, 예체능연구관리자 등"
 , , ,1312,4, , , ,대학장,대학학장,"대학원장, 평생교육원장"
 , , ,1313,4, , , ,법원장, ,"법원의 종류에 따라 고등법원장, 지방법원장, 특허법원장, 가정법원장, 행정법원장, 대법관, 헌법재판소재판관"
 , , ,1311,5, , , ,생명과학연구관리자,"생명과학연구개발본부장, 생명과학연구개발부서관리자, 연구소장, CTO(Chief Technical Officer), 생명과학R&D연구개발본부장",농학연구관리자
 , , ,1312,5, , , ,사설학원원장, , 
 , , ,1313,5, , , ,소방서장, , 
 , , ,1311,6, , , ,예체능연구관리자,"예체능연구개발본부장, 예체능연구개발부서관리자, 연구소장, R&D연구개발본부장", 
 , , ,1312,6, , , ,유치원원장, ,유치원원감
 , , ,1311,7, , , ,인문과학연구관리자,"인문학연구개발본부장, 인문학연구개발부서관리자","사회과학연구관리자, 공학연구관리자, 자연과학연구관리자, 생명과학연구관리자, 예체능연구관리자 등 "
 , , ,1312,7, , , ,교육장, , 
 , , ,1311,8, , , ,자연과학연구관리자,"자연과학연구개발본부장, 자연과학연구개발부서관리자, 연구소장, CTO(Chief Technical Officer), 자연과학R&D연구개발본부장", 
 , , ,1312,8, , , ,대학교무처장, ,"대학교학처장, 대학입학처장"
 , , ,1311,9, , , ,바이오의약품연구기획자, , 
 , , ,1312,9, , , ,대학기획처장, , 
