신용등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
AAA,95310.98327267301,21797.41312140903,14220.411375920316,347183.1680026271,270573.90613810334,97286.34339351188,63233.95636949685,25059.11748476949,103723.02100086676
AAA,164860.17154770807,25551.46438742838,15535.465666372576,606168.5408453639,294577.94173701573,310476.06243669195,42534.7666573849,27319.44190069878,124316.558871501
AAA,246851.06818830356,28698.02638903251,17335.509357222392,556732.2966880079,242764.83459003837,270818.1877463031,0.1,40549.18011387448,69473.97885123985
AAA,126238.07613726503,35626.4424987474,8833.00853989467,277601.79056913813,207027.39847471938,42759.56730747261,0.1,24205.981711100074,161491.1471225591
AAA,280593.72081604064,6494.946301360217,6065.681403882341,525137.6381587416,352444.0971745501,99806.81911061876,72361.55047217265,56895.11947691911,151314.6917838631
AAA,190756.54554430913,20161.44784372948,13431.417110286122,437296.71634451585,276128.3962363256,142856.24175352382,107398.08973687813,31852.415529432932,107724.18969903995
AAA,179323.03503778647,10114.451591251076,15171.677386876614,226366.6428725082,35261.56718553632,146764.0358960969,34921.92667023371,24729.78584183271,103272.850525656
AAA,298407.09421993553,24159.375956513424,5041.349618319733,392821.78945792327,184431.13071871482,111311.98372954402,0.1,15128.559061726315,86263.00937317737
AAA,30388.79544269934,-1078.7667776902872,5339.699424647493,333142.34282726404,158293.08710140738,199066.10632910527,0.1,1025.7635051911711,150850.81051759893
AAA,247092.8237221897,15517.612413667695,13195.328754162427,375717.8721818295,127815.27387397285,207204.73905594682,58051.31573450957,43131.20878684863,10602.348915822076
AA+,50812.766460981584,1060.5065505954021,1116.2573704642123,148507.69784607124,77448.32366306082,91994.9809020199,39140.547737896544,8370.563609339928,32294.294252595806
AA+,148245.22578060333,2350.5633321084856,2059.1287646368837,311747.45129511843,136329.72176421597,134655.67270863586,0.1,12465.572816353932,80374.86128923247
AA+,188984.4790924312,2492.4741153077493,1906.9456222512617,266402.21973074443,82140.23305698764,141965.07271409483,3519.2340741794505,15364.200696191641,22679.3789472732
AA+,202552.87486073357,1009.2350029652766,1181.805975707248,236678.0612352818,37511.04658585851,162829.16864685883,42104.233300803506,14983.008269138652,1871.9775745112056
AA+,125658.78953578565,1326.6874913481508,1212.333002444114,343104.26304161135,112073.69953149126,215612.73009083915,46672.45911137588,18467.68232475191,87469.9382029703
AA+,115527.96798159649,883.5434328203493,687.3818102896012,203518.75897357607,81122.77208477318,115299.84208673658,53914.88023606637,9209.500178439048,36405.50752485056
AA+,103763.1607169034,418.7790560114934,628.1685840172402,197815.44637739807,83700.52991355016,100922.88572491694,31250.56970994189,7561.27288921314,58676.93207032044
AA+,167929.05163849785,1812.5669574105746,202.38433504638652,225444.2326846155,116379.92302391179,67922.54970893374,28032.550464164928,5459.0016803064245,37016.13011374239
