신용등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
AAA,95310.98209511153,21797.413408008055,14220.411580095155,347183.1692540833,270573.9050985038,97286.34400741078,63233.95666011085,25059.117791745888,103723.02052629516
AAA,164860.17152936698,25551.464391892267,15535.465669552772,606168.5408648556,294577.94172082364,310476.0624462535,42534.766661912,27319.441905479955,124316.55886410951
AAA,255027.6531189605,39153.923225662016,26914.623768769845,547140.520886218,286231.51703125995,194317.6766072804,0.1,55773.81972706412,153595.34871865826
AAA,240933.5770745058,30479.354138253395,18559.642121769764,484213.6736218777,119567.36672687248,334390.6055943895,235674.56359536224,36425.353204246254,137486.49997549946
AAA,189975.09776726022,30630.733027382237,16951.9415261489,630544.4309092439,411950.1019298185,190907.967995373,57692.64437325937,58037.16000899745,229411.41822733358
AAA,250357.8012440514,7738.468230799885,6758.845571864313,747487.9479240287,449621.36135424394,226399.74936411052,0.1,43093.57249071285,188576.36748724477
AAA,179323.03508211306,10114.451580462002,15171.677370693003,226366.64282540075,35261.5672246695,146764.0358729883,34921.92665929355,24729.785830277346,103272.85054352024
AAA,160183.0047246048,34437.332584046606,30736.687166594398,199836.700659826,82667.2697814843,114081.43541259447,92857.45311603672,28685.702370915584,16670.088244421306
AAA,24074.267980495584,7120.200894071565,4921.22729586389,378796.1131343511,191039.55379762713,252478.0976033368,111038.70517376778,-14739.608117212596,82361.67739912347
AAA,247092.8230476138,15517.612577848338,13195.328871125901,375717.8728987374,127815.2732784295,207204.73940762389,58051.315900989626,43131.208962702854,10602.348643959922
AA+,50812.7669498367,1060.5065122324622,1116.2573500707847,148507.6972907144,77448.32418217885,91994.98058565237,39140.547595247015,8370.563510667755,32294.29456146104
AA+,148245.225788216,2350.5633315116274,2059.128764319849,311747.4512864691,136329.72177230124,134655.6727037087,0.1,12465.572814816904,80374.86129404313
AA+,170294.01083232532,3753.0793806547217,2374.7214035637503,266977.96501187154,41829.18996780414,198926.38913165545,26632.27993199076,19917.251445943715,28909.532256864542
AA+,186196.16447267286,3336.2144669812665,2415.5711240369856,225072.2256148011,96418.1613896237,49977.20567158066,27752.36830670983,14321.873745834899,123370.8622582954
AA+,125658.78860575781,1326.6875643328653,1212.3330412432185,343104.26409815677,112073.6985438877,215612.7306927174,46672.45938276125,18467.682512471732,87469.93761536505
AA+,115527.96783176938,883.5434445782793,687.3818165400571,203518.7591437853,81122.77192567075,115299.84218369893,53914.88027978636,9209.500208680585,36405.50743018767
