신용등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
AAA,95310.98209511153,21797.413408008055,14220.411580095155,347183.1692540833,270573.9050985038,97286.34400741078,63233.95666011085,25059.117791745888,103723.02052629516
AAA,164860.17152936698,25551.464391892267,15535.465669552772,606168.5408648556,294577.94172082364,310476.0624462535,42534.766661912,27319.441905479955,124316.55886410951
AAA,246851.0671766371,28698.026635255555,17335.50953263302,556732.2977631586,242764.83369689836,270818.18827371544,0.1,40549.1803776039,69473.97844352636
AAA,126238.0747298875,35626.44284128068,8833.008783915566,277601.7920648313,207027.39723222973,42759.5680411815,0.1,24205.98207798625,161491.1465553692
AAA,280593.72116745013,6494.946215832539,6065.681342951988,525137.6377852792,352444.09748479025,99806.81892741688,72361.5503854456,56895.11938531074,151314.69192548594
AAA,190756.5459052144,20161.44775589104,13431.417047709521,437296.7159609627,276128.39655494783,142856.24156537227,107398.08964780878,31852.415435349176,107724.18984448932
AAA,179323.03508211306,10114.451580462002,15171.677370693003,226366.64282540075,35261.5672246695,146764.0358729883,34921.92665929355,24729.785830277346,103272.85054352024
AAA,298407.09407568176,24159.375991623012,5041.349643330508,392821.7896112285,184431.1305913631,111311.98380474708,0.1,15128.559099331109,86263.00931504196
AAA,30388.79595898486,-1078.7669033465354,5339.699335129986,333142.3422785802,158293.08755720532,199066.10605995034,0.1,1025.7633706014203,150850.81072566833
AAA,247092.8230476138,15517.612577848338,13195.328871125901,375717.8728987374,127815.2732784295,207204.73940762389,58051.315900989626,43131.208962702854,10602.348643959922
AA+,50812.7669498367,1060.5065122324622,1116.2573500707847,148507.6972907144,77448.32418217885,91994.98058565237,39140.547595247015,8370.563510667755,32294.29456146104
AA+,148245.225788216,2350.5633315116274,2059.128764319849,311747.4512864691,136329.72177230124,134655.6727037087,0.1,12465.572814816904,80374.86129404313
AA+,188984.4795124157,2492.474082348907,1906.9456047312226,266402.21925362665,82140.23350297286,141965.07244229666,3519.233951626291,15364.20061142045,22679.379212625972
AA+,202552.8750412144,1009.2349888006202,1181.8059681792904,236678.0610302496,37511.04677751238,162829.1685300583,42104.23324813841,14983.008232709992,1871.977688541665
AA+,125658.78860575781,1326.6875643328653,1212.3330412432185,343104.26409815677,112073.6985438877,215612.7306927174,46672.45938276125,18467.682512471732,87469.93761536505
AA+,115527.96783176938,883.5434445782793,687.3818165400571,203518.7591437853,81122.77192567075,115299.84218369893,53914.88027978636,9209.500208680585,36405.50743018767
