신용등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
AAA,95310.98282084498,21797.413231376853,14220.411454261524,347183.16848280816,270573.90573921124,97286.34362906356,63233.956481004745,25059.11760255543,103723.02081877465
AAA,164860.17154067062,25551.46438914191,15535.465667592398,606168.5408528429,294577.9417308028,310476.06244036066,42534.76665912253,27319.44190253302,124316.55886866493
AAA,246851.06780012924,28698.026483508223,17335.509424526834,556732.297100541,242764.8342473426,270818.18794867006,0.1,40549.18021506674,69473.9786948012
AAA,126238.07559725619,35626.44263017771,8833.008633523465,277601.79114303284,207027.39799797855,42759.567588995444,0.1,24205.981851873275,161491.14690492948
AAA,280593.7209508752,6494.946268542273,6065.68138050436,525137.6380154446,352444.0972935892,99806.8190403239,72361.55043889453,56895.11944176974,151314.69183820364
AAA,190756.5456827876,20161.447810026068,13431.41708627561,437296.7161973474,276128.3963585804,142856.24168133017,107398.08970270207,31852.4154933332,107724.1897548486
AAA,179323.0350547946,10114.451587110434,15171.677380665651,226366.64285443342,35261.567200551566,146764.03588723025,34921.92666603555,24729.785837398944,103272.85053251057
AAA,298407.0941645849,24159.37596998507,5041.349627915276,392821.7895167466,184431.13066985024,111311.9837583992,0.1,15128.559076155228,86263.009350871
AAA,30388.795640796714,-1078.7668259045931,5339.6993902999875,333142.34261673543,158293.0872762958,199066.1062258316,0.1,1025.7634535491816,150850.81059743464
AAA,247092.82346335676,15517.612476663033,13195.32879904152,375717.87245690566,127815.2736454642,207204.73919088443,58051.315798387215,43131.20885432372,10602.348811509306
AAA,167588.42739381597,17113.37096015454,7332.712331181921,405629.7482823537,212115.1186554393,189730.00002048307,131663.8253954952,33485.77205918596,95817.62304177663
AAA,236821.19583635835,23825.569605635916,17663.610801951894,526416.8302958845,267838.5034911329,207970.61191742602,0.1,32954.198891518085,107453.9438657547
AAA,73043.03308677276,27233.33924631621,18481.894038391336,256775.7288197776,37575.925402063236,244904.3004860995,0.1,52974.21669944319,35718.37365648766
AAA,214359.1649009743,18312.30437418748,10445.837355295836,394377.07988548034,94690.77815750826,261730.33746940622,59875.062863341744,21255.498075113115,72758.23173926125
AAA,17143.371203141825,1056.07790860583,1584.1168629087451,86037.39674713253,17138.148438685195,106507.16961724048,0.1,28165.588241613284,25516.651056387884
AAA,177896.76569975723,22037.16911392998,12685.234851320678,467120.844357326,251493.07352675786,205838.27950504504,140549.54334320012,50218.922197899585,145036.5055070268
AAA,116523.58009016493,-2236.3599299500784,-8601.075179107555,344995.57074296457,123126.84797710855,246491.16905002136,40143.456415305125,42652.29110231977,-1901.637337877095
AAA,182403.26619234472,15198.365148160485,15162.47226318685,310976.65928024147,132307.6603732079,174968.6543311751,174968.6543311751,36913.91847642198,52263.66110638191
AAA,180847.39999107755,12347.16710963176,12054.34699844617,497927.82128911593,251405.09214432276,186995.5303884219,0.1,-4465.8297300789745,201493.57715745
AAA,171640.24020464648,9870.365726227534,7324.655697468847,307488.4767409622,143408.44222816767,142260.98500005688,0.1,44440.015548562566,32143.01150551565
AAA,77232.46438651255,23378.018859051495,15473.174845469708,248956.30451424455,189576.75753725477,79207.50308754505,0.1,50833.91988251404,43382.932078056954
AAA,33704.48030497879,-371.68237227771533,11073.441279017357,338394.70048561215,299283.66098076606,71849.64661820862,54126.82739025636,9698.410433852598,170232.36310570885
AAA,192696.58610021722,20385.506718090735,5867.072071240542,240992.1795773709,168947.085929294,43636.59121895328,17326.1504227126,25778.59709326092,2755.475637351774
AAA,33840.80806793623,357.38474748172666,536.07712122259,351616.1705461071,314957.42968578776,67732.5079943957,0.1,17849.603853263165,133640.64281306084
AAA,140734.42718298305,26664.937164039322,27743.52052896242,371379.7038558297,255724.26833803032,84293.27397398092,3352.9496625243846,8507.183323812947,194433.47639176899
AAA,81830.27119111686,29515.062172756567,16076.548980543967,325275.47792333673,84348.61052990676,268411.4433432069,0.1,59613.189175270396,27602.21607799486
AAA,48017.89451318089,24008.947256590443,7646.809304376169,274979.17423115176,259984.15951108024,80398.26380891674,80398.26380891674,31248.598230107586,71671.64193517671
AAA,250310.42546154215,33099.753829098045,14620.935208398767,416809.6691204104,184460.91505240413,179129.74267154955,58689.64084116969,53158.37708256081,95952.53663101478
AAA,120050.2799197876,-4633.947029791501,-1842.9532049020527,496245.8654957176,298390.7580429133,190431.50596650917,0.1,20391.876693737875,141817.11992750547
AAA,31465.401905208084,4169.923181857792,5990.560746157932,313187.89721415244,198732.64846260697,176304.0104505287,70960.87534888243,-4108.553185397206,32272.770111840728
AAA,194791.79031263015,8383.500805666337,10148.421265728133,513979.96269940224,300447.7572785791,161007.15069981752,0.1,21545.286185786117,158582.42667732984
AAA,159475.10039898028,20648.329070412194,27403.41529612601,473679.2187091535,215041.1932004959,251140.00751619364,0.1,34159.544600032496,88870.51349945576
AAA,22138.548051222868,11069.274025611434,16603.91103841715,338614.8627630292,240413.9066441875,164909.19990535793,155295.8871471709,27543.918971731866,132569.38387934573
AAA,2555.128418040171,-1277.5642090200854,657.3777007294229,346191.40815383766,210041.9906920741,178629.58476113112,0.1,2248.857435575588,115731.98218954742
AAA,217500.48255140538,16237.078240022456,12146.35128749841,494862.14626564423,258097.28774290258,188609.05796151137,0.1,29495.06829181164,85206.28038261383
