신용등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
AAA,95310.98194718164,21797.41344401193,14220.411605744417,347183.1694112962,270573.9049679054,97286.34408453126,63233.95669661912,25059.11783030955,103723.02046667767
AAA,164860.17152706397,25551.46439245284,15535.46566995218,606168.5408673037,294577.9417187897,310476.06244745466,42534.76666247981,27319.441906080632,124316.55886318098
AAA,255027.6530029571,39153.92325389556,26914.62378888352,547140.5210095015,286231.5169288469,194317.6766677567,0.1,55773.8197573052,153595.34867190733
AAA,240933.5767931655,30479.354206726624,18559.642170550695,484213.6739208724,119567.36647849335,334390.60574106174,235674.56366479426,36425.35327758824,137486.49986211563
AAA,189975.0980486924,30630.73295888614,16951.94147735225,630544.4306101517,411950.1021782779,190907.96784865452,57692.644303804234,58037.15993563154,229411.41834075417
AAA,250357.80125481178,7738.468228181423,6758.845569998901,747487.9479125948,449621.36136374273,226399.74935850129,0.1,43093.572487908095,188576.367491581
AAA,179323.03508768108,10114.45157910735,15171.677368661025,226366.64281948292,35261.56722958526,146764.03587008506,34921.926657919816,24729.78582882566,103272.85054576414
AAA,160183.00474714173,34437.33257856203,30736.687162686307,199836.70063587412,82667.26980138119,114081.43540084492,92857.45311047493,28685.702365040448,16670.088253503956
AAA,24074.26807791031,7120.200870362509,4921.227278973223,378796.11303082324,191039.5538836286,252478.09755255183,111038.7051497252,-14739.608142607442,82361.67743838252
AAA,247092.8229628706,15517.612598473757,13195.32888581937,375717.8729887983,127815.27320361462,207204.73945180298,58051.31592190396,43131.20898479446,10602.348609807057
AAA,167588.4281546799,17113.37077497264,7332.712199257643,405629.7474737433,212115.11932716123,189729.9996238216,131663.82520771906,33485.771860837485,95817.62334841401
AAA,236821.19590476918,23825.569588985913,17663.610790090403,526416.830223181,267838.50355152844,207970.6118817614,0.1,32954.19887368451,107453.94389332487
AAA,73043.03221973317,27233.3394573389,18481.894188725622,256775.72974122624,37575.924636604876,244904.30093811319,0.1,52974.216925470755,35718.373307059854
AAA,141494.60424601563,-6334.357732124432,-3589.55473253783,519214.27366266766,342781.8049879634,149702.20849506743,60082.23026396215,27871.97576483548,248614.5165701317
AAA,17143.372038975052,1056.077705178248,1584.116557767372,86037.39585884841,17138.149176593317,106507.16918149401,0.1,28165.588023721317,25516.651393238775
AAA,177896.76741906552,22037.16869547846,12685.234553213511,467120.84253012645,251493.07504463365,205838.27860871732,140549.54291888652,50218.921749695815,145036.50619992902
AAA,116523.57853040381,-2236.359550329551,-8601.0749086637,344995.5724006046,123126.84660008739,246491.16986317252,40143.456800242566,42652.291508930866,-1901.6379664801934
AAA,182403.26712668873,15198.364920756994,15162.472101182346,310976.6582872642,132307.66119808552,174968.65384407295,174968.65384407295,36913.918232849115,52263.66148293393
AAA,94035.01977229374,7910.741418237532,5494.64914205328,496034.5373736519,404032.8080328364,123841.41189371522,104031.5886577335,53193.945521814516,153594.74404083288
AAA,171640.24047584625,9870.365660222578,7324.655650445891,307488.4764527439,143408.442467594,142260.9848586716,0.1,44440.01547786385,32143.01161481232
AAA,77232.46607081479,23378.01844911988,15473.174553432356,248956.30272424823,189576.75902422593,79207.50220946595,0.1,50833.919443436534,43382.93275685132
AAA,16918.843384473177,8459.421692236589,12689.132538354883,375066.31890890584,174408.23566092737,262317.0073781906,22988.315128074562,46983.26038348627,112871.63159504769
AAA,167290.7190765641,23564.704450903642,7378.735370615368,400074.91986377,87662.62587231174,335811.11338662275,159817.44327173487,56424.20591076532,2336.4671298595204
AAA,33840.80820926481,357.38471308507906,536.0770696276186,351616.1703959104,314957.4298105582,67732.50792071677,0.1,17849.603816420593,133640.64287001794
AAA,140734.42829023092,26664.93689455346,27743.520336978814,371379.7026790995,255724.269315554,84293.27339673869,3352.949389264206,8507.183035166949,194433.47683800347
AAA,81830.27158288239,29515.06207740647,16076.548912617116,325275.4775069871,84348.61087577308,268411.44313896686,0.1,59613.189073142246,27602.21623588087
AAA,244239.00350237204,28363.535171879765,8529.869405071422,326298.1762069004,8360.59627667733,303324.2968012775,223430.1867664056,33207.25297168045,-24147.92404787008
