종목명,등급,매출액,영업이익,당기순이익,총자산,총부채,자본총계,자본금,영업활동현금흐름,이자발생부채
대한전선,A-,32913,1152,742,26427,11466,14961,1864,68,4522
태영건설,C,26862,206,668,43239,37967,5272,1473,616,15804
대유에이텍,B-,5649,375,48,3347,2906,441,234,40,1455
케이씨코트렐,CC,3411,-696,-308,2941,2088,853,321,-113,369
,,,,,,,,,,
디에이치오토리드,B-,2704,165,23,2765,1792,973,78,63,752
컴투스,A-,6939,61,-1520,16460,5961,10499,64,155,3356
사조산업,A-,6352,-94,153,12168,5532,6636,250,274,3243
"오씨아이홀딩스(주) ( 유가증권, 오씨아이 ",A,35774,1015,1137,80937,32581,48355,1069,1164,19963
매일유업,AA-,18114,703,455,10263,4510,5752,39,746,2178
엘지헬로비전,AA-,11964,135,-1062,12435,7994,4441,1936,879,5425
SBS,AA-,10467,-192,338,15124,6059,9064,928,83,3729
콘텐트리중앙 ,BBB,8795,-474,-919,27587,21897,5689,963,-279,14900
케이티스카이라이프 ,AA-,10229,-11,-1561,10402,4636,5766,1196,1623,2008
씨제이이엔엠,AA-,52314,1045,-5808,93166,56386,36781,1106,14026,28854
삼양식품(주) ( 유가증권 ) ,A+,17280,3446,2713,15948,7667,8280,377,3558,3729
(주)대웅제약 ( 유가증권 ) ,A+,14227,1479,233,19770,10500,9270,290,515,6492
삼보모터스,BB,15706,543,438,12090,8276,3814,114,1113,5023
(주)엘지에너지솔루션 ,AA,79267,-17656,-9376,276408,119237,157171,1170,4135,79623
(주)LG화학,AA+,206019,1544,1665,342358,139707,202651,3914,18667,104835
롯데칠성음료(주),AA+,40245,1849,600,43725,27941,15784,50,3535,1634
체리부로,B,3829,29,-90,2972,1915,1058,240,4,1372
한국가스공사,AAA,383887,30034,11490,576696,468433,108264,4616,41092,128013
기아(주),AAA,472992,67600,55450,547175,193561,353614,21393,89293,1762
"에이치디현대인프라코어(주) ( 유가증권, HD현대 ) ",A,34057,1257,2138,38060,19983,18077,1996,3155,9781
엑사이엔씨,BB,1150,56,36,851,489,362,166,61,147
삼성중공업,BBB+,99031,5027,539,171946,134452,37495,8801,5369,35436
"에스케이아이이테크놀로지(주) ( 유가증권, 에스케이 )",A,2179,-2910,-2466,41501,18256,23246,713,17114,-872
한화오션,BBB+,107760,2379,5282,178438,129805,48633,15371,2299,53946
와이지-원,BBB,5750,558,170,10762,6726,4036,193,713,5623
이지홀딩스,BBB+,32850,1234,351,28559,16493,12065,329,1338,11620
하이트 진로,A+,25992,2081,957,34415,22920,11495,3688,2946,10921
에스케이하이닉스(주),AA,557363,213315,176404,1124126,411855,712271,36577,302559,6000
(주)풍산 ( 유가증권 ) ,A+,45544,3238,2360,40966,18973,21993,1401,727,8337
퍼시스,A+,3857,215,477,6439,699,5740,143,205,45
한국전력기술(주),AA,5534,548,585,9468,3694,5775,76,1507,0
"에이치디현대(주) ( 유가증권, HD현대 ) ",A+,677656,29832,19302,738667,474816,263851,814,75115,167966
(주)한솔케미칼 ( 유가증권 ) ,A+,5849,1158,954,11527,3077,8450,567,1400,2098
한국콜마 ,A,24521,1938,1253,31267,16210,15057,118,2154,11502
코스맥스 ,BBB+,21661,1754,884,19337,14249,5088,57,730,7491
엘지이노텍,AA-,212008,7060,4493,113782,60243,53539,1183,11101,26747
롯데렌탈,A+,27924,2848,1027,70066,55380,14686,1832,3255,41579
유성티엔에스,BB+,1529,49,709,6131,1175,4956,185,226,774
(주)에듀윌,B+,826,49,21,962,943,19,15,72,627
광성기업(주),B+,1427,65,10,1479,1307,173,19,86,803
패션그룹형지(주),B+,3011,47,-287,6333,5189,1144,25,96,3081
(주)용산,BB-,5810,120,35,4018,3209,809,47,98,1719
(주)무경 ,BB,3631,42,27,1687,1136,550,10,131,10
(주)성호기업,BB-,2826,93,43,1951,1359,591,13,105,1100
기보스틸(주),BB+,6341,168,7,2870,2184,686,110,239,1343
메가박스중앙(주),BBB,3533,-127,-520,10298,9222,1076,58,529,7276
(주)코오롱,BBB+,60284,-896,1576,70405,46926,23478,685,-1869,26611
"(주)이리츠코크렙기업구조조정부동산투자회사 ( 유가증권, 이랜드 ) ",BBB+,180,143,62,5608,2905,2702,317,105,2766
(주)신원,BBB-,9395,253,56,6289,4021,2268,513,209,2573
깨끗한나라(주),BBB,5370,-9,-221,6211,4309,1901,376,56,3300
(주)화승코퍼레이션,BBB-,16984,887,599,12885,9265,3620,250,173,5913
티피(주),BB+,10642,489,224,7523,5104,2419,265,162,3432
CJ제일제당,AA,75983,2758,-1378,109115,56404,52711,819,7226,37166
한국타이어엔테크놀로지(주),AA,94119,17623,11311,158497,46549,11949,619,21702,18295
현대제철,AA,232261,1595,88,347438,154102,193336,6672,15010,104493
대상(주),AA-,42551,1749,967,35098,20622,14476,360,3098,14781
에이치엘만도(주),AA-,88482,3588,1582,70520,43793,26728,470,5982,21658
SK텔레콤,AAA,179406,18234,13871,305153,186876,118276,305,51961,107648
케이티,AAA,65756,-6551,-7696,418800,238834,179965,15645,6657,115801
케이티앤지,AAA,59088,11888,11650,139252,45668,93585,9550,8223,15222
한국지역난방공사,AAA,35703,3279,2099,83622,60940,22682,579,4167,43329
한국수력원자력,AAA,136021,16017,5727,728846,474218,254628,12122,62971,150877
경기주택도시공사,AAA,14680,3282,2866,201405,146617,54789,18099,3447,94529
한국도로공사,AAA,110491,7652,968,871260,415025,456236,441740,22157,384636
한국남부발전,AAA,69204,5576,3724,138765,74396,64369,2387,13821,58350
한국동서발전,AAA,53790,6211,5224,128942,57527,71415,2897,13764,43079
한국서부발전,AAA,62404,6627,3620,135621,77589,58033,1666,15838,62955
서울주택도시공사,AAA,12904,1328,1526,303015,200236,102779,76419,5613,70751
에스케이엔무브,AA,50947,6876,4348,37885,20436,17448,1000,5684,12224
호텔롯데,AA-,50691,-456,-10574,230031,125485,104546,2117,897,86949
대구교통공사,AA+,2062,-3321,-1750,41062,6284,34477,65868,79,3148
신세계센트럴,AA-,3226,767,449,31770,13506,18264,3000,956,7520
계룡건설,BBB+,31694,977,545,29413,20238,9175,447,-101,10033
한세실업,BBB,17978,1422,584,14245,7149,7097,200,563,5375
두산건설(주),B+,21753,1081,198,17030,13469,3562,2619,-1651,3276
"(주)한진 ( 유가증권, 한진 ) ",BBB+,30155,1001,-4,41895,26656,15239,747,2468,20076
현대글로비스,AA,284074,17529,10995,768491,80398,88094,375,21224,40863
한세엠케이,BB,2563,-216,-393,2685,2225,460,151,-211,1548
핸즈코퍼레이션,B,7644,-465,-1221,8851,7151,1699,109,229,5140
콘텐트리중앙,BBB,8795,-474,-919,27587,21897,5689,963,-279,14900
평화산업,B+,5884,141,38,2326,1865,461,275,-30,818
한화솔루션,AA-,123940,7118,13690,30368,194300,106069,8886,6358,130025
동원금속,BB-,5682,357,183,4789,3724,1065,234,635,2054
엘앤에프,BB+,19075,-5587,-3807,27998,20765,7233,181,2805,17849
CJ CGV,A-,19579,759,-1755,39970,34203,5767,828,1908,25500
케이비아이동국실업(주),BB,6684,-63,257,7648,5389,2259,556,646,2346
유니슨(주),BB-,257,-125,-226,2490,1828,662,842,-23,1342
에스지이(주),BB-,298,41,37,139,54,85,1,44,1
효성중공업,A,48950,3625,2229,62188,41632,20556,466,4121,10830
화승알앤에이,BBB-,7071,313,324,4699,3194,1505,95,-78,1670
대우건설,A,105036,4031,2428,126585,83244,43341,20781,-12835,39915
(주)제주대동,BBB+,39,-46,-87,2045,1078,966,500,-67,851
삼성중공업(주),BBB+,99031,5027,539,171946,134452,37495,8801,6545,35436
씨제이씨지브이(주),A-,19579,759,-1755,39970,34203,5767,828,1908,25500
동아쏘시오홀딩스(주),A,13332,821,576,20305,9665,10639,317,581,7400
현대코퍼레이션홀딩스(주),A-,2156,195,423,3761,717,3044,455,189,268
롯데지주,AA-,157570,3405,-9461,226603,134605,91998,211,10529,91909
한국타이어앤테크놀로지,AA,94119,17623,11311,158497,46549,111949,619,18861,18295
롯데웰푸드,AA,40443,1571,820,43417,21153,22264,47,2856,13800
롯데케미칼,AA,204304,-8941,-18256,345523,145644,199879,2139,15424,106642
현대제철(주),AA,232261,1595,88,347438,154102,193336,6672,17771,104493
엘에스일렉트릭,AA,45518,3897,2422,44852,25951,18901,1500,4557,12266
삼성SDI,AA,165922,2734,5755,405973,190301,215672,3567,-1376,117396
현대위아(주),AA-,69381,927,2095,54763,21093,33670,1360,2705,6814
SK네트웍스(주),AA-,76573,1139,463,51571,31038,20533,6487,2764,20473
제이티비씨(주),BBB,3801,-386,-474,4896,4578,318,5751,-731,3068
가상기업_CCC+_194,CCC+,22208,-767,-357,17133,13873,3260,262,-163,8483
가상기업_CCC+_72,CCC+,12547,-315,-505,13430,11061,2369,322,-65,5500
가상기업_CCC+_585,CCC+,21838,-827,-436,21416,15697,5719,667,-126,9182
가상기업_CCC+_38,CCC+,22278,-898,-369,15127,10682,4445,221,-151,7242
가상기업_CCC+_428,CCC+,10453,-356,-361,19160,15670,3490,408,-277,9490
가상기업_CCC_361,CCC,18485,-427,-347,14644,11162,3482,924,-21,6942
가상기업_CCC_54,CCC,8855,-819,-701,20516,16313,4203,967,-74,10881
가상기업_CCC_363,CCC,6061,-427,-457,19619,15565,4054,534,-129,7506
가상기업_CCC_693,CCC,6414,-464,-314,17206,14340,2866,523,-199,7769
가상기업_CCC_554,CCC,20536,-477,-707,20638,16460,4178,800,-42,10611
가상기업_CCC-_445,CCC-,7742,-228,-687,27728,25964,1764,278,-192,14825
가상기업_CCC-_161,CCC-,24431,-520,-407,13470,11455,2015,695,-46,3845
가상기업_CCC-_105,CCC-,9900,-831,-386,18539,14775,3764,321,-171,5866
가상기업_CCC-_971,CCC-,8430,-875,-287,20022,17919,2103,868,-215,5676
가상기업_CCC-_777,CCC-,9763,-557,-703,10745,9788,957,355,-233,3208
